type	pathology_file_id	file_name	data_category	file_type	file_description	file_size	md5sum	file_mapping_level	file_access	acl	authz	file_url	dcf_indexd_guid	image_modality	license	magnification	fixation_embedding_method	staining_method	deidentification_method	percent_tumor	percent_necrosis	slim_url	crdc_id	id	sample.id
pathology_file	6c8bcbcb-4a96-4e42-8a4d-02f6730d07c4	6c8bcbcb-4a96-4e42-8a4d-02f6730d07c4.dcm	Pathology Imaging	dicom	FFPE_H&E_Image	11573424	53a9a13c4468b23060abb83c363ce463	Sample	Open	['*']	['/open']	s3://idc-open-data/a83f4398-0891-4a85-a8aa-4e6a1e8bd28d/6c8bcbcb-4a96-4e42-8a4d-02f6730d07c4.dcm	dg.4DFC/591d6878-6c29-11ee-acbf-8f70c6cdd33e	Slide Microscopy	CC by 4.0	Not reported	Formalin fixed paraffin embedded (FFPE)	H&E	Not applicable					002abf44-ed4b-5d8e-8c8a-4c56b8e3867b	2c4ca77e-ea81-528a-8a44-24e9eee0dd7d
pathology_file	6e3c72d6-e4ec-47de-bc9c-d218859e1000	6e3c72d6-e4ec-47de-bc9c-d218859e1000.dcm	Pathology Imaging	dicom	FFPE_H&E_Image	15358600	0741a9b28ef39aa24a039e65174c018a	Sample	Open	['*']	['/open']	s3://idc-open-data/ecf286ed-473a-4fa0-8f4b-355ee17b05ef/6e3c72d6-e4ec-47de-bc9c-d218859e1000.dcm	dg.4DFC/58bb1d1c-6c29-11ee-a153-13470f413051	Slide Microscopy	CC by 4.0	Not reported	Formalin fixed paraffin embedded (FFPE)	H&E	Not applicable					002b986b-df07-53cf-8cc4-ccc7085b2cae	1587e564-fedc-51c4-9400-488651303410
pathology_file	1cb938a7-fa16-4ef2-82e4-b2cc6a16ca02	1cb938a7-fa16-4ef2-82e4-b2cc6a16ca02.dcm	Pathology Imaging	dicom	FFPE_H&E_Image	2316516	2abd52efa34727c07aea9792260de273	Sample	Open	['*']	['/open']	s3://idc-open-data/924f220d-a52e-4727-94a1-371a28b69cb0/1cb938a7-fa16-4ef2-82e4-b2cc6a16ca02.dcm	dg.4DFC/58aa85b0-6c29-11ee-9aa2-fb5dbb1a961c	Slide Microscopy	CC by 4.0	Not reported	Formalin fixed paraffin embedded (FFPE)	H&E	Not applicable					0038e5fe-8409-512f-a409-8de4ff084feb	0dd5717e-ae26-5ffa-9e49-c3388d6c7297
pathology_file	c523df97-fdda-4213-9400-efc7db49a1a9	c523df97-fdda-4213-9400-efc7db49a1a9.dcm	Pathology Imaging	dicom	FFPE_H&E_Image	3213520	b9a44dc4d5bbc2e85e534dde4692278d	Sample	Open	['*']	['/open']	s3://idc-open-data/b7401a50-4f03-4842-8a93-d751d723fb5e/c523df97-fdda-4213-9400-efc7db49a1a9.dcm	dg.4DFC/59cfa948-6c29-11ee-aaca-6b0667c454d8	Slide Microscopy	CC by 4.0	Not reported	Formalin fixed paraffin embedded (FFPE)	H&E	Not applicable					00609f54-8ebf-5f96-a021-1e48cce8e452	b13696d2-67a6-5267-88a3-9e7a92e6f412
pathology_file	fe8d4f60-f0cf-4e56-8956-dd2786d81e0e	fe8d4f60-f0cf-4e56-8956-dd2786d81e0e.dcm	Pathology Imaging	dicom	FFPE_H&E_Image	30912820	2c9443eb7c41e80dd5622c607f1ec3e1	Sample	Open	['*']	['/open']	s3://idc-open-data/6e032949-6abd-4476-a912-ae4c54c1f095/fe8d4f60-f0cf-4e56-8956-dd2786d81e0e.dcm	dg.4DFC/5873f9f0-6c29-11ee-8ae5-ff58ac2df182	Slide Microscopy	CC by 4.0	Not reported	Formalin fixed paraffin embedded (FFPE)	H&E	Not applicable					007f7abf-6839-533c-bfcd-d0b8261cccc2	40e413d5-9148-560d-a2b8-757a6092ce66
pathology_file	471dc9c7-19d3-4c08-9d55-7f40a9077b02	471dc9c7-19d3-4c08-9d55-7f40a9077b02.dcm	Pathology Imaging	dicom	FFPE_H&E_Image	5354898	31955d62cd696166619d8ab52558b636	Sample	Open	['*']	['/open']	s3://idc-open-data/c14bed80-1811-4e73-a3fc-a2da32cbcd7a/471dc9c7-19d3-4c08-9d55-7f40a9077b02.dcm	dg.4DFC/58b487f4-6c29-11ee-839b-6b410ecf7bf3	Slide Microscopy	CC by 4.0	Not reported	Formalin fixed paraffin embedded (FFPE)	H&E	Not applicable					00b5b2dc-a363-5ede-af55-5634ed34a343	b653f9fa-462a-5233-a49d-91c74f5ccdf0
pathology_file	eb9ee602-66a6-4931-8677-231b5f9298fd	eb9ee602-66a6-4931-8677-231b5f9298fd.dcm	Pathology Imaging	dicom	FFPE_H&E_Image	14349732	9b1d0a1940087d6886228b4533b59f09	Sample	Open	['*']	['/open']	s3://idc-open-data/4e51cffe-6a55-4c0a-8ed4-68d9208a822f/eb9ee602-66a6-4931-8677-231b5f9298fd.dcm	dg.4DFC/58c0519c-6c29-11ee-bdec-13e62c5c4871	Slide Microscopy	CC by 4.0	Not reported	Formalin fixed paraffin embedded (FFPE)	H&E	Not applicable					00b97bb4-88de-510f-a718-961449dfacdc	e08f912c-d94b-5203-8aa5-17a8af38381d
pathology_file	d85ae977-77e5-4627-8332-a73f7348d7b4	d85ae977-77e5-4627-8332-a73f7348d7b4.dcm	Pathology Imaging	dicom	FFPE_H&E_Image	483550012	57afc089e453d45009ccd697477678d3	Sample	Open	['*']	['/open']	s3://idc-open-data/25d89187-9126-4085-ae39-93892fd8c62f/d85ae977-77e5-4627-8332-a73f7348d7b4.dcm	dg.4DFC/5871d166-6c29-11ee-99a5-eb1c3f75fd4f	Slide Microscopy	CC by 4.0	Not reported	Formalin fixed paraffin embedded (FFPE)	H&E	Not applicable					00ba5fc8-8ad2-5aff-bd11-dade61a0cf26	466b0427-e535-5464-82b3-29d1dee2a9a3
pathology_file	8ce9d852-bffa-49d5-bf13-7495cdb9bf00	8ce9d852-bffa-49d5-bf13-7495cdb9bf00.dcm	Pathology Imaging	dicom	FFPE_H&E_Image	1387652	cf7e801d2e9ddf06c39e46712c48ed66	Sample	Open	['*']	['/open']	s3://idc-open-data/8beb7b93-b4f2-4f75-8f73-79594b040196/8ce9d852-bffa-49d5-bf13-7495cdb9bf00.dcm	dg.4DFC/59f78472-6c29-11ee-a486-9bc659943d27	Slide Microscopy	CC by 4.0	Not reported	Formalin fixed paraffin embedded (FFPE)	H&E	Not applicable					00ccbdf3-123c-54ef-8db8-5c28d8501b49	9f7bf138-c924-541f-bb88-0b1eb6871412
pathology_file	db9a6683-5d13-4d82-80e7-93cfa6be8032	db9a6683-5d13-4d82-80e7-93cfa6be8032.dcm	Pathology Imaging	dicom	FFPE_H&E_Image	374232386	4ae18e605fe05bc809f4ebfe51e31021	Sample	Open	['*']	['/open']	s3://idc-open-data/ba95b93d-0ad3-4a95-bb86-c7e989cd8881/db9a6683-5d13-4d82-80e7-93cfa6be8032.dcm	dg.4DFC/58d812be-6c29-11ee-9b23-c3c15b7e729d	Slide Microscopy	CC by 4.0	Not reported	Formalin fixed paraffin embedded (FFPE)	H&E	Not applicable					00e03e6e-c2b0-546f-9570-c3176789023d	786f333d-b081-58de-9d6a-2c3abe3b7776
