type	file_name	uuid	file_size	md5sum	file_status	file_location	file_format	case.case_record_id	study.clinical_study_designation	sample.sample_id	diagnosis.diagnosis_record_id	file_type	file_description
file	B816-Bladder-OrganoidAligned.sortedByCoord.out.bam	87c91564-f647-525a-bb83-4fee7422589c	2292972643	A6EF4A78C3F370D4506AF448B0020F83	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/ORGANOIDS01/B816-Bladder-OrganoidAligned.sortedByCoord.out.bam	bam			ORGANOIDS01-B816-Urinary-Bladder-Organoid		RNA Sequence File	"normal bladder organoid sample, RNA-seq reads"
file	B816-Bladder-OrganoidAligned.sortedByCoord.out.bam.bai	77ee74c4-fd19-549b-8d55-d8c284d8a7ec	2274528	4B9B0ACD33685F1EB7C07F042E167A5E	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/ORGANOIDS01/B816-Bladder-OrganoidAligned.sortedByCoord.out.bam.bai	bai			ORGANOIDS01-B816-Urinary-Bladder-Organoid		Index File	"normal bladder organoid sample, RNA-seq index"
file	B816-Bladder-TissueAligned.sortedByCoord.out.bam	4e6ecb4f-8e76-56af-8c97-6d06db6f8093	2891100444	8D95711FE5E69C07B07816E081EAE9EB	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/ORGANOIDS01/B816-Bladder-TissueAligned.sortedByCoord.out.bam	bam			ORGANOIDS01-B816-Urinary-Bladder-Tissue		RNA Sequence File	"normal bladder tissue sample, RNA-seq reads"
file	B816-Bladder-TissueAligned.sortedByCoord.out.bam.bai	1f81c7d1-6ae2-50e2-84da-84656d83093c	2499432	012B2A0370B63A77EC668AFBBEC7161F	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/ORGANOIDS01/B816-Bladder-TissueAligned.sortedByCoord.out.bam.bai	bai			ORGANOIDS01-B816-Urinary-Bladder-Tissue		Index File	"normal bladder tissue sample, RNA-seq index"
file	B816-Endometrium-OrganoidAligned.sortedByCoord.out.bam	231070ed-e4f8-5d6f-8978-123f534e430a	1972911896	A076F2E509796D76848BBDE2FA47E42B	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/ORGANOIDS01/B816-Endometrium-OrganoidAligned.sortedByCoord.out.bam	bam			ORGANOIDS01-B816-Uterus-Organoid		RNA Sequence File	"normal endometrium organoid sample, RNA-seq reads"
file	B816-Endometrium-OrganoidAligned.sortedByCoord.out.bam.bai	f905407f-3af8-5306-945a-b7ed388efe28	2164544	9A0D0427D6A63EF90B7A88915CB38CA5	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/ORGANOIDS01/B816-Endometrium-OrganoidAligned.sortedByCoord.out.bam.bai	bai			ORGANOIDS01-B816-Uterus-Organoid		Index File	"normal endometrium organoid sample, RNA-seq index"
file	B816-Endometrium-TissueAligned.sortedByCoord.out.bam	8503dd51-6e4d-5531-bdb2-073c601380f7	1961423829	DA0780031F66F2CAAC37746F008070B0	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/ORGANOIDS01/B816-Endometrium-TissueAligned.sortedByCoord.out.bam	bam			ORGANOIDS01-B816-Uterus-Tissue		RNA Sequence File	"normal endometrium tissue sample, RNA-seq reads"
file	B816-Endometrium-TissueAligned.sortedByCoord.out.bam.bai	dcb555a5-dcea-5d0c-af04-f53ccba9366a	2280232	DA2563B9CB01336BE6BE1BE4FF4C62A8	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/ORGANOIDS01/B816-Endometrium-TissueAligned.sortedByCoord.out.bam.bai	bai			ORGANOIDS01-B816-Uterus-Tissue		Index File	"normal endometrium tissue sample, RNA-seq index"
file	B816-Liver-OrganoidAligned.sortedByCoord.out.bam	482617d6-2559-5fbb-bd93-48102307a26b	2284553323	A9F66752114711836AD3A22F497949D4	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/ORGANOIDS01/B816-Liver-OrganoidAligned.sortedByCoord.out.bam	bam			ORGANOIDS01-B816-Liver-Organoid		RNA Sequence File	"normal liver organoid sample, RNA-seq reads"
file	B816-Liver-OrganoidAligned.sortedByCoord.out.bam.bai	64b708ac-d34e-5063-a6e0-bc42c6864bdf	2310384	16A8EEBE23B763ECC9F24EED80FA8BDE	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/ORGANOIDS01/B816-Liver-OrganoidAligned.sortedByCoord.out.bam.bai	bai			ORGANOIDS01-B816-Liver-Organoid		Index File	"normal liver organoid sample, RNA-seq index"
