study_link_id	de_identification_method_type	license	image_modality	imaging_equipment_manufacturer	imaging_equipment_model	imaging_sofware	imaging_protocol	organ_or_tissue	tumor_tissue_type	tissue_fixative	embedding_medium	staining_method	objective	nominal_magnification	immersion	lens_numerical_aperture	working_distance	imaging_assay_type	pyramid	physical_size_x	physical_size_y	physical_size_z	size_c	size_t	size_x	size_y	size_z	channel_metadata_file_url_in_cds	type	file.file_id
img_001	Manual	CC BY 4.0    https://creativecommons.org/licenses/by/4.0/	SM	MIBI (Nolan)	MIBI (Nolan)	combine_tiffs-darwin-v0.2-5-g2ec3737	dx.doi.org/10.17504/protocols.io.2fbgbin	Adrenal gland NOS	Primary	Formalin	Unknown			Not Applicable			Not Applicable	MIBI	False	0.48828125	0.48828125	0.48828125	49.0	1.0	1024.0	1024.0	1.0	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_auxiliary_files/neuroblastoma/Channel-level_Metadata_HTAPP_NB_level2_panel18.csv	image	dg.4DFC/62180b44-7e68-11ee-ac28-83d3d6dbbeaa
img_002	Manual	CC BY 4.0    https://creativecommons.org/licenses/by/4.0/	SM	MIBI (Nolan)	MIBI (Nolan)	combine_tiffs-darwin-v0.2-5-g2ec3737	dx.doi.org/10.17504/protocols.io.2fbgbin	Adrenal gland NOS	Primary	Formalin	Unknown			Not Applicable			Not Applicable	MIBI	False	0.48828125	0.48828125	0.48828125	49.0	1.0	1024.0	1024.0	1.0	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_auxiliary_files/neuroblastoma/Channel-level_Metadata_HTAPP_NB_level2_panel18.csv	image	dg.4DFC/6218f0fe-7e68-11ee-b531-4b1b3ff3d459
img_003	Manual	CC BY 4.0    https://creativecommons.org/licenses/by/4.0/	SM	MIBI (Nolan)	MIBI (Nolan)	combine_tiffs-darwin-v0.2-5-g2ec3737	dx.doi.org/10.17504/protocols.io.2fbgbin	Adrenal gland NOS	Primary	Formalin	Unknown			Not Applicable			Not Applicable	MIBI	False	0.48828125	0.48828125	0.48828125	49.0	1.0	1024.0	1024.0	1.0	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_auxiliary_files/neuroblastoma/Channel-level_Metadata_HTAPP_NB_level2_panel18.csv	image	dg.4DFC/6219167e-7e68-11ee-b49c-bfac341135af
img_004	Manual	CC BY 4.0    https://creativecommons.org/licenses/by/4.0/	SM	MIBI (Nolan)	MIBI (Nolan)	combine_tiffs-darwin-v0.2-5-g2ec3737	dx.doi.org/10.17504/protocols.io.2fbgbin	Adrenal gland NOS	Primary	Formalin	Unknown			Not Applicable			Not Applicable	MIBI	False	0.48828125	0.48828125	0.48828125	49.0	1.0	1024.0	1024.0	1.0	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_auxiliary_files/neuroblastoma/Channel-level_Metadata_HTAPP_NB_level2_panel18.csv	image	dg.4DFC/62193ad2-7e68-11ee-9424-c7fd084f17a8
img_005	Manual	CC BY 4.0    https://creativecommons.org/licenses/by/4.0/	SM	MIBI (Nolan)	MIBI (Nolan)	combine_tiffs-darwin-v0.2-5-g2ec3737	dx.doi.org/10.17504/protocols.io.2fbgbin	Adrenal gland NOS	Primary	Formalin	Unknown			Not Applicable			Not Applicable	MIBI	False	0.48828125	0.48828125	0.48828125	49.0	1.0	1024.0	1024.0	1.0	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_auxiliary_files/neuroblastoma/Channel-level_Metadata_HTAPP_NB_level2_panel18.csv	image	dg.4DFC/62195fa8-7e68-11ee-93ef-1fcde06b212e
img_006	Manual	CC BY 4.0    https://creativecommons.org/licenses/by/4.0/	SM	MIBI (Nolan)	MIBI (Nolan)	combine_tiffs-darwin-v0.2-5-g2ec3737	dx.doi.org/10.17504/protocols.io.2fbgbin	Adrenal gland NOS	Primary	Formalin	Unknown			Not Applicable			Not Applicable	MIBI	False	0.48828125	0.48828125	0.48828125	49.0	1.0	1024.0	1024.0	1.0	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_auxiliary_files/neuroblastoma/Channel-level_Metadata_HTAPP_NB_level2_panel18.csv	image	dg.4DFC/6219842e-7e68-11ee-8c55-4f0eb253ae28
img_007	Manual	CC BY 4.0    https://creativecommons.org/licenses/by/4.0/	SM	MIBI (Nolan)	MIBI (Nolan)	combine_tiffs-darwin-v0.2-5-g2ec3737	dx.doi.org/10.17504/protocols.io.2fbgbin	Paraspinal	Primary	Formalin	Unknown			Not Applicable			Not Applicable	MIBI	False	0.48828125	0.48828125	0.48828125	49.0	1.0	1024.0	1024.0	1.0	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_auxiliary_files/neuroblastoma/Channel-level_Metadata_HTAPP_NB_level2_panel18.csv	image	dg.4DFC/6219a7ce-7e68-11ee-af61-438d2bb8e053
img_008	Manual	CC BY 4.0    https://creativecommons.org/licenses/by/4.0/	SM	MIBI (Nolan)	MIBI (Nolan)	combine_tiffs-darwin-v0.2-5-g2ec3737	dx.doi.org/10.17504/protocols.io.2fbgbin	Paraspinal	Primary	Formalin	Unknown			Not Applicable			Not Applicable	MIBI	False	0.48828125	0.48828125	0.48828125	49.0	1.0	1024.0	1024.0	1.0	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_auxiliary_files/neuroblastoma/Channel-level_Metadata_HTAPP_NB_level2_panel18.csv	image	dg.4DFC/6219cbaa-7e68-11ee-b257-a7b1c032cef3
img_009	Manual	CC BY 4.0    https://creativecommons.org/licenses/by/4.0/	SM	MIBI (Nolan)	MIBI (Nolan)	combine_tiffs-darwin-v0.2-5-g2ec3737	dx.doi.org/10.17504/protocols.io.2fbgbin	Paraspinal	Primary	Formalin	Unknown			Not Applicable			Not Applicable	MIBI	False	0.48828125	0.48828125	0.48828125	49.0	1.0	1024.0	1024.0	1.0	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_auxiliary_files/neuroblastoma/Channel-level_Metadata_HTAPP_NB_level2_panel18.csv	image	dg.4DFC/6219f0c6-7e68-11ee-97e2-cb22188803a5
img_010	Manual	CC BY 4.0    https://creativecommons.org/licenses/by/4.0/	SM	MIBI (Nolan)	MIBI (Nolan)	combine_tiffs-darwin-v0.2-5-g2ec3737	dx.doi.org/10.17504/protocols.io.2fbgbin	Paraspinal	Primary	Formalin	Unknown			Not Applicable			Not Applicable	MIBI	False	0.48828125	0.48828125	0.48828125	49.0	1.0	1024.0	1024.0	1.0	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_auxiliary_files/neuroblastoma/Channel-level_Metadata_HTAPP_NB_level2_panel18.csv	image	dg.4DFC/621a18da-7e68-11ee-aa84-b73d66b6e9f0
img_011	Manual	CC BY 4.0    https://creativecommons.org/licenses/by/4.0/	SM	MIBI (Nolan)	MIBI (Nolan)	combine_tiffs-darwin-v0.2-5-g2ec3737	dx.doi.org/10.17504/protocols.io.2fbgbin	Paraspinal	Primary	Formalin	Unknown			Not Applicable			Not Applicable	MIBI	False	0.48828125	0.48828125	0.48828125	49.0	1.0	1024.0	1024.0	1.0	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_auxiliary_files/neuroblastoma/Channel-level_Metadata_HTAPP_NB_level2_panel18.csv	image	dg.4DFC/621a3d1a-7e68-11ee-9f68-0b5082b5e2de
img_012	Manual	CC BY 4.0    https://creativecommons.org/licenses/by/4.0/	SM	MIBI (Nolan)	MIBI (Nolan)	combine_tiffs-darwin-v0.2-5-g2ec3737	dx.doi.org/10.17504/protocols.io.2fbgbin	Paraspinal	Primary	Formalin	Unknown			Not Applicable			Not Applicable	MIBI	False	0.48828125	0.48828125	0.48828125	49.0	1.0	1024.0	1024.0	1.0	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_auxiliary_files/neuroblastoma/Channel-level_Metadata_HTAPP_NB_level2_panel18.csv	image	dg.4DFC/621a615a-7e68-11ee-9311-b7e73dcd8909
img_013	Manual	CC BY 4.0    https://creativecommons.org/licenses/by/4.0/	SM	MIBI (Nolan)	MIBI (Nolan)	combine_tiffs-darwin-v0.2-5-g2ec3737	dx.doi.org/10.17504/protocols.io.2fbgbin	Adrenal gland NOS	Primary	Formalin	Unknown			Not Applicable			Not Applicable	MIBI	False	0.48828125	0.48828125	0.48828125	49.0	1.0	1024.0	1024.0	1.0	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_auxiliary_files/neuroblastoma/Channel-level_Metadata_HTAPP_NB_level2_panel18.csv	image	dg.4DFC/621a85fe-7e68-11ee-86b1-93773c708d7a
img_014	Manual	CC BY 4.0    https://creativecommons.org/licenses/by/4.0/	SM	MIBI (Nolan)	MIBI (Nolan)	combine_tiffs-darwin-v0.2-5-g2ec3737	dx.doi.org/10.17504/protocols.io.2fbgbin	Adrenal gland NOS	Primary	Formalin	Unknown			Not Applicable			Not Applicable	MIBI	False	0.48828125	0.48828125	0.48828125	49.0	1.0	1024.0	1024.0	1.0	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_auxiliary_files/neuroblastoma/Channel-level_Metadata_HTAPP_NB_level2_panel18.csv	image	dg.4DFC/621aadfe-7e68-11ee-bacb-af95ec085cff
img_015	Manual	CC BY 4.0    https://creativecommons.org/licenses/by/4.0/	SM	MIBI (Nolan)	MIBI (Nolan)	combine_tiffs-darwin-v0.2-5-g2ec3737	dx.doi.org/10.17504/protocols.io.2fbgbin	Adrenal gland NOS	Primary	Formalin	Unknown			Not Applicable			Not Applicable	MIBI	False	0.48828125	0.48828125	0.48828125	49.0	1.0	1024.0	1024.0	1.0	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_auxiliary_files/neuroblastoma/Channel-level_Metadata_HTAPP_NB_level2_panel18.csv	image	dg.4DFC/621ad248-7e68-11ee-a9e9-f702ebed4587
img_016	Manual	CC BY 4.0    https://creativecommons.org/licenses/by/4.0/	SM	MIBI (Nolan)	MIBI (Nolan)	combine_tiffs-darwin-v0.2-5-g2ec3737	dx.doi.org/10.17504/protocols.io.2fbgbin	Adrenal gland NOS	Primary	Formalin	Unknown			Not Applicable			Not Applicable	MIBI	False	0.48828125	0.48828125	0.48828125	49.0	1.0	1024.0	1024.0	1.0	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_auxiliary_files/neuroblastoma/Channel-level_Metadata_HTAPP_NB_level2_panel18.csv	image	dg.4DFC/621af5a2-7e68-11ee-b176-afacb264bd40
img_017	Manual	CC BY 4.0    https://creativecommons.org/licenses/by/4.0/	SM	MIBI (Nolan)	MIBI (Nolan)	combine_tiffs-darwin-v0.2-5-g2ec3737	dx.doi.org/10.17504/protocols.io.2fbgbin	Adrenal gland NOS	Primary	Formalin	Unknown			Not Applicable			Not Applicable	MIBI	False	0.48828125	0.48828125	0.48828125	49.0	1.0	1024.0	1024.0	1.0	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_auxiliary_files/neuroblastoma/Channel-level_Metadata_HTAPP_NB_level2_panel18.csv	image	dg.4DFC/621b1a32-7e68-11ee-bdae-8b8f3c55f398
img_018	Manual	CC BY 4.0    https://creativecommons.org/licenses/by/4.0/	SM	MIBI (Nolan)	MIBI (Nolan)	combine_tiffs-darwin-v0.2-5-g2ec3737	dx.doi.org/10.17504/protocols.io.2fbgbin	Adrenal gland NOS	Primary	Formalin	Unknown			Not Applicable			Not Applicable	MIBI	False	0.48828125	0.48828125	0.48828125	49.0	1.0	1024.0	1024.0	1.0	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_auxiliary_files/neuroblastoma/Channel-level_Metadata_HTAPP_NB_level2_panel18.csv	image	dg.4DFC/621b3e22-7e68-11ee-8b71-97f4ff57d54d
