library_id	bases	number_of_reads	avg_read_length	coverage	reference_genome_assembly	design_description	library_strategy	library_layout	library_source	library_selection	platform	instrument_model	sequence_alignment_software	type	genomic_info_id	file.file_id
0DH5VN	92639378292	651988054	150.0	433.7143374	GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	BWA 0.7.17-r1188	genomic_info	dg.4DFC/8d1e48bf-a0f3-4cb2-823a-75906260b649_0DH5VN	dg.4DFC/8d1e48bf-a0f3-4cb2-823a-75906260b649
0DH5UC	81896858352	590612442	150.0	353.5568318	GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	BWA 0.7.17-r1188	genomic_info	dg.4DFC/8e6a7bd6-ab94-454f-9798-1db5ce9eb496_0DH5UC	dg.4DFC/8e6a7bd6-ab94-454f-9798-1db5ce9eb496
0DH5VF	1057000000	7000000	151.0	233.7598425	GRCh37	Anchored Multiplex PCR (AMP (TM)) chemistry is purpose-built to accurately identify both simple and complex genetic mutations by leveraging the power of bidirectional primers and molecular barcodes, or MBCs, from low nucleic acid input in tissue or blood. AMP chemistry is also flexible, so it can be used for applications in DNA, RNA, and ctDNA sequencing across most tumor type.	Archer Fusion	Paired-End	Transcriptomic	other	Illumina	Illumina MiSeq	ArcherDX	genomic_info	dg.4DFC/88bc2e1e-1f74-4721-845b-bf88d7564689_0DH5VF	dg.4DFC/88bc2e1e-1f74-4721-845b-bf88d7564689
0DH5VF	1057000000	7000000	151.0	233.7598425	GRCh37	Anchored Multiplex PCR (AMP (TM)) chemistry is purpose-built to accurately identify both simple and complex genetic mutations by leveraging the power of bidirectional primers and molecular barcodes, or MBCs, from low nucleic acid input in tissue or blood. AMP chemistry is also flexible, so it can be used for applications in DNA, RNA, and ctDNA sequencing across most tumor type.	Archer Fusion	Paired-End	Transcriptomic	other	Illumina	Illumina MiSeq	ArcherDX	genomic_info	dg.4DFC/c7bb1545-bdba-4c74-b818-d71a14afe94f_0DH5VF	dg.4DFC/c7bb1545-bdba-4c74-b818-d71a14afe94f
0DH5UC					GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000		genomic_info	dg.4DFC/e073e972-ef82-496c-b437-9335df1ba98a_0DH5UC	dg.4DFC/e073e972-ef82-496c-b437-9335df1ba98a
0DH5UC					GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000		genomic_info	dg.4DFC/409ac0f5-7b43-422e-a4a2-9bf466f13430_0DH5UC	dg.4DFC/409ac0f5-7b43-422e-a4a2-9bf466f13430
0DH5VN					GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000		genomic_info	dg.4DFC/d9e2f541-b370-4f5c-87df-6a71e3cda865_0DH5VN	dg.4DFC/d9e2f541-b370-4f5c-87df-6a71e3cda865
0DH5UC					GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000		genomic_info	dg.4DFC/05365dd4-d5f4-4407-abed-f0edf4d253a9_0DH5UC	dg.4DFC/05365dd4-d5f4-4407-abed-f0edf4d253a9
0DH5VF					GRCh37	Anchored Multiplex PCR (AMP (TM)) chemistry is purpose-built to accurately identify both simple and complex genetic mutations by leveraging the power of bidirectional primers and molecular barcodes, or MBCs, from low nucleic acid input in tissue or blood. AMP chemistry is also flexible, so it can be used for applications in DNA, RNA, and ctDNA sequencing across most tumor type.	Archer Fusion	Paired-End	Transcriptomic	other	Illumina	Illumina MiSeq		genomic_info	dg.4DFC/9b5df4a0-c9bc-4e1b-b1b3-bfb4ece69f8c_0DH5VF	dg.4DFC/9b5df4a0-c9bc-4e1b-b1b3-bfb4ece69f8c
0DH5VF					GRCh37	Anchored Multiplex PCR (AMP (TM)) chemistry is purpose-built to accurately identify both simple and complex genetic mutations by leveraging the power of bidirectional primers and molecular barcodes, or MBCs, from low nucleic acid input in tissue or blood. AMP chemistry is also flexible, so it can be used for applications in DNA, RNA, and ctDNA sequencing across most tumor type.	Archer Fusion	Paired-End	Transcriptomic	other	Illumina	Illumina MiSeq		genomic_info	dg.4DFC/c4091cf8-5ded-4d23-b9f9-22dddb3da68e_0DH5VF	dg.4DFC/c4091cf8-5ded-4d23-b9f9-22dddb3da68e
0DH5VF					GRCh37	Anchored Multiplex PCR (AMP (TM)) chemistry is purpose-built to accurately identify both simple and complex genetic mutations by leveraging the power of bidirectional primers and molecular barcodes, or MBCs, from low nucleic acid input in tissue or blood. AMP chemistry is also flexible, so it can be used for applications in DNA, RNA, and ctDNA sequencing across most tumor type.	Archer Fusion	Paired-End	Transcriptomic	other	Illumina	Illumina MiSeq		genomic_info	dg.4DFC/d6c9def0-dca1-44a8-a151-27b8cc28c82a_0DH5VF	dg.4DFC/d6c9def0-dca1-44a8-a151-27b8cc28c82a
