library_id	bases	number_of_reads	avg_read_length	coverage	reference_genome_assembly	design_description	library_strategy	library_layout	library_source	library_selection	platform	instrument_model	sequence_alignment_software	type	genomic_info_id	file.file_id
0DF2AV	249000000000	1839904642	150.0	297.7574524	GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	BWA 0.7.17-r1188	genomic_info	dg.4DFC/efc1c8b0-56db-4eb5-9293-3bea3afce398_0DF2AV	dg.4DFC/efc1c8b0-56db-4eb5-9293-3bea3afce398
0DF2B9	40816397275	320172352	150.0	185.7578578	GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	BWA 0.7.17-r1188	genomic_info	dg.4DFC/b268b437-0e17-4808-92cd-bc227d341397_0DF2B9	dg.4DFC/b268b437-0e17-4808-92cd-bc227d341397
0DF2B9					GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000		genomic_info	dg.4DFC/c63bb711-5c8a-4908-a6bf-749020ac66dd_0DF2B9	dg.4DFC/c63bb711-5c8a-4908-a6bf-749020ac66dd
0DF2B9					GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000		genomic_info	dg.4DFC/1bf4b94d-1f19-42ab-b227-710c8fe979fa_0DF2B9	dg.4DFC/1bf4b94d-1f19-42ab-b227-710c8fe979fa
0DF2AV					GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000		genomic_info	dg.4DFC/bc226c81-6cf8-4639-a884-4ee082abd6a8_0DF2AV	dg.4DFC/bc226c81-6cf8-4639-a884-4ee082abd6a8
0DF2B9					GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000		genomic_info	dg.4DFC/156cb29f-1853-4770-a269-23aee94f7d95_0DF2B9	dg.4DFC/156cb29f-1853-4770-a269-23aee94f7d95
0DF2AV					GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000		genomic_info	dg.4DFC/e320946e-9e77-43f8-a490-1683e3b7ca7d_0DF2AV	dg.4DFC/e320946e-9e77-43f8-a490-1683e3b7ca7d
0DF2AV					GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000		genomic_info	dg.4DFC/6654fe69-881e-41f5-9afd-5bb240215ce3_0DF2AV	dg.4DFC/6654fe69-881e-41f5-9afd-5bb240215ce3
0DF2AV					GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000		genomic_info	dg.4DFC/1e54d5d6-391e-42f5-a706-d6a2ad72a4b4_0DF2AV	dg.4DFC/1e54d5d6-391e-42f5-a706-d6a2ad72a4b4
0DF2B9					GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000		genomic_info	dg.4DFC/ee4f076e-775f-4832-a116-daa36f70491f_0DF2B9	dg.4DFC/ee4f076e-775f-4832-a116-daa36f70491f
