library_id	bases	number_of_reads	avg_read_length	coverage	reference_genome_assembly	design_description	library_strategy	library_layout	library_source	library_selection	platform	instrument_model	sequence_alignment_software	type	genomic_info_id	file.file_id
0DDA6Z	80135387696	584563486	150.0	280.8879989	GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	BWA 0.7.17-r1188	genomic_info	dg.4DFC/40a5bd1c-47ae-46de-9d1f-3476b420ad98_0DDA6Z	dg.4DFC/40a5bd1c-47ae-46de-9d1f-3476b420ad98
0DDA6Z					GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000		genomic_info	dg.4DFC/933955d6-e6a6-4b39-878d-e4c307cf056f_0DDA6Z	dg.4DFC/933955d6-e6a6-4b39-878d-e4c307cf056f
0DDA6Z					GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000		genomic_info	dg.4DFC/51e0be84-a025-48fe-a29d-823c66ce3ce0_0DDA6Z	dg.4DFC/51e0be84-a025-48fe-a29d-823c66ce3ce0
0DDA6Z					GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000		genomic_info	dg.4DFC/1f56572a-7731-449e-9728-6a533671c0de_0DDA6Z	dg.4DFC/1f56572a-7731-449e-9728-6a533671c0de
0DDA6Z					GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000		genomic_info	dg.4DFC/0d3ce1e2-d0fb-4387-8342-af3cd6ac0db6_0DDA6Z	dg.4DFC/0d3ce1e2-d0fb-4387-8342-af3cd6ac0db6
0DDCAN	80775112111	581088586	150.0	265.8944038	GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	BWA 0.7.17-r1188	genomic_info	dg.4DFC/f0b46fc7-3270-448a-a32b-8192373cddc5_0DDCAN	dg.4DFC/f0b46fc7-3270-448a-a32b-8192373cddc5
0DDCAN					GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000		genomic_info	dg.4DFC/764b0e4a-e384-4d3b-9849-d28e57be5b55_0DDCAN	dg.4DFC/764b0e4a-e384-4d3b-9849-d28e57be5b55
0DDCAN					GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000		genomic_info	dg.4DFC/cd5121f8-fff5-498e-be2b-e1a0d7ea4dec_0DDCAN	dg.4DFC/cd5121f8-fff5-498e-be2b-e1a0d7ea4dec
0DDCAN					GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000		genomic_info	dg.4DFC/517dcab0-bc1c-4003-a00a-17794d573fff_0DDCAN	dg.4DFC/517dcab0-bc1c-4003-a00a-17794d573fff
0DDCAN					GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000		genomic_info	dg.4DFC/77069ab8-a715-4304-bae6-b13aeaed6504_0DDCAN	dg.4DFC/77069ab8-a715-4304-bae6-b13aeaed6504
0DE0QR	44546100629	310126720	150.0	263.6491169	GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	BWA 0.7.17-r1188	genomic_info	dg.4DFC/b6a35d61-ce1c-4818-9a85-7726f5a2d455_0DE0QR	dg.4DFC/b6a35d61-ce1c-4818-9a85-7726f5a2d455
