type	generic_file_id	file_name	data_category	file_type	file_description	file_size	md5sum	file_mapping_level	file_access	acl	authz	file_url	dcf_indexd_guid	crdc_id	id	study.id	participant.id	sample.id
generic_file	onco1500-v6-targets-ucsc.bed.gz.tbi	onco1500-v6-targets-ucsc.bed.gz.tbi	Generic	tbi	design_description=DNA-Roche OncoSeq v6;reference_genome_assembly=GRCh38	122754	7cbd3ec80f7d05faa9ea2bdf2f4a6fb5	Study	Controlled	['phs002431']	['/programs/phs002431']	s3://cds-262-phs002431-sequencefiles-p30-fy20/refs/onco1500-v6-targets-ucsc.bed.gz.tbi	dg.4DFC/ef9a21db-94bd-4af9-8015-2faa51e08c97		004dfda0-3064-517a-a362-f290b9eaeb36	f4bf3540-f73b-5034-9595-7ab4b0fdafe4		
generic_file	onco1500-v2-targets-ucsc.bed.gz	onco1500-v2-targets-ucsc.bed.gz	Generic	bed	design_description=DNA-Roche Onco1500 v2 Library,140126_UM_CLIA_EZ_HX1;tpo_configuration_reference=CNVEX_CAPTURE;tpo_configuration_reference=ANNO_TARGETS;reference_genome_assembly=GRCh38	179979	cb77e173ea43ea8152921dc17aa18694	Study	Controlled	['phs002431']	['/programs/phs002431']	s3://cds-262-phs002431-sequencefiles-p30-fy20/refs/onco1500-v2-targets-ucsc.bed.gz	dg.4DFC/30e95987-2a77-4f15-9bdb-24f803e5321d		1762e4d7-2b47-53dd-8f35-54c736a85939	f4bf3540-f73b-5034-9595-7ab4b0fdafe4		
generic_file	agilent-v4-targets-ucsc.bed.gz	agilent-v4-targets-ucsc.bed.gz	Generic	bed	design_description=DNA-Agilent SureSelect Exome V4;tpo_configuration_reference=CNVEX_CAPTURE;tpo_configuration_reference=ANNO_TARGETS;reference_genome_assembly=GRCh38	1495210	fe390dffad1cfc04d6a50e2cbdba65f0	Study	Controlled	['phs002431']	['/programs/phs002431']	s3://cds-262-phs002431-sequencefiles-p30-fy20/refs/agilent-v4-targets-ucsc.bed.gz	dg.4DFC/95c2648a-fde3-4b2e-8107-f6226bcfaa96		179c06c3-1641-5598-af21-bb5f48f382e9	f4bf3540-f73b-5034-9595-7ab4b0fdafe4		
generic_file	onco1500-v6-targets-ucsc.bed.gz	onco1500-v6-targets-ucsc.bed.gz	Generic	bed	design_description=DNA-Roche OncoSeq v6;tpo_configuration_reference=CNVEX_CAPTURE;tpo_configuration_reference=ANNO_TARGETS;reference_genome_assembly=GRCh38	257137	8e1ab7161b37f835d336800be15b0c6b	Study	Controlled	['phs002431']	['/programs/phs002431']	s3://cds-262-phs002431-sequencefiles-p30-fy20/refs/onco1500-v6-targets-ucsc.bed.gz	dg.4DFC/62284c6d-1b36-473a-9d6c-a4cd75461e41		2461a061-ec87-5585-9926-a63b0e69f13d	f4bf3540-f73b-5034-9595-7ab4b0fdafe4		
generic_file	onco1500-v6a-targets-ucsc.bed.gz	onco1500-v6a-targets-ucsc.bed.gz	Generic	bed	design_description=DNA-Roche OncoSeq v6a;tpo_configuration_reference=CNVEX_CAPTURE;tpo_configuration_reference=ANNO_TARGETS;reference_genome_assembly=GRCh38	256996	0ec13523355d749ded6fa7886b6b5d42	Study	Controlled	['phs002431']	['/programs/phs002431']	s3://cds-262-phs002431-sequencefiles-p30-fy20/refs/onco1500-v6a-targets-ucsc.bed.gz	dg.4DFC/72df483a-c1d5-4c82-9576-fbc57ab2e654		2e7b6dcb-c6ee-5b75-a1fd-d2f151980202	f4bf3540-f73b-5034-9595-7ab4b0fdafe4		
generic_file	grch38_full_analysis_set_plus_decoy_hla.fa	grch38_full_analysis_set_plus_decoy_hla.fa	Generic	fasta	reference_genome_assembly=GRCh38	3263683042	64b32de2fc934679c16e83a2bc072064	Study	Controlled	['phs002431']	['/programs/phs002431']	s3://cds-262-phs002431-sequencefiles-p30-fy20/refs/grch38_full_analysis_set_plus_decoy_hla.fa	dg.4DFC/8f2280e8-dfa7-11ed-9db7-4b1aecb854b5		4dbff59c-344f-583a-8070-ad4fed385d6f	f4bf3540-f73b-5034-9595-7ab4b0fdafe4		
generic_file	onco1500-v4-targets-ucsc.interval_list	onco1500-v4-targets-ucsc.interval_list	Generic	txt	design_description=DNA-Roche Onco1500 v4_160111_HG19_OncoPanelV4_XC_EZ_HX1;tpo_configuration_reference=MISC_TARGETS;reference_genome_assembly=GRCh38	1445897	bdb1cc30ad661943a7875bd10c5eef17	Study	Controlled	['phs002431']	['/programs/phs002431']	s3://cds-262-phs002431-sequencefiles-p30-fy20/refs/onco1500-v4-targets-ucsc.interval_list	dg.4DFC/56a09476-e503-4fb2-8f28-c2e7759515d1		57ef5a12-0e1d-53d5-a9c6-0cdd577e8f68	f4bf3540-f73b-5034-9595-7ab4b0fdafe4		
generic_file	onco1500-v6-targets-ucsc.interval_list	onco1500-v6-targets-ucsc.interval_list	Generic	txt	design_description=DNA-Roche OncoSeq v6;tpo_configuration_reference=MISC_TARGETS;reference_genome_assembly=GRCh38	1645703	61942f3eac352213d2be405fefce1f18	Study	Controlled	['phs002431']	['/programs/phs002431']	s3://cds-262-phs002431-sequencefiles-p30-fy20/refs/onco1500-v6-targets-ucsc.interval_list	dg.4DFC/1b0f0562-dfa8-4d55-9566-62e1bd3e7b59		583d00a2-315a-5069-8cd3-ca477ff7ede6	f4bf3540-f73b-5034-9595-7ab4b0fdafe4		
generic_file	agilent-v4-targets-ucsc.bed.gz.tbi	agilent-v4-targets-ucsc.bed.gz.tbi	Generic	tbi	design_description=DNA-Agilent SureSelect Exome V4;reference_genome_assembly=GRCh38	406341	4c6b800b57cd7c936b0dc1be013d102a	Study	Controlled	['phs002431']	['/programs/phs002431']	s3://cds-262-phs002431-sequencefiles-p30-fy20/refs/agilent-v4-targets-ucsc.bed.gz.tbi	dg.4DFC/da08d542-7da4-442c-b635-83095ac1d7f1		79a1da99-6c39-51e9-b7b9-fd0500288234	f4bf3540-f73b-5034-9595-7ab4b0fdafe4		
generic_file	grch38_noalt_plus_virus.fa	grch38_noalt_plus_virus.fa	Generic	fasta	reference_genome_assembly=GRCh38	3153887514	588c84ed2c1a4a7dd1da0c0f6dee7000	Study	Controlled	['phs002431']	['/programs/phs002431']	s3://cds-262-phs002431-sequencefiles-p30-fy20/refs/grch38_noalt_plus_virus.fa	dg.4DFC/8f22feba-dfa7-11ed-8eaf-0f7518c06c47		8158e8d5-a654-5486-92a7-c0ed45d38e35	f4bf3540-f73b-5034-9595-7ab4b0fdafe4		
