reference_genome_assembly	library_strategy	library_layout	library_source	library_selection	platform	type	genomic_info_id	file.file_id	instrument_model
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Unknown	genomic_info	dg.4DFC/9c56d21a-c9b2-11ed-ad8a-abb54dce7a5d	dg.4DFC/9c56d21a-c9b2-11ed-ad8a-abb54dce7a5d	Not specified in data
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Unknown	genomic_info	dg.4DFC/9c58785e-c9b2-11ed-8cf5-3365a9bdfd31	dg.4DFC/9c58785e-c9b2-11ed-8cf5-3365a9bdfd31	Not specified in data
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Unknown	genomic_info	dg.4DFC/9c58b918-c9b2-11ed-a2ed-bb7602751b68	dg.4DFC/9c58b918-c9b2-11ed-a2ed-bb7602751b68	Not specified in data
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Unknown	genomic_info	dg.4DFC/9c58f978-c9b2-11ed-9e91-334b12ea6df4	dg.4DFC/9c58f978-c9b2-11ed-9e91-334b12ea6df4	Not specified in data
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Unknown	genomic_info	dg.4DFC/9c593aaa-c9b2-11ed-866f-ef785af2185b	dg.4DFC/9c593aaa-c9b2-11ed-866f-ef785af2185b	Not specified in data
Not specified in data	WXS	Paired-End	Genomic	Hybrid Selection	Unknown	genomic_info	dg.4DFC/9c5979f2-c9b2-11ed-90be-f327290ce368	dg.4DFC/9c5979f2-c9b2-11ed-90be-f327290ce368	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c59b926-c9b2-11ed-ba29-dfe91f44be2b	dg.4DFC/9c59b926-c9b2-11ed-ba29-dfe91f44be2b	Not specified in data
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c59f940-c9b2-11ed-90cb-87b37a199b39	dg.4DFC/9c59f940-c9b2-11ed-90cb-87b37a199b39	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c5a37a2-c9b2-11ed-b8b2-db47c7b495e7	dg.4DFC/9c5a37a2-c9b2-11ed-b8b2-db47c7b495e7	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c5a785c-c9b2-11ed-9b15-331a86819f97	dg.4DFC/9c5a785c-c9b2-11ed-9b15-331a86819f97	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c5ab89e-c9b2-11ed-99fc-c3f2ab966345	dg.4DFC/9c5ab89e-c9b2-11ed-99fc-c3f2ab966345	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c5af818-c9b2-11ed-9fa9-fb98dd558712	dg.4DFC/9c5af818-c9b2-11ed-9fa9-fb98dd558712	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c5b3ada-c9b2-11ed-b843-13b4c7378dfd	dg.4DFC/9c5b3ada-c9b2-11ed-b843-13b4c7378dfd	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c5b7a22-c9b2-11ed-9630-13d880447071	dg.4DFC/9c5b7a22-c9b2-11ed-9630-13d880447071	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c5bbbc2-c9b2-11ed-b2c4-9f6cab9ab523	dg.4DFC/9c5bbbc2-c9b2-11ed-b2c4-9f6cab9ab523	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c5bfa56-c9b2-11ed-80f8-b7344f488b58	dg.4DFC/9c5bfa56-c9b2-11ed-80f8-b7344f488b58	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c5c39a8-c9b2-11ed-81c4-53f7b4058933	dg.4DFC/9c5c39a8-c9b2-11ed-81c4-53f7b4058933	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c5c78f0-c9b2-11ed-ba9e-dfd412a7695d	dg.4DFC/9c5c78f0-c9b2-11ed-ba9e-dfd412a7695d	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c5cbf90-c9b2-11ed-a7e7-13380bec345f	dg.4DFC/9c5cbf90-c9b2-11ed-a7e7-13380bec345f	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c5cff3c-c9b2-11ed-8114-4f99e1c40898	dg.4DFC/9c5cff3c-c9b2-11ed-8114-4f99e1c40898	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c5d3e3e-c9b2-11ed-8a82-cf38d9e1ea2a	dg.4DFC/9c5d3e3e-c9b2-11ed-8a82-cf38d9e1ea2a	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c5d8010-c9b2-11ed-aea2-0b8728038898	dg.4DFC/9c5d8010-c9b2-11ed-aea2-0b8728038898	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c5dc0ca-c9b2-11ed-acbe-838131c6530f	dg.4DFC/9c5dc0ca-c9b2-11ed-acbe-838131c6530f	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c5dfeb4-c9b2-11ed-b8ce-3fc6fae9e24b	dg.4DFC/9c5dfeb4-c9b2-11ed-b8ce-3fc6fae9e24b	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c5e4130-c9b2-11ed-a4d8-8fc0fe3edf0e	dg.4DFC/9c5e4130-c9b2-11ed-a4d8-8fc0fe3edf0e	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c5e7fa6-c9b2-11ed-85f7-d33e8dc8e990	dg.4DFC/9c5e7fa6-c9b2-11ed-85f7-d33e8dc8e990	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c5ec09c-c9b2-11ed-a585-5b0abd21f9aa	dg.4DFC/9c5ec09c-c9b2-11ed-a585-5b0abd21f9aa	Not specified in data
GRCh37-lite	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c5f0692-c9b2-11ed-a4ca-c7c3e7680e49	dg.4DFC/9c5f0692-c9b2-11ed-a4ca-c7c3e7680e49	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c5f47b0-c9b2-11ed-8fe8-03b44cb6ee03	dg.4DFC/9c5f47b0-c9b2-11ed-8fe8-03b44cb6ee03	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c5f8b76-c9b2-11ed-9ee2-ef68c6114bf8	dg.4DFC/9c5f8b76-c9b2-11ed-9ee2-ef68c6114bf8	Not specified in data
