id	study.id	publication_id	pubmed_id	type
0aed67a9-9619-541e-bc6e-6255900a4894	1850c1db-ee82-5be7-8e74-a243547b2963	phs002504_pub_2	26457647	publication
178e3916-72e9-50ef-bf4a-454ce4308b6f	1850c1db-ee82-5be7-8e74-a243547b2963	phs002504_pub_8	33139265	publication
244cdfc7-6e69-5a7f-bdf1-4fe8f4fd5b3e	1850c1db-ee82-5be7-8e74-a243547b2963	phs002504_pub_4	29528181	publication
7ed0bce2-d969-5833-9878-f65af3d22e74	1850c1db-ee82-5be7-8e74-a243547b2963	phs002504_pub_9	33375775	publication
91201c62-3744-5f21-8f8d-f3cdcb0d2230	1850c1db-ee82-5be7-8e74-a243547b2963	phs002504_pub_1	25704135	publication
a0972635-9fdd-5b1b-b243-ff6b50a24f37	1850c1db-ee82-5be7-8e74-a243547b2963	phs002504_pub_5	31347788	publication
a606ec78-69d2-5bd2-8a3f-726799f2c7db	1850c1db-ee82-5be7-8e74-a243547b2963	phs002504_pub_7	32815876	publication
a9edbcdc-e8f5-561b-8493-200623829e0b	1850c1db-ee82-5be7-8e74-a243547b2963	10.3324_haematol.2023.283776	38152053	publication
aeb2b862-aee8-5a19-b112-3e7a0b92e288	1850c1db-ee82-5be7-8e74-a243547b2963	10.1158_2159-8290.CD-23-1376	38867349	publication
cbc30cff-bd19-587d-a6bc-b22c01900f88	1850c1db-ee82-5be7-8e74-a243547b2963	phs002504_pub_6	31511612	publication
ebdfd32f-1b32-57c6-aa0c-b12023fcae46	1850c1db-ee82-5be7-8e74-a243547b2963	phs002504_pub_3	29259179	publication
