"type"	"id"	"reference_file_id"	"file_name"	"file_type"	"file_description"	"file_category"	"file_size"	"md5sum"	"reference_file_url"	"dcf_indexd_guid"	"study.id"
"reference_file"	"748cbb0c-9151-5ed0-a59d-29c35a97d872"	"48b2b27e-dd90-4c59-8214-6af4f7a6a59b"	"c3dc_etl.py"	"py"	"Python script implementation of ETL process"	"programmatic source code"	"124129"	"76a59a1589416bfd9881ea02c8b9249f"	"https://github.com/chicagopcdc/c3dc_etl/blob/20250822.1/etl/mci/c3dc_etl.py"	"fd04a7a9-d477-439f-ac8c-52a01f00edd9"	"aeabcb94-66df-5dc9-8c96-d49cd2a43a44"
"reference_file"	"f1cd47c9-b3fe-5571-a16a-6f4ae2b71d9f"	"cdfa1c65-5003-4e87-85a0-5891011e91d6"	"schema.json"	"json"	"JSON schema representation of YAML C3DC model schema"	"output schema"	"386533"	"de2768a4a26c8ffbd5b757b0e1e32002"	"https://github.com/chicagopcdc/c3dc_etl/blob/20250822.1/schema/schema.json"	"3ea87a5a-213d-4420-b195-de371964dcf8"	"aeabcb94-66df-5dc9-8c96-d49cd2a43a44"
"reference_file"	"ba5044a9-473c-5ad3-a9fb-52a9e4231480"	"d1980a95-aa77-4f6a-8794-f9fafa679f73"	"C3DC Mappings.xlsx"	"xlsx"	"Excel spreadsheet (XLSX) file containing tabular source-to-destination mappings and transformations. Transformed by mapping unpivoter script into JSON format for input into ETL script."	"transformation/mapping"	"590473"	"2df46fac0760a2230d4dec0bf5692454"	"https://github.com/chicagopcdc/c3dc_etl/blob/20250822.1/mapping_unpivoter/C3DC%20Mappings.xlsx"	"42eaec88-6abf-4ccb-895b-cd50fbd891a0"	"aeabcb94-66df-5dc9-8c96-d49cd2a43a44"
"reference_file"	"725267e9-52d6-5c36-8840-e04252ac9897"	"0c382866-a931-46c7-8118-60704ec14a73"	"phs002790.json"	"json"	"JSON file containing source-to-destination mappings and transformations. The self-referential properties 'file_size' and 'md5sum' are set to the values calculated when both fields are set to 0 and blank ('') respectively"	"transformation/mapping"	"20423368"	"84ccc64f3d46d84c5db4f34b49d175e9"	"https://github.com/chicagopcdc/c3dc_etl/blob/20250822.1/etl/mci/transformations/phs002790.json"	"e62145a1-398e-4176-af2c-8e43150c5e60"	"aeabcb94-66df-5dc9-8c96-d49cd2a43a44"
"reference_file"	"a6797753-e541-5f01-ac4a-9c81475e155f"	"c8498d2d-0964-4616-8f9f-75428d74d300"	"PANLMU.json"	"json"	"JSON file containing input source data"	"input source data"	"22737"	"edc0d17e59c97c04ecc5230fb7ded4c3"	"s3://cds-305-phs002790-production-ccdi-ctsmc/2025_05_05_Release_Clinical/Clinical_JSONs/APEC14B1-CCDI-MCI-2024H2/PANLMU.json"	"dg.4DFC/ae9542b5-89d8-4e7d-855e-28315c5f7b3d"	"aeabcb94-66df-5dc9-8c96-d49cd2a43a44"
"reference_file"	"4b03429d-b0a1-5571-bfdb-5ad01bfe779f"	"a3d1e218-0c1a-4b6c-9394-989084b9471f"	"PARGFV.json"	"json"	"JSON file containing input source data"	"input source data"	"28062"	"46870fb85fe539327b1099bf7306527f"	"s3://cds-305-phs002790-production-ccdi-ctsmc/2025_05_05_Release_Clinical/Clinical_JSONs/APEC14B1-CCDI-MCI-2024H2/PARGFV.json"	"dg.4DFC/ceb9f5ee-0780-4153-bf59-44424f3941da"	"aeabcb94-66df-5dc9-8c96-d49cd2a43a44"
"reference_file"	"40d137e6-a7cf-5bae-a7fd-cb2761422c3e"	"39cb9388-2002-45eb-879c-6bb7f76f9347"	"PAUIAV.json"	"json"	"JSON file containing input source data"	"input source data"	"16881"	"407e842c4d35510f9f491781061ddcb2"	"s3://cds-305-phs002790-production-ccdi-ctsmc/2025_05_05_Release_Clinical/Clinical_JSONs/APEC14B1-CCDI-MCI-2024H2/PAUIAV.json"	"dg.4DFC/b64ca818-d4af-45d6-b68d-2acf89b1ab90"	"aeabcb94-66df-5dc9-8c96-d49cd2a43a44"
"reference_file"	"851951c2-4dba-566b-b237-2c73d9029e61"	"cc517e41-20c2-4160-a154-463e6d7add58"	"PAUTVR.json"	"json"	"JSON file containing input source data"	"input source data"	"15373"	"6e1e2c9096e6494bfbfee4d2388b7d63"	"s3://cds-305-phs002790-production-ccdi-ctsmc/2025_05_05_Release_Clinical/Clinical_JSONs/APEC14B1-CCDI-MCI-2024H2/PAUTVR.json"	"dg.4DFC/a2f13328-4f9b-46be-9275-1f4b03337ac2"	"aeabcb94-66df-5dc9-8c96-d49cd2a43a44"
"reference_file"	"98036522-17d9-5cbd-9b4c-4d1505823003"	"4111f1e2-bf27-497d-9365-74fd19b69e66"	"PBBEIF.json"	"json"	"JSON file containing input source data"	"input source data"	"13836"	"3bcc0e11d5faefc277c99ef4f0ce2bc9"	"s3://cds-305-phs002790-production-ccdi-ctsmc/2025_05_05_Release_Clinical/Clinical_JSONs/APEC14B1-CCDI-MCI-2024H2/PBBEIF.json"	"dg.4DFC/b2e7d590-e0d9-4d3e-959d-9dde2109d00b"	"aeabcb94-66df-5dc9-8c96-d49cd2a43a44"
"reference_file"	"337c7721-2248-525b-b7fd-924ab2075413"	"1d2cef94-84a8-41c0-b55c-d6c83bbe0be8"	"PBBHCR.json"	"json"	"JSON file containing input source data"	"input source data"	"28453"	"fb4526ee452ec8f04dd7b2545d95cee4"	"s3://cds-305-phs002790-production-ccdi-ctsmc/2025_05_05_Release_Clinical/Clinical_JSONs/APEC14B1-CCDI-MCI-2024H2/PBBHCR.json"	"dg.4DFC/a10f0484-6dac-43ea-88b9-9bf39a94cbab"	"aeabcb94-66df-5dc9-8c96-d49cd2a43a44"
