library_id	bases	number_of_reads	avg_read_length	coverage	reference_genome_assembly	design_description	library_strategy	library_layout	library_source	library_selection	platform	instrument_model	sequence_alignment_software	type	genomic_info_id	file.file_id
0DODMC	40419700339	300077948	150.0	203.0	GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	BWA 0.7.17-r1188	genomic_info	dg.4DFC/54e4c03a-a99c-406d-91c5-c09eb5d46a70_0DODMC	dg.4DFC/54e4c03a-a99c-406d-91c5-c09eb5d46a70
0DA6ML	528500000	3500000	151.0	90.0	GRCh37	Anchored Multiplex PCR (AMP(TM)) chemistry is purpose-built to accurately identify both simple and complex genetic mutations by leveraging the power of bidirectional primers and molecular barcodes, or MBCs, from low nucleic acid input in tissue or blood. AMP chemistry is also flexible, so it can be used for applications in DNA, RNA, and ctDNA sequencing across most tumor type.	Other	Paired-End	Transcriptomic	other	Illumina	Illumina MiSeq	ArcherDX	genomic_info	dg.4DFC/e89d7558-8cbb-4018-ad5f-fe75d6ea5c20_0DA6ML	dg.4DFC/e89d7558-8cbb-4018-ad5f-fe75d6ea5c20
0DOOCU	50664577909	366672658	150.0	258.0	GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	BWA 0.7.17-r1188	genomic_info	dg.4DFC/209dbce9-6d43-4d21-8510-0e9080921f1a_0DOOCU	dg.4DFC/209dbce9-6d43-4d21-8510-0e9080921f1a
0DCM13	528500000	3500000	151.0	192.0	GRCh37	Anchored Multiplex PCR (AMP(TM)) chemistry is purpose-built to accurately identify both simple and complex genetic mutations by leveraging the power of bidirectional primers and molecular barcodes, or MBCs, from low nucleic acid input in tissue or blood. AMP chemistry is also flexible, so it can be used for applications in DNA, RNA, and ctDNA sequencing across most tumor type.	Other	Paired-End	Transcriptomic	other	Illumina	Illumina MiSeq	ArcherDX	genomic_info	dg.4DFC/9e1f382a-26db-4e53-aed4-bb0fc7afecf4_0DCM13	dg.4DFC/9e1f382a-26db-4e53-aed4-bb0fc7afecf4
0DIKJM	1057000000	7000000	151.0	173.0	GRCh37	Anchored Multiplex PCR (AMP(TM)) chemistry is purpose-built to accurately identify both simple and complex genetic mutations by leveraging the power of bidirectional primers and molecular barcodes, or MBCs, from low nucleic acid input in tissue or blood. AMP chemistry is also flexible, so it can be used for applications in DNA, RNA, and ctDNA sequencing across most tumor type.	Archer Fusion	Paired-End	Transcriptomic	other	Illumina	Illumina MiSeq	ArcherDX	genomic_info	dg.4DFC/3fd7b0d8-02fd-4672-b2da-457b4b237fd8_0DIKJM	dg.4DFC/3fd7b0d8-02fd-4672-b2da-457b4b237fd8
0DNJA3	77302968858	574746744	150.0	233.0	GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	BWA 0.7.17-r1188	genomic_info	dg.4DFC/111e2236-179e-4438-be37-1e38a5e81f93_0DNJA3	dg.4DFC/111e2236-179e-4438-be37-1e38a5e81f93
0DL8Q8	1057000000	7000000	151.0	108.0	GRCh37	Anchored Multiplex PCR (AMP(TM)) chemistry is purpose-built to accurately identify both simple and complex genetic mutations by leveraging the power of bidirectional primers and molecular barcodes, or MBCs, from low nucleic acid input in tissue or blood. AMP chemistry is also flexible, so it can be used for applications in DNA, RNA, and ctDNA sequencing across most tumor type.	Archer Fusion	Paired-End	Transcriptomic	other	Illumina	Illumina MiSeq	ArcherDX	genomic_info	dg.4DFC/dc584a80-2b76-4a4d-9a3d-dab607e86b26_0DL8Q8	dg.4DFC/dc584a80-2b76-4a4d-9a3d-dab607e86b26
0DM1JH	39676632314	269094276	150.0	251.0	GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	BWA 0.7.17-r1188	genomic_info	dg.4DFC/6fc2b3f5-7cb0-4e0a-9fc1-5b9d8c347a39_0DM1JH	dg.4DFC/6fc2b3f5-7cb0-4e0a-9fc1-5b9d8c347a39
0DM8U7	85676445051	591452324	150.0	487.0	GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	BWA 0.7.17-r1188	genomic_info	dg.4DFC/5606af5d-f3f6-4683-a9f2-55ecf50ac113_0DM8U7	dg.4DFC/5606af5d-f3f6-4683-a9f2-55ecf50ac113
0DK96C	57905019815	431117336	150.0	238.0	GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	BWA 0.7.17-r1188	genomic_info	dg.4DFC/068d7af3-d581-44c2-b8c8-996b38c3406a_0DK96C	dg.4DFC/068d7af3-d581-44c2-b8c8-996b38c3406a
0DHV61	1057000000	7000000	151.0	187.0	GRCh37	Anchored Multiplex PCR (AMP(TM)) chemistry is purpose-built to accurately identify both simple and complex genetic mutations by leveraging the power of bidirectional primers and molecular barcodes, or MBCs, from low nucleic acid input in tissue or blood. AMP chemistry is also flexible, so it can be used for applications in DNA, RNA, and ctDNA sequencing across most tumor type.	Archer Fusion	Paired-End	Transcriptomic	other	Illumina	Illumina MiSeq	ArcherDX	genomic_info	dg.4DFC/7e92b044-7922-471f-9247-cb9812131d7b_0DHV61	dg.4DFC/7e92b044-7922-471f-9247-cb9812131d7b
0DML9O	59076427336	402427228	150.0	321.0	GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	BWA 0.7.17-r1188	genomic_info	dg.4DFC/9b778389-f8ac-4e18-adba-d3d216c8e7cd_0DML9O	dg.4DFC/9b778389-f8ac-4e18-adba-d3d216c8e7cd
0DHDZA	109257429794	774555270	150.0	269.0	GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	BWA 0.7.17-r1188	genomic_info	dg.4DFC/cdd61526-a09c-4660-8fd4-dfb1753aca13_0DHDZA	dg.4DFC/cdd61526-a09c-4660-8fd4-dfb1753aca13
0DHPJ7	33864109449	265808610	150.0	157.0	GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	BWA 0.7.17-r1188	genomic_info	dg.4DFC/d4e337b3-e069-486c-b0ac-5d29a364c245_0DHPJ7	dg.4DFC/d4e337b3-e069-486c-b0ac-5d29a364c245
0DACIR	528500000	3500000	151.0	127.0	GRCh37	Anchored Multiplex PCR (AMP(TM)) chemistry is purpose-built to accurately identify both simple and complex genetic mutations by leveraging the power of bidirectional primers and molecular barcodes, or MBCs, from low nucleic acid input in tissue or blood. AMP chemistry is also flexible, so it can be used for applications in DNA, RNA, and ctDNA sequencing across most tumor type.	Other	Paired-End	Transcriptomic	other	Illumina	Illumina MiSeq	ArcherDX	genomic_info	dg.4DFC/8090a610-591a-46af-b010-83eba5667341_0DACIR	dg.4DFC/8090a610-591a-46af-b010-83eba5667341
0DKGXC	1057000000	7000000	151.0	184.0	GRCh37	Anchored Multiplex PCR (AMP(TM)) chemistry is purpose-built to accurately identify both simple and complex genetic mutations by leveraging the power of bidirectional primers and molecular barcodes, or MBCs, from low nucleic acid input in tissue or blood. AMP chemistry is also flexible, so it can be used for applications in DNA, RNA, and ctDNA sequencing across most tumor type.	Archer Fusion	Paired-End	Transcriptomic	other	Illumina	Illumina MiSeq	ArcherDX	genomic_info	dg.4DFC/9cabfedf-c479-45db-9c3f-aa9142aa37b0_0DKGXC	dg.4DFC/9cabfedf-c479-45db-9c3f-aa9142aa37b0
0DHZRX	1057000000	7000000	151.0	108.0	GRCh37	Anchored Multiplex PCR (AMP(TM)) chemistry is purpose-built to accurately identify both simple and complex genetic mutations by leveraging the power of bidirectional primers and molecular barcodes, or MBCs, from low nucleic acid input in tissue or blood. AMP chemistry is also flexible, so it can be used for applications in DNA, RNA, and ctDNA sequencing across most tumor type.	Archer Fusion	Paired-End	Transcriptomic	other	Illumina	Illumina MiSeq	ArcherDX	genomic_info	dg.4DFC/e89797be-8e8a-44fe-8a5f-50c03720557c_0DHZRX	dg.4DFC/e89797be-8e8a-44fe-8a5f-50c03720557c
0DIKJL	1057000000	7000000	151.0	68.0	GRCh37	Anchored Multiplex PCR (AMP(TM)) chemistry is purpose-built to accurately identify both simple and complex genetic mutations by leveraging the power of bidirectional primers and molecular barcodes, or MBCs, from low nucleic acid input in tissue or blood. AMP chemistry is also flexible, so it can be used for applications in DNA, RNA, and ctDNA sequencing across most tumor type.	Archer Fusion	Paired-End	Transcriptomic	other	Illumina	Illumina MiSeq	ArcherDX	genomic_info	dg.4DFC/03460d89-dff8-45ce-8fe9-e2b3b72fecd1_0DIKJL	dg.4DFC/03460d89-dff8-45ce-8fe9-e2b3b72fecd1
