type	file_name	uuid	file_size	md5sum	file_status	file_location	file_format	acl	case.case_id	file_type	file_description
file	glioma01_somaticseq_i_03A6.vcf.gz	4a856f1d-c710-5173-bbab-19ca83fc8501	574156.0	29a1cb4196c798709fa42a59839c9215	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/GLIOMA01/glioma01_somaticseq_i_03A6.vcf.gz	gz	['Open']	GLIOMA01-i_03A6	Variant Call File	case-level somatic calls in Variant Call Format (VCF)
file	glioma01_somaticseq_i_045E.vcf.gz	27ab8908-ba42-5e1b-a37c-2b613f116b83	564161.0	ecc83e47d86f0f38c86b27ebc14a6632	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/GLIOMA01/glioma01_somaticseq_i_045E.vcf.gz	gz	['Open']	GLIOMA01-i_045E	Variant Call File	case-level somatic calls in Variant Call Format (VCF)
file	glioma01_somaticseq_i_05CA.vcf.gz	5f767611-d67a-5a88-aa58-8bfe54152656	566843.0	6adc96a369d8c7272b9e1c5df76b9160	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/GLIOMA01/glioma01_somaticseq_i_05CA.vcf.gz	gz	['Open']	GLIOMA01-i_05CA	Variant Call File	case-level somatic calls in Variant Call Format (VCF)
file	glioma01_somaticseq_i_0DC4.vcf.gz	9f6278d2-0ec1-5cf5-ba4a-1781663c5e80	565346.0	28c0f54954114d54112670fb2ba4072f	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/GLIOMA01/glioma01_somaticseq_i_0DC4.vcf.gz	gz	['Open']	GLIOMA01-i_0DC4	Variant Call File	case-level somatic calls in Variant Call Format (VCF)
file	glioma01_somaticseq_i_0FF0.vcf.gz	42755ff0-577f-52dd-be95-b95f81e3823d	579494.0	1115a079932bb9c6dd4ce5237bf61cd4	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/GLIOMA01/glioma01_somaticseq_i_0FF0.vcf.gz	gz	['Open']	GLIOMA01-i_0FF0	Variant Call File	case-level somatic calls in Variant Call Format (VCF)
file	glioma01_somaticseq_i_1165.vcf.gz	f712c64b-b274-5668-87b1-7832f6065d64	578709.0	3c0b673a9d28f9fb50cf9b50a9b23ebe	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/GLIOMA01/glioma01_somaticseq_i_1165.vcf.gz	gz	['Open']	GLIOMA01-i_1165	Variant Call File	case-level somatic calls in Variant Call Format (VCF)
file	glioma01_somaticseq_i_1166.vcf.gz	add10ea3-b026-5557-b3f0-2af40272bd4a	603472.0	62c76d43b28f3c1b569d2ee969eac349	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/GLIOMA01/glioma01_somaticseq_i_1166.vcf.gz	gz	['Open']	GLIOMA01-i_1166	Variant Call File	case-level somatic calls in Variant Call Format (VCF)
file	glioma01_somaticseq_i_157E.vcf.gz	171539af-81a8-58d7-badc-e12de3c6d3ad	570627.0	991f22909af26462462917e0d088cab2	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/GLIOMA01/glioma01_somaticseq_i_157E.vcf.gz	gz	['Open']	GLIOMA01-i_157E	Variant Call File	case-level somatic calls in Variant Call Format (VCF)
file	glioma01_somaticseq_i_1793.vcf.gz	79154098-d84a-5db5-9f1a-87183274f52e	565614.0	76f561f5fa49b6588df1b7966ac7f962	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/GLIOMA01/glioma01_somaticseq_i_1793.vcf.gz	gz	['Open']	GLIOMA01-i_1793	Variant Call File	case-level somatic calls in Variant Call Format (VCF)
file	glioma01_somaticseq_i_1C36.vcf.gz	f2ac4aba-7186-5bda-a445-f338ba2d41e2	574643.0	6f2b435f2c7315901ea8d321f5f844b7	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/GLIOMA01/glioma01_somaticseq_i_1C36.vcf.gz	gz	['Open']	GLIOMA01-i_1C36	Variant Call File	case-level somatic calls in Variant Call Format (VCF)
file	glioma01_somaticseq_i_22C7.vcf.gz	dfb7fc6d-3ff8-5c38-b82d-423b8fd6e2ee	577297.0	e3b03296c0a1c09bce144eaba2683f77	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/GLIOMA01/glioma01_somaticseq_i_22C7.vcf.gz	gz	['Open']	GLIOMA01-i_22C7	Variant Call File	case-level somatic calls in Variant Call Format (VCF)
