type	sample.sample_id	file_type	file_description	file_name	uuid	file_size	md5sum	file_status	file_location	file_format
file	GLIOMA01-i_03A6-T1-A1-J02	Index File	Index file was generated using samtools index command	CGP-S03-03A6-10D91B9A-T1-A1-J02.aln.dup.realn.recal.rp.bam.bai	36f9573e-96e3-5276-b989-1b2927d7ba0d	3623544	a0e2f47dcca789ced0afec946304bd51	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/GLIOMA01/CGP-S03-03A6-10D91B9A-T1-A1-J02.aln.dup.realn.recal.rp.bam.bai	bai
file	GLIOMA01-i_03A6-T1-A1-M01	Index File	Index file was generated using samtools index command	CGP-S03-03A6-10D91B9A-T1-A1-M01.aln.dup.realn.recal.rp.bam.bai	1b149de7-6811-52f9-9f46-bf7ce1637abd	7461424	f74ec8f2f1b132eadfecd257146c7052	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/GLIOMA01/CGP-S03-03A6-10D91B9A-T1-A1-M01.aln.dup.realn.recal.rp.bam.bai	bai
file	GLIOMA01-i_03A6-T6-A1-J02	Index File	Index file was generated using samtools index command	CGP-S03-03A6-D5E53E60-T6-A1-J02.aln.dup.realn.recal.rp.bam.bai	6a2e2b9b-c5c7-5af3-b69a-e6bcf2205c81	3611536	91a36dcecf425a60a02adb14c4f41ff7	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/GLIOMA01/CGP-S03-03A6-D5E53E60-T6-A1-J02.aln.dup.realn.recal.rp.bam.bai	bai
file	GLIOMA01-i_03A6-T6-A1-M01	Index File	Index file was generated using samtools index command	CGP-S03-03A6-D5E53E60-T6-A1-M01.aln.dup.realn.recal.rp.bam.bai	ba33afe5-50ec-50c2-8525-a5ae3ae546d3	7451056	c7331228bb96ddb5165ca4505946f2d8	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/GLIOMA01/CGP-S03-03A6-D5E53E60-T6-A1-M01.aln.dup.realn.recal.rp.bam.bai	bai
file	GLIOMA01-i_045E-T1-A2-J01	Index File	Index file was generated using samtools index command	CGP-S03-045E-EB2621DE-T1-A2-J01.aln.dup.realn.recal.rp.bam.bai	531baab4-671a-546c-99a1-9cdf691eee8f	7977360	6a1deb859d772c94b06dbfa2574fda35	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/GLIOMA01/CGP-S03-045E-EB2621DE-T1-A2-J01.aln.dup.realn.recal.rp.bam.bai	bai
file	GLIOMA01-i_045E-T1-A2-J02	Index File	Index file was generated using samtools index command	CGP-S03-045E-EB2621DE-T1-A2-J02.aln.dup.realn.recal.rp.bam.bai	da93c549-c0cf-5e72-9a1f-e44c958d8b30	3390200	9bea5348fb4c7c2493baf6114712fc29	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/GLIOMA01/CGP-S03-045E-EB2621DE-T1-A2-J02.aln.dup.realn.recal.rp.bam.bai	bai
file	GLIOMA01-i_05CA-T1-A2-J01	Index File	Index file was generated using samtools index command	CGP-S03-05CA-3A6FA30F-T1-A2-J01.aln.dup.realn.recal.rp.bam.bai	c00d1a31-cccb-59e0-aec6-7c7a56e6c7bb	8048664	b65a45a1d80d6e5c5505920682da4829	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/GLIOMA01/CGP-S03-05CA-3A6FA30F-T1-A2-J01.aln.dup.realn.recal.rp.bam.bai	bai
file	GLIOMA01-i_05CA-T1-A2-J02	Index File	Index file was generated using samtools index command	CGP-S03-05CA-3A6FA30F-T1-A2-J02.aln.dup.realn.recal.rp.bam.bai	a70c8e15-959d-5966-b408-5d619c5e8f39	3626000	68a7fe73c8e652f74c2f5c4c0eec5a44	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/GLIOMA01/CGP-S03-05CA-3A6FA30F-T1-A2-J02.aln.dup.realn.recal.rp.bam.bai	bai
file	GLIOMA01-i_05CA-T1-A2-J05	Index File	Index file was generated using samtools index command	CGP-S03-05CA-3A6FA30F-T1-A2-J05.bam.bai	88d204b7-1491-5f19-bbf8-7862299f52fa	3035696	84f457554e4e22380c8a92145559c3e2	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/GLIOMA01/CGP-S03-05CA-3A6FA30F-T1-A2-J05.bam.bai	bai
file	GLIOMA01-i_05CA-T6-A2-J01	Index File	Index file was generated using samtools index command	CGP-S03-05CA-1EB27E0D-T6-A2-J01.aln.dup.realn.recal.rp.bam.bai	e4a5251e-5dec-56b6-b9c2-e7086e0ad2cb	7928712	c3750bc8cd203021338142635604cb52	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/GLIOMA01/CGP-S03-05CA-1EB27E0D-T6-A2-J01.aln.dup.realn.recal.rp.bam.bai	bai
