type	pdx_id	model_id	mouse_strain	sample_type_for_implantation	implantation_type	implantation_site	tumor_confirmed_not_to_be_mus_or_ebv_origin	is_tumor_from_untreated_patient	passage_number	passages_tested	validation_technique	id	study.id	sample.id
pdx	6919-RBL-0042.pdx	ALL-67	NSG	cell suspension	intravenous	tail vein		Yes				03420b3c-bec9-5416-ab7e-6e12a1e6e26d		013191bb-5a24-5f16-bcff-a86c36d24887
pdx	6919-RBL-0053_2.pdx	ALL-35	NSG	cell suspension	intravenous	tail vein		Yes				0682642e-f405-5ca7-a51d-c1c134e8256d		bbd2a55b-8679-5d08-8884-f1a2c3bee934
pdx	6919-RBL-0049_FP.pdx	ALL-229	NSG	cell suspension	intravenous	tail vein		Yes				0825e571-ddf8-50cb-8002-aa0e33118390		8eb21241-5892-56c2-9f70-af365ed4baf1
pdx	6919-RBL-0043.pdx	ALL-68	NOD/SCID	cell suspension	intravenous	tail vein		Yes				0bec788a-d60f-5044-b5ba-9c2d5bb1dce5		9bd1bdc1-4b0e-5fb6-908c-b141222c71bd
pdx	6919-RBL-0062.pdx	ALL-77	NSG	cell suspension	intravenous	tail vein		No				0c55d977-2971-5e61-8b95-9cf7d4088d36		6645a134-149d-52cf-8915-355abd732b98
pdx	6919-RBL-0111.pdx	ALL-202	NSG	cell suspension	intravenous	tail vein		Yes				0cecb5ff-48b7-5902-8174-337ce83f7822		5ab3b78f-5b1b-5930-95a4-f1a5af9809e6
pdx	6919-RBL-0042_2.pdx	ALL-67	NSG	cell suspension	intravenous	tail vein		Yes				0d09c13e-7a3d-5b64-b3c1-a824756037e8		d3d5e7a5-39bd-5e9c-92d3-f0712c857115
pdx	6919-RBL-0041.pdx	ALL-230	NSG	cell suspension	intravenous	tail vein		Yes				0e5c28d9-8f16-56ea-b592-011dc9dc1804		2121ed76-180d-5bc1-a760-59ab12104179
pdx	6919-RBL-0107.pdx	ALL-216	NSG	cell suspension	intravenous	tail vein		Yes				100648ca-2751-5aa8-918e-b8f93f5651a7		7f72e774-c893-5359-95c7-9202f4e750d7
pdx	6919-RBL-0116.pdx	ALL-222	NSG	cell suspension	intravenous	tail vein		Yes				11657d6e-4207-5b92-8356-1fda9a01e809		f0e742b7-0f46-5be6-9e8e-b1c135ba4304
pdx	6919-RBL-0044_2.pdx	ALL-220	NSG	cell suspension	intravenous	tail vein		Yes				11cf9fc3-9e04-5240-a3b5-7b0d257a2f93		eff370ff-8637-51f6-adf9-3c0a96bacceb
pdx	6919-RBL-0064.pdx	ALL-100	NSG	cell suspension	intravenous	tail vein		No				12050013-6524-5af7-8d3c-f0ad3cbfcb42		209a92ad-543d-5da2-8db5-2fc72baea38f
pdx	6919-RBL-0110.pdx	ALL-209	NSG	cell suspension	intravenous	tail vein		Yes				12ded543-23aa-5b4c-825b-a1ea4b056609		44cce812-ed1b-5b5a-837f-6d89eb0a5f44
pdx	6919-RBL-0068_2.pdx	ALL-213	NSG	cell suspension	intravenous	tail vein		Yes				14402747-cb84-513c-8ee6-f184fae21ac1		7f0cd6df-ba83-5622-9d97-6d3a9a1abf19
pdx	6919-RBL-0058_2.pdx	ALL-73	NSG	cell suspension	intravenous	tail vein		Yes				14cbb836-bce1-5f03-a4ef-29131709085b		41327193-6844-5b6b-a2ed-40dfe057f59e
pdx	6919-RBL-0058.pdx	ALL-73	NSG	cell suspension	intravenous	tail vein		Yes				1558e3bb-81f7-5a27-9b2d-23008002e0ab		f4132062-e581-524d-bfa3-2702167d0018
pdx	6919-RBL-0054_2.pdx	ALL-65	NSG	cell suspension	intravenous	tail vein		Yes				1c176c76-bbb5-5086-831a-dabe8be0dfd5		6887df71-d341-5e93-a321-0a38b1a35894
pdx	6919-RBL-0071_2.pdx	ALL-202	NSG	cell suspension	intravenous	tail vein		Yes				1c9298e2-dffd-5439-ba9c-7647bc1946b4		0298cd48-3037-5582-9b24-dd7c8443d1c0
pdx	6919-RBL-0055.pdx	ALL-72	NSG	cell suspension	intravenous	tail vein		Yes				1e2e1e0b-884c-596d-9fe8-bb4a9c5d5eae		e7bfdbe7-0c6b-5d19-8ad7-7134fa245f1b
pdx	6919-RBL-0068.pdx	ALL-213	NSG	cell suspension	intravenous	tail vein		Yes				1e611678-7a75-5656-9382-a484c3e8b8da		ab4d9d72-d0c5-5e5c-899e-dcf5bbcc3a43
pdx	6919-RBL-0054.pdx	ALL-65	NSG	cell suspension	intravenous	tail vein		Yes				22186e66-3957-5bfb-b480-03e8448a0e59		8d07cbdc-602f-54fc-adf1-4c1dcc5c05a5
pdx	6919-RBL-0059.pdx	ALL-74	NSG	cell suspension	intravenous	tail vein		Yes				22d28d20-e9e3-55a6-8330-d9a93270d3f8		5a9b311d-e0c9-53cd-b54f-fe6cb74f78eb
pdx	6919-RBL-0047.pdx	ALL-120	NSG	cell suspension	intravenous	tail vein		No				22ebd5a5-b77d-5817-ab65-e108b37c4217		2a010d87-f1c1-55ff-8f41-e2b4e4ebe8cd
pdx	6919-RBL-0062_2.pdx	ALL-77	NSG	cell suspension	intravenous	tail vein		No				2365954f-9fb0-5926-a26a-b6e249e5fbd0		5555f07e-7231-5d1c-a307-65425df46b28
pdx	6919-RBL-0072_FP.pdx	ALL-221	NSG	cell suspension	intravenous	tail vein		Yes				25723986-c0c6-525a-9796-e542e207a1a2		5e8c4611-4cba-5265-88d5-6ce98e804e03
pdx	6919-RBL-0072.pdx	ALL-221	NSG	cell suspension	intravenous	tail vein		Yes				28c4d35f-c385-5c97-85b1-c75d35445ef3		ab878518-0308-5acb-83c6-ea523b9fa2ba
pdx	6919-RBL-0073_FP.pdx	ALL-211	NSG	cell suspension	intravenous	tail vein		Yes				2af85ad4-32bd-5e95-b7cb-8c2609012d95		19677045-2e50-5c45-b7f4-5e83338c7dcd
pdx	6919-RBL-0067.pdx	ALL-216	NSG	cell suspension	intravenous	tail vein		Yes				2bbeb4c0-077d-5bf8-8f8e-4fd06d9e1997		4f906560-020d-52a5-a3c5-bea402378097
pdx	6919-RBL-0057_FP.pdx	ALL-36	NOD/SCID	cell suspension	intravenous	tail vein		Yes				2bfdaa7a-f0eb-5f90-b7d9-991fbc71af60		48eb0425-0e75-52b2-9ab7-8f213cbc0339
pdx	6919-RBL-0056_FP.pdx	ALL-227	NSG	cell suspension	intravenous	tail vein		Yes				2cb36be2-8abd-5b78-8782-cf1b90640b0d		6c73e3e6-e291-5afb-8d7b-0969d4b3c00d
