library_id	bases	number_of_reads	avg_read_length	coverage	reference_genome_assembly	design_description	library_strategy	library_layout	library_source	library_selection	platform	instrument_model	type	genomic_info_id	file.file_id
TB-000001-D1WBLL-01_RNAseq	13408132278	88795578	151.0	4.322710496	GRCh37	RNA-Seq of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	RNA-Seq	Paired-End	Transcriptomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/6f051708-c272-457d-a5cd-ea77901a81fa_TB-000001-D1WBLL-01_RNAseq	dg.4DFC/6f051708-c272-457d-a5cd-ea77901a81fa
TB-000001-D1WBLL-01_RNAseq	13408132278	88795578	151.0	4.322710496	GRCh37	RNA-Seq of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	RNA-Seq	Paired-End	Transcriptomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/0a1a5c42-9a4b-4f27-8d65-20d20cfdb644_TB-000001-D1WBLL-01_RNAseq	dg.4DFC/0a1a5c42-9a4b-4f27-8d65-20d20cfdb644
TB-000001-D1WBLL-01_WES	1186833864	148354233	8.0	0.382628922	GRCh37	WXS of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/0473adf5-7c3e-400a-acdd-b4c96922bae3_TB-000001-D1WBLL-01_WES	dg.4DFC/0473adf5-7c3e-400a-acdd-b4c96922bae3
TB-000001-D1WBLL-01_WES	22401489183	148354233	151.0	7.222120904	GRCh37	WXS of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/58d5e171-e74f-4ff9-bf29-97f6ebe13672_TB-000001-D1WBLL-01_WES	dg.4DFC/58d5e171-e74f-4ff9-bf29-97f6ebe13672
TB-000001-D1WBLL-01_WES	22401489183	148354233	151.0	7.222120904	GRCh37	WXS of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/e1f8ff0f-0f86-48c9-8796-49a6b1ea14ef_TB-000001-D1WBLL-01_WES	dg.4DFC/e1f8ff0f-0f86-48c9-8796-49a6b1ea14ef
TB-000001-D1WBLL-01_WGS	65758235604	435485004	151.0	21.20010523	GRCh37	WGS of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	WGS	Paired-End	Genomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/b0cca556-c7a8-4477-b9d1-8298d1d84892_TB-000001-D1WBLL-01_WGS	dg.4DFC/b0cca556-c7a8-4477-b9d1-8298d1d84892
TB-000001-D1WBLL-01_WGS	65758235604	435485004	151.0	21.20010523	GRCh37	WGS of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	WGS	Paired-End	Genomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/9e99de29-7a41-4e25-8c43-665bc52f6da5_TB-000001-D1WBLL-01_WGS	dg.4DFC/9e99de29-7a41-4e25-8c43-665bc52f6da5
TB-000001-D1WBLL-01_scATAC	67943368	8492921	8.0	0.0219	GRCh37	ATAC-seq of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	ATAC-seq	Paired-End	Single Nucleus	other	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/2913f422-5ed5-4fe3-9b9b-ac4c1353a110_TB-000001-D1WBLL-01_scATAC	dg.4DFC/2913f422-5ed5-4fe3-9b9b-ac4c1353a110
TB-000001-D1WBLL-01_scATAC	135886736	8492921	16.0	0.0438	GRCh37	ATAC-seq of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	ATAC-seq	Paired-End	Single Nucleus	other	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/07a819a8-ea93-452c-b19b-66fe7c2d6196_TB-000001-D1WBLL-01_scATAC	dg.4DFC/07a819a8-ea93-452c-b19b-66fe7c2d6196
TB-000001-D1WBLL-01_scATAC	424646050	8492921	50.0	0.136903627	GRCh37	ATAC-seq of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	ATAC-seq	Paired-End	Single Nucleus	other	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/b77cb82a-2825-476e-82a9-abc0646374de_TB-000001-D1WBLL-01_scATAC	dg.4DFC/b77cb82a-2825-476e-82a9-abc0646374de
TB-000001-D1WBLL-01_scATAC	424646050	8492921	50.0	0.136903627	GRCh37	ATAC-seq of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	ATAC-seq	Paired-End	Single Nucleus	other	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/7c836f67-00ae-42e4-98bd-252f9128de8a_TB-000001-D1WBLL-01_scATAC	dg.4DFC/7c836f67-00ae-42e4-98bd-252f9128de8a
TB-000001-D1WBLL-01_scATAC	67367920	8420990	8.0	0.0217	GRCh37	ATAC-seq of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	ATAC-seq	Paired-End	Single Nucleus	other	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/dcd2f918-13dd-44c6-99f4-59b7ce053b3a_TB-000001-D1WBLL-01_scATAC	dg.4DFC/dcd2f918-13dd-44c6-99f4-59b7ce053b3a
TB-000001-D1WBLL-01_scATAC	134735840	8420990	16.0	0.0434	GRCh37	ATAC-seq of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	ATAC-seq	Paired-End	Single Nucleus	other	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/92a2af3c-2129-40a7-af9b-31c321b5a812_TB-000001-D1WBLL-01_scATAC	dg.4DFC/92a2af3c-2129-40a7-af9b-31c321b5a812
TB-000001-D1WBLL-01_scATAC	421049500	8420990	50.0	0.135744118	GRCh37	ATAC-seq of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	ATAC-seq	Paired-End	Single Nucleus	other	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/f49d14d1-4be3-425d-9ea6-a6b29df6fecf_TB-000001-D1WBLL-01_scATAC	dg.4DFC/f49d14d1-4be3-425d-9ea6-a6b29df6fecf
TB-000001-D1WBLL-01_scATAC	421049500	8420990	50.0	0.135744118	GRCh37	ATAC-seq of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	ATAC-seq	Paired-End	Single Nucleus	other	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/0a5c8914-8b55-4a9b-b4bd-4882f73a9da1_TB-000001-D1WBLL-01_scATAC	dg.4DFC/0a5c8914-8b55-4a9b-b4bd-4882f73a9da1
TB-000001-D1WBLL-01_scRNA_rep1	353971136	44246392	8.0	0.114118411	GRCh37	RNA-Seq of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/298ccaaa-b2db-4a29-a80f-e9b5fe76ed2f_TB-000001-D1WBLL-01_scRNA_rep1	dg.4DFC/298ccaaa-b2db-4a29-a80f-e9b5fe76ed2f
TB-000001-D1WBLL-01_scRNA_rep1	1150406192	44246392	26.0	0.370884834	GRCh37	RNA-Seq of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/4cb8f1c7-ef60-4937-89d8-fd001d29065b_TB-000001-D1WBLL-01_scRNA_rep1	dg.4DFC/4cb8f1c7-ef60-4937-89d8-fd001d29065b
TB-000001-D1WBLL-01_scRNA_rep1	4247653632	44246392	96.0	1.369420927	GRCh37	RNA-Seq of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/88383137-c215-4473-8250-a2a2836e91ac_TB-000001-D1WBLL-01_scRNA_rep1	dg.4DFC/88383137-c215-4473-8250-a2a2836e91ac
