library_id	bases	avg_read_length	coverage	reference_genome_assembly	library_strategy	library_layout	library_source	library_selection	platform	instrument_model	type	genomic_info_id	file.file_id
L180129A_B10_H180221A_B10	8637777070	125	52.426428	GRCh37	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/2ed721f6-206d-11ee-b48c-93083b218410_L180129A_B10_H180221A_B10	dg.4DFC/2ed721f6-206d-11ee-b48c-93083b218410
L180129A_B10_H180221A_B10	8637777070	125	52.426428	GRCh37	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/2ed821f0-206d-11ee-864a-23c35fb39ef6_L180129A_B10_H180221A_B10	dg.4DFC/2ed821f0-206d-11ee-864a-23c35fb39ef6
L170926A_F08_H170929A_F08	8208580172	125	48.761467	GRCh37	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/2ed849fa-206d-11ee-bea1-2bdeace24dc8_L170926A_F08_H170929A_F08	dg.4DFC/2ed849fa-206d-11ee-bea1-2bdeace24dc8
L170926A_F08_H170929A_F08	8208580172	125	48.761467	GRCh37	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/2ed86e12-206d-11ee-91c4-f3a65f3153df_L170926A_F08_H170929A_F08	dg.4DFC/2ed86e12-206d-11ee-91c4-f3a65f3153df
L171205A_D12_H171219A_D12	10600598067	125	66.544737	GRCh37	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/2ed89130-206d-11ee-9d90-dfbe895bf393_L171205A_D12_H171219A_D12	dg.4DFC/2ed89130-206d-11ee-9d90-dfbe895bf393
L171205A_D12_H171219A_D12	10600598067	125	66.544737	GRCh37	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/2ed8b534-206d-11ee-aeec-239dfc569134_L171205A_D12_H171219A_D12	dg.4DFC/2ed8b534-206d-11ee-aeec-239dfc569134
L171207A_G08_H180102A_G08	9091782954	125	57.765561	GRCh37	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/2ed8d83e-206d-11ee-bd6a-578f1c96408d_L171207A_G08_H180102A_G08	dg.4DFC/2ed8d83e-206d-11ee-bd6a-578f1c96408d
L171207A_G08_H180102A_G08	9091782954	125	57.765561	GRCh37	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/2ed8fb16-206d-11ee-84d4-0b29a4581b64_L171207A_G08_H180102A_G08	dg.4DFC/2ed8fb16-206d-11ee-84d4-0b29a4581b64
L171129A_C11_H171206A_C11	9156925846	125	54.606393	GRCh37	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/2ed91e5c-206d-11ee-848a-6baec60fefcb_L171129A_C11_H171206A_C11	dg.4DFC/2ed91e5c-206d-11ee-848a-6baec60fefcb
L171129A_C11_H171206A_C11	9156925846	125	54.606393	GRCh37	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/2ed940a8-206d-11ee-a60d-7f6fb99e79b4_L171129A_C11_H171206A_C11	dg.4DFC/2ed940a8-206d-11ee-a60d-7f6fb99e79b4
L171018A_C01_H171025A_C01	8294822251	125	48.855139	GRCh37	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/2ed96704-206d-11ee-bd78-67f3d70a0b07_L171018A_C01_H171025A_C01	dg.4DFC/2ed96704-206d-11ee-bd78-67f3d70a0b07
L171018A_C01_H171025A_C01	8294822251	125	48.855139	GRCh37	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/2ed989aa-206d-11ee-bd5d-43a256689860_L171018A_C01_H171025A_C01	dg.4DFC/2ed989aa-206d-11ee-bd5d-43a256689860
L171031A_A07_H171107A_A07	7271413101	125	45.656174	GRCh37	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/2ed9ac32-206d-11ee-a86a-272ece83f409_L171031A_A07_H171107A_A07	dg.4DFC/2ed9ac32-206d-11ee-a86a-272ece83f409
L171031A_A07_H171107A_A07	7271413101	125	45.656174	GRCh37	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/2ed9ce88-206d-11ee-9548-bf8624c5f119_L171031A_A07_H171107A_A07	dg.4DFC/2ed9ce88-206d-11ee-9548-bf8624c5f119
L171102A_H11_H171110A_H11	10288382100	125	65.505428	GRCh37	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/2ed9f1ce-206d-11ee-8d41-532eec03cfe3_L171102A_H11_H171110A_H11	dg.4DFC/2ed9f1ce-206d-11ee-8d41-532eec03cfe3
L171102A_H11_H171110A_H11	10288382100	125	65.505428	GRCh37	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/2eda162c-206d-11ee-af80-1fd379a00697_L171102A_H11_H171110A_H11	dg.4DFC/2eda162c-206d-11ee-af80-1fd379a00697
L170926A_F11_H170929A_F11	13770033057	125	46.929797	GRCh37	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/2eda3a8a-206d-11ee-a0f3-1bdf7faa6fa0_L170926A_F11_H170929A_F11	dg.4DFC/2eda3a8a-206d-11ee-a0f3-1bdf7faa6fa0
L170926A_F11_H170929A_F11	13770033057	125	46.929797	GRCh37	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/2eda5da8-206d-11ee-8799-e78de62f18f5_L170926A_F11_H170929A_F11	dg.4DFC/2eda5da8-206d-11ee-8799-e78de62f18f5
L171101A_C08_H171108A_C08	7698578368	125	48.751604	GRCh37	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/2eda7fea-206d-11ee-aa78-77b411db2482_L171101A_C08_H171108A_C08	dg.4DFC/2eda7fea-206d-11ee-aa78-77b411db2482
L171101A_C08_H171108A_C08	7698578368	125	48.751604	GRCh37	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/2edaa86c-206d-11ee-bf1e-3f71c9d3583e_L171101A_C08_H171108A_C08	dg.4DFC/2edaa86c-206d-11ee-bf1e-3f71c9d3583e
L170926A_F04_H170929A_F04	9936785993	125	62.49561	GRCh37	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/2edacc48-206d-11ee-a77a-d3f6f28586e5_L170926A_F04_H170929A_F04	dg.4DFC/2edacc48-206d-11ee-a77a-d3f6f28586e5
L170926A_F04_H170929A_F04	9936785993	125	62.49561	GRCh37	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/2edaeef8-206d-11ee-b642-5fe9ba0c6219_L170926A_F04_H170929A_F04	dg.4DFC/2edaeef8-206d-11ee-b642-5fe9ba0c6219
