type	case.case_id	breed	sex	neutered_indicator	weight	patient_age_at_enrollment
demographic	NCATS-COP01-CCB010015	Mixed Breed	Male	Yes	38	12
demographic	NCATS-COP01-CCB010031	Mixed Breed	Male	Yes	31	8
demographic	NCATS-COP01-CCB010045	Beagle	Female	Yes	12	5
demographic	NCATS-COP01-CCB010072	Akita	Female	Yes	31.8	10
demographic	NCATS-COP01-CCB010091	Labrador Retriever	Female	Yes	28	9
demographic	NCATS-COP01-CCB010093	Mixed Breed	Male	Yes	49.8	7
demographic	NCATS-COP01-CCB010178	Staffordshire Bull Terrier	Male	Yes	37.2	7
demographic	NCATS-COP01-CCB010208	Vizsla	Female	Yes	22.4	3
demographic	NCATS-COP01-CCB010233	Golden Retriever	Male	Yes	38	6
demographic	NCATS-COP01-CCB010234	Mixed Breed	Male	Yes	30	7
demographic	NCATS-COP01-CCB010235	Mixed Breed	Female	Yes	35.5	8
demographic	NCATS-COP01-CCB010243	Golden Retriever	Female	Yes	25	7
demographic	NCATS-COP01-CCB010285	Doberman Pinscher	Female	Yes	28	10
demographic	NCATS-COP01-CCB010311	Mixed Breed	Female	Yes	22.3	10
demographic	NCATS-COP01-CCB010378	Mixed Breed	Female	Yes	27.5	12
demographic	NCATS-COP01-CCB020018	Mixed Breed	Male	Yes	18.8	12
demographic	NCATS-COP01-CCB020026	Greyhound	Male	Yes	37.5	7
demographic	NCATS-COP01-CCB020027	German Shepherd Dog	Female	Yes	35	7
demographic	NCATS-COP01-CCB020031	Bernese Mountain Dog	Male	No	44.8	8
demographic	NCATS-COP01-CCB020035	Labrador Retriever	Female	Yes	32	9
demographic	NCATS-COP01-CCB020036	Black and Tan Coonhound	Female	Yes	34.1	10
demographic	NCATS-COP01-CCB020054	Labrador Retriever	Male	Yes	37.1	7
demographic	NCATS-COP01-CCB020128	Miniature Schnauzer	Female	Yes	4	10
demographic	NCATS-COP01-CCB030001	Labrador Retriever	Female	Yes	36	5
demographic	NCATS-COP01-CCB030003	Golden Retriever	Male	Yes	39	6
demographic	NCATS-COP01-CCB030026	Golden Retriever	Male	Yes	42	9
demographic	NCATS-COP01-CCB030035	Saint Bernard	Female	Yes	62	8
demographic	NCATS-COP01-CCB030064	Labrador Retriever	Female	Yes	30	8
demographic	NCATS-COP01-CCB030077	Golden Retriever	Male	Yes	33	10
demographic	NCATS-COP01-CCB030078	Golden Retriever	Male	Yes	37	9
demographic	NCATS-COP01-CCB030156	Golden Retriever	Male	Yes	40	4
demographic	NCATS-COP01-CCB030162	Mixed Breed	Female	Yes	30	12
demographic	NCATS-COP01-CCB030227	Golden Retriever	Male	Yes	37	13
demographic	NCATS-COP01-CCB030255	Mixed Breed	Female	Yes	13	7
demographic	NCATS-COP01-CCB030258	Golden Retriever	Male	Yes	32.6	9
demographic	NCATS-COP01-CCB030300	Golden Retriever	Male	Yes	33.8	9
demographic	NCATS-COP01-CCB040184	Boxer	Male	Yes	39.1	4
demographic	NCATS-COP01-CCB040254	American Staffordshire Terrier	Female	Yes	27.3	13
demographic	NCATS-COP01-CCB040382	Gordon Setter	Female	Yes	32	10
demographic	NCATS-COP01-CCB050004	Bouvier des Flandres	Female	Yes	29.4	13
demographic	NCATS-COP01-CCB050022	Greyhound	Male	Yes	29.4	10
demographic	NCATS-COP01-CCB050096	Labrador Retriever	Male	Yes	35.8	8
demographic	NCATS-COP01-CCB050170	German Shepherd Dog	Male	Yes	46.1	10
demographic	NCATS-COP01-CCB050177	Rottweiler	Female	Yes	31.6	13
demographic	NCATS-COP01-CCB050216	Mixed Breed	Male	Yes	23.7	13
demographic	NCATS-COP01-CCB050227	Labrador Retriever	Female	Yes	36.5	11
demographic	NCATS-COP01-CCB050297	Australian Shepherd	Female	Yes	21.5	10
demographic	NCATS-COP01-CCB050327	Doberman Pinscher	Male	Yes	43	8
demographic	NCATS-COP01-CCB060030	Giant Schnauzer	Female	Yes	31.2	12
demographic	NCATS-COP01-CCB060034	Boxer	Female	Yes	29	4
demographic	NCATS-COP01-CCB060039	Cocker Spaniel	Male	Yes	15	10
demographic	NCATS-COP01-CCB060051	Weimaraner	Female	Yes	28	13
demographic	NCATS-COP01-CCB070003	German Shorthaired Pointer	Female	Yes	35.2	12
demographic	NCATS-COP01-CCB070007	West Highland White Terrier	Male	Yes	7.3	6
demographic	NCATS-COP01-CCB070013	Rottweiler	Male	Yes	35	11
demographic	NCATS-COP01-CCB070020	Golden Retriever	Female	Yes	34	13
demographic	NCATS-COP01-CCB070034	Saint Bernard	Female	Yes	63.9	9
demographic	NCATS-COP01-CCB070102	Mixed Breed	Female	Yes	3.9	12
demographic	NCATS-COP01-CCB080012	Chinese Shar-Pei	Female	Yes	20.5	9
demographic	NCATS-COP01-CCB080018	Doberman Pinscher	Female	Yes	43.2	9
