type	file_name	uuid	file_size	md5sum	file_status	file_location	file_format	sample.sample_id	file_type	file_description
file	010015_0103_sorted.bam	bf7ae08f-0afe-5aa5-969a-de9a17ac0f2f	17545870661	70ec6bee3d4e5bb9da4641c3fa7f8609	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/NCATS/NCATS01/Bam-files/010015_0103_sorted.bam	bam	NCATS-COP01-CCB010015 0103  	RNA Sequence File	tumor sample binary alignment file: seq reads to canfam3.1
file	010015_0103_sorted.bam.bai	d442395a-c7ac-51f4-aa41-eac6ae3ca3bb	4328240	e311733a6c10cfec631f94701c0e7190	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/NCATS/NCATS01/Bam-files/010015_0103_sorted.bam.bai	bai	NCATS-COP01-CCB010015 0103   	Index File	tumor sample binary alignment file indexing 
file	010178_0103_sorted.bam	4f64bb49-a8ff-5e4e-b3b4-ec9d6d23624e	18852950619	3d5f14579502028236f15570397b7808	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/NCATS/NCATS01/Bam-files/010178_0103_sorted.bam	bam	NCATS-COP01-CCB010178 0103  	RNA Sequence File	tumor sample binary alignment file: seq reads to canfam3.1
file	010178_0103_sorted.bam.bai	c135fc0f-0adf-513b-8996-63ce6a2fb921	4169872	ec515d70c026b94ea1406c23c827a506	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/NCATS/NCATS01/Bam-files/010178_0103_sorted.bam.bai	bai	NCATS-COP01-CCB010178 0103   	Index File	tumor sample binary alignment file indexing 
file	010208_0103_sorted.bam	2c5b7e06-50c5-5e6e-a0f9-49a28386c119	23027069343	3e1f5e9a055b33072bceb680a483cd31	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/NCATS/NCATS01/Bam-files/010208_0103_sorted.bam	bam	NCATS-COP01-CCB010208 0103  	RNA Sequence File	tumor sample binary alignment file: seq reads to canfam3.1
file	010208_0103_sorted.bam.bai	5c3a721b-4c5a-5f75-a001-99c8ce6c2271	4919984	243d92ef21f1d7880f9329d8c6e7271e	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/NCATS/NCATS01/Bam-files/010208_0103_sorted.bam.bai	bai	NCATS-COP01-CCB010208 0103   	Index File	tumor sample binary alignment file indexing 
file	010234_0103_sorted.bam	9e717a74-f465-5608-9a63-3e0626dc5230	18822918643	ed3c30784817a61d1e1b5e824d464131	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/NCATS/NCATS01/Bam-files/010234_0103_sorted.bam	bam	NCATS-COP01-CCB010234 0103  	RNA Sequence File	tumor sample binary alignment file: seq reads to canfam3.1
file	010234_0103_sorted.bam.bai	5ca29056-764a-5601-a5bf-4dee5bcc4c4c	4406384	9f29fcd0604d241d39b555e9bb57b8a2	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/NCATS/NCATS01/Bam-files/010234_0103_sorted.bam.bai	bai	NCATS-COP01-CCB010234 0103   	Index File	tumor sample binary alignment file indexing 
file	010235_0103_sorted.bam	940ea3ce-8eaf-5e6a-b2e9-befda0f90abc	24203892407	1a81b694ba14eeb928fd0ee860f3196d	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/NCATS/NCATS01/Bam-files/010235_0103_sorted.bam	bam	NCATS-COP01-CCB010235 0103  	RNA Sequence File	tumor sample binary alignment file: seq reads to canfam3.1
file	010235_0103_sorted.bam.bai	68523db5-c968-5372-adb2-b3b6434af0f7	4974992	4ac429f31e29a89890462acd06f3d2ba	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/NCATS/NCATS01/Bam-files/010235_0103_sorted.bam.bai	bai	NCATS-COP01-CCB010235 0103   	Index File	tumor sample binary alignment file indexing 
