type	pdx_id	model_id	mouse_strain	sample_type_for_implantation	implantation_type	implantation_site	tumor_confirmed_not_to_be_mus_or_ebv_origin	is_tumor_from_untreated_patient	passage_number	passages_tested	validation_technique	id	study.id	sample.id
pdx	MLL-7_pdx	MLL-7_pdx	NOD/SCID (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				00a757e1-122b-59a1-ad82-b94882c755eb		b846a002-8741-55e7-b015-67a33dd92c8b
pdx	OS-41_pdx	OS-41_pdx	CB17-SCID (initial), CB17-SCID (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				022b778b-ae86-5a65-80df-21cfcd4e6689		71d7a66e-96b3-5f98-b2fb-14cb02f1757f
pdx	ALL-122_pdx	ALL-122_pdx	NSG (ABR) (initial), NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				03d98bda-df11-5610-a01d-948395c5bd1b		cde78dce-4e54-563d-9136-1c34e6da761e
pdx	ALL-116_pdx	ALL-116_pdx	NSG (initial), NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				05f8ecd5-6619-5c67-ac0e-3797b5903bb9		8bcce0ab-572d-5662-a171-13dc34a7044a
pdx	CHLA-258_pdx	CHLA-258_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				083fb739-8c4d-5305-bfc5-d8c3eaf44344		a81a55e0-04c9-5368-b6e2-ebc256e7620f
pdx	OS-34_pdx	OS-34_pdx	CB17-SCID (initial), CB17-SCID (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				08c5e921-aef8-52f5-a228-cc29725d5497		3eb2c11b-5857-54d1-8eee-84e71d513120
pdx	KT-10_pdx	KT-10_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				0a0b5f2a-270f-5a7d-9786-68c8e240ff27		bbf37a8c-8d71-54b8-8fde-e8cce8af9771
pdx	ETP-2_pdx	ETP-2_pdx	NSG (ABR) (initial), NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				0aeae4a7-65a2-5e9b-8bde-39c092f9e68a		6086d69b-943e-54f3-9cfa-6e27fe88d7a8
pdx	ES-1_pdx	ES-1_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				0cf51b6c-b60a-5c7d-9150-45cab19feb0c		9b5afe49-5a7d-5ab2-b629-86e6faf76053
pdx	ICb-2555MB_pdx	ICb-2555MB_pdx	NOD.129S7(B6)-Rag1tm1Mom/J (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				0d5d953d-9575-552e-a4f9-b48ddf39d6cf		34874466-cc27-52fd-ba7e-473675f8afa1
