type	study_funding_id	funding_agency	grant_id	funding_source_program_name	id	study.id
study_funding	phs002504_fund_5	Alex's Lemonade Stand Foundation	Not_Available		081ead0a-a023-5c53-bc5b-1fe35647edb5	1850c1db-ee82-5be7-8e74-a243547b2963
study_funding	phs002504_fund_7	The Pediatric Cancer Research Foundation	Not_Available		0b28c6d6-594a-5c1e-8f9f-fdeacb3cb920	1850c1db-ee82-5be7-8e74-a243547b2963
study_funding	phs002504_fund_2	National Cancer Institute	CA082103-21S9	Childhood Cancer Data Initiative	1f93629e-7072-5f40-9426-efafc6e476f8	1850c1db-ee82-5be7-8e74-a243547b2963
study_funding	phs002504_fund_9	Cannonball Kids' Cancer	Not_Available		269b06ab-8e41-50ec-80f2-282abee183bc	1850c1db-ee82-5be7-8e74-a243547b2963
study_funding	phs002504_fund_4	The Leukemia Lymphoma Society	Not_Available		3ccb6c11-1006-5368-9cc0-d0f8642be33c	1850c1db-ee82-5be7-8e74-a243547b2963
study_funding	phs002504_fund_3	National Heart, Lung, and Blood Institute	HL135434		565e9f23-2251-5ba7-8e43-63870bcc6600	1850c1db-ee82-5be7-8e74-a243547b2963
study_funding	phs002504_fund_6	Cookies for Kids Cancer	Not_Available		5edbac90-8e5a-5013-b838-24b96774b7cf	1850c1db-ee82-5be7-8e74-a243547b2963
study_funding	phs002504_fund_1	National Cancer Institute	CA196519		774242f0-1cdc-5e22-a413-0bfd1a86a393	1850c1db-ee82-5be7-8e74-a243547b2963
study_funding	phs002504_fund_8	The V Foundation	Not_Available		b5f88a0c-8185-5a6a-93ae-73147748b59b	1850c1db-ee82-5be7-8e74-a243547b2963
study_funding	phs002504_fund_10	The Frank A. Campini Foundation	Not_Available		e7ea4e4b-0219-5cde-9000-d11609e0c3e3	1850c1db-ee82-5be7-8e74-a243547b2963
