type	file_name	uuid	file_size	md5sum	file_status	file_location	file_format	acl	sample.sample_id	file_type	file_description
file	774-967_04RH.bai	8d7d4c17-e7d0-5b9e-b7d6-359d49ad0aee	2537912	a7fa708c031831646e6ea301f33811bc	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/UBC03/774-967_04RH.bai	bai	['Open']	UBC03-774-967	Index File	Tumor tissue sample; UBC03-774-967: bam index of RNA sequencing reads
file	774-967_04RH.bam	bcbc293e-1867-5fed-aa73-99f4937afaca	9269672695	305c1416bf2f30600caf92ba50ffc694	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/UBC03/774-967_04RH.bam	bam	['Open']	UBC03-774-967	RNA Sequence File	Tumor tissue sample; UBC03-774-967: RNA sequencing reads mapped to CanFam3.1
file	774-859_1.bai	0e201d82-4106-583a-8246-fdf5c55d455d	2738112	e7d6e07829420d2fc364ab3476defb88	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/UBC03/774-859_1.bai	bai	['Open']	UBC03-774-859	Index File	Tumor tissue sample; UBC03-774-859: bam index of RNA sequencing reads
file	774-859_1.bam	f37c00ae-2137-56bd-b8e6-247a76a5695e	5890140635	2b9f25811dbca5a260f53103b1563c60	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/UBC03/774-859_1.bam	bam	['Open']	UBC03-774-859	RNA Sequence File	Tumor tissue sample; UBC03-774-859: RNA sequencing reads mapped to CanFam3.1
file	775-801_2.bai	b0c3d942-196c-5dd5-9622-46b2f66b46f9	2704224	351dceeeb1fe47237f2cc6a802ad833a	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/UBC03/775-801_2.bai	bai	['Open']	UBC03-775-801	Index File	Tumor tissue sample; UBC03-775-801: bam index of RNA sequencing reads
file	775-801_2.bam	28f633e7-0fa7-5c82-9c07-8565f9d2cf2f	5804596789	2e60d551de514fea87d971e17014ca57	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/UBC03/775-801_2.bam	bam	['Open']	UBC03-775-801	RNA Sequence File	Tumor tissue sample; UBC03-775-801: RNA sequencing reads mapped to CanFam3.1
file	774-569_51.bai	d198df09-e4f5-580b-9182-86f5dfa6d6d8	2714000	2f484fc8e09eaa0186d2f6afcc13432d	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/UBC03/774-569_51.bai	bai	['Open']	UBC03-774-569	Index File	Tumor tissue sample; UBC03-774-569: bam index of RNA sequencing reads
file	774-569_51.bam	6a694725-444c-556a-9b56-a52b5a2f131c	7583318886	0218ac61b39c227da8b18dc8d0a38201	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/UBC03/774-569_51.bam	bam	['Open']	UBC03-774-569	RNA Sequence File	Tumor tissue sample; UBC03-774-569: RNA sequencing reads mapped to CanFam3.1
file	758-158_54.bai	d006059f-de96-549d-94d5-febc4d356437	2648440	2604142f0759135709b2fbbcc0d3024f	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/UBC03/758-158_54.bai	bai	['Open']	UBC03-758-158	Index File	Tumor tissue sample; UBC03-758-158: bam index of RNA sequencing reads
file	758-158_54.bam	e619c8f4-4fba-512e-a07d-2a3a5145ad8f	5993197779	27ed826207fb8704387802e16c64c404	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/UBC03/758-158_54.bam	bam	['Open']	UBC03-758-158	RNA Sequence File	Tumor tissue sample; UBC03-758-158: RNA sequencing reads mapped to CanFam3.1
file	775-099_61ME.bai	6545ca70-0598-59d0-bb0c-b2b4332b2313	2364696	b9b25796aa1b207f050f0f40d248801b	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/UBC03/775-099_61ME.bai	bai	['Open']	UBC03-775-099	Index File	Tumor tissue sample; UBC03-775-099: bam index of RNA sequencing reads
file	775-099_61ME.bam	4e43f5d9-9eab-59b4-95f5-e1ce673fd8e3	12596697611	87e291869caf38efc7914baccff7f592	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/UBC03/775-099_61ME.bam	bam	['Open']	UBC03-775-099	RNA Sequence File	Tumor tissue sample; UBC03-775-099: RNA sequencing reads mapped to CanFam3.1
file	787-089_62.bai	24f7e13a-54bd-5139-9b20-5d098cc7dc0b	2621448	71ebf0bc539ccb60b14af10b3835666e	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/UBC03/787-089_62.bai	bai	['Open']	UBC03-787-089	Index File	Tumor tissue sample; UBC03-787-089: bam index of RNA sequencing reads
file	787-089_62.bam	acc62e71-1c87-55e1-a599-7d6d5f6d6668	6025143771	52f5a4c14e97ba52fca825264fe28f78	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/UBC03/787-089_62.bam	bam	['Open']	UBC03-787-089	RNA Sequence File	Tumor tissue sample; UBC03-787-089: RNA sequencing reads mapped to CanFam3.1
