id	sample.id	dcf_indexd_guid	deidentification_method	file_description	file_mapping_level	file_name	file_size	file_type	file_url_in_cds	fixation_embedding_method	image_modality	license	magnification	md5sum	pathology_file_id	staining_method	updated	type	study
phs002430::052-10_patientH_E	phs002430::052-10	dg.4DFC/0fe06e4b-d223-4f6c-8e9b-88bd8f67b1a8	manual			052-10.czi - Scene #1.tif	191324703	tiff	s3://cds-255-phs002430-sequencefiles-p30-fy20/052-10.czi%20-%20Scene%20%231.tif	Formalin fixed paraffin embedded (FFPE)	Slide Microscopy	CC by 4.0	20	42540ef5e970dfc4d8c53f939aa88d89	052-10_patientH_E	H&E	2024-05-23T14:50:31.090000000+00:00	pathology_file	phs002430
phs002430::303-4_patientH_E	phs002430::303-4	dg.4DFC/ba851007-740d-4ad2-bc1d-075f6388125c	manual			303-4.czi - Scene #1.tif	196207482	tiff	s3://cds-255-phs002430-sequencefiles-p30-fy20/303-4.czi%20-%20Scene%20%231.tif	Formalin fixed paraffin embedded (FFPE)	Slide Microscopy	CC by 4.0	20	bd4a770d1b7ccf7e45216223df013733	303-4_patientH_E	H&E	2024-05-23T14:50:31.137000000+00:00	pathology_file	phs002430
phs002430::357-27_#1_patientH_E_1	phs002430::357-27	dg.4DFC/b08eb05a-012b-43e0-86eb-71bc7dfe45f1	manual			357-27 #1.czi - Scene #1.tif	167911599	tiff	s3://cds-255-phs002430-sequencefiles-p30-fy20/357-27%20%231.czi%20-%20Scene%20%231.tif	Formalin fixed paraffin embedded (FFPE)	Slide Microscopy	CC by 4.0	20	9d3a33e8a80c64bfcad5c2cd1b74e8a7	357-27_#1_patientH_E_1	H&E	2024-05-23T14:50:31.162000000+00:00	pathology_file	phs002430
phs002430::357-27_#1_patientH_E_3	phs002430::357-27	dg.4DFC/8320a483-c224-477a-aae9-4a1e290b962d	manual			357-27 #1.czi - Scene #3.tif	157404699	tiff	s3://cds-255-phs002430-sequencefiles-p30-fy20/357-27%20%231.czi%20-%20Scene%20%233.tif	Formalin fixed paraffin embedded (FFPE)	Slide Microscopy	CC by 4.0	20	21fcd72d15683259d7411effaf772dc5	357-27_#1_patientH_E_3	H&E	2024-05-23T14:50:31.160000000+00:00	pathology_file	phs002430
phs002430::433-3_patientH_E_1	phs002430::433-3	dg.4DFC/765e60de-3981-4648-a968-4a52cd765198	manual			433-3.czi - Scene #1.tif	213635475	tiff	s3://cds-255-phs002430-sequencefiles-p30-fy20/433-3.czi%20-%20Scene%20%231.tif	Formalin fixed paraffin embedded (FFPE)	Slide Microscopy	CC by 4.0	20	d5dbefe9e712b6a944154a2578b5352a	433-3_patientH_E_1	H&E	2024-05-23T14:50:31.202000000+00:00	pathology_file	phs002430
phs002430::433-3_patientH_E_2	phs002430::433-3	dg.4DFC/1347a7c9-603d-433e-9278-183126194a33	manual			433-3.czi - Scene #2.tif	246349203	tiff	s3://cds-255-phs002430-sequencefiles-p30-fy20/433-3.czi%20-%20Scene%20%232.tif	Formalin fixed paraffin embedded (FFPE)	Slide Microscopy	CC by 4.0	20	6e7b033e4d2eefe191e33ece11958c38	433-3_patientH_E_2	H&E	2024-05-23T14:50:31.203000000+00:00	pathology_file	phs002430
phs002430::560-6_lung_tu_patientH_E	phs002430::560-6	dg.4DFC/a4cff9e8-1f2b-4d74-abcc-d4d7369c352b	manual			560-6 lung tu.czi - Scene #1.tif	201367539	tiff	s3://cds-255-phs002430-sequencefiles-p30-fy20/560-6%20lung%20tu.czi%20-%20Scene%20%231.tif	Formalin fixed paraffin embedded (FFPE)	Slide Microscopy	CC by 4.0	20	72abe962447a05035ee7e73a7a4c08ce	560-6_lung_tu_patientH_E	H&E	2024-05-23T14:50:31.287000000+00:00	pathology_file	phs002430
phs002430::588-3_A_patientH_E	phs002430::588-3	dg.4DFC/09d208a5-932e-4124-bafe-4e395b58b2c0	manual			588-3 A.czi - Scene #08.tif	173052186	tiff	s3://cds-255-phs002430-sequencefiles-p30-fy20/588-3%20A.czi%20-%20Scene%20%2308.tif	Formalin fixed paraffin embedded (FFPE)	Slide Microscopy	CC by 4.0	20	e706de895d4f3ea88ad7daa2c504e3c2	588-3_A_patientH_E	H&E	2024-05-23T14:50:31.303000000+00:00	pathology_file	phs002430
phs002430::614-4_#1_patientH_E	phs002430::614-4	dg.4DFC/5765a1fb-7f9f-4995-8333-4c5cb83b1afe	manual			614-4 #1.czi - Scene #3.tif	217029087	tiff	s3://cds-255-phs002430-sequencefiles-p30-fy20/614-4%20%231.czi%20-%20Scene%20%233.tif	Formalin fixed paraffin embedded (FFPE)	Slide Microscopy	CC by 4.0	20	b190df63e72c4ef3d48ebc65a18170ee	614-4_#1_patientH_E	H&E	2024-05-23T14:50:31.323000000+00:00	pathology_file	phs002430
phs002430::652-4__2_patientH_E	phs002430::652-4	dg.4DFC/a096da8d-5b9d-4315-a18b-2dce1a570be1	manual			652-4 (2).czi - Scene #1.tif	219828450	tiff	s3://cds-255-phs002430-sequencefiles-p30-fy20/652-4%20(2).czi%20-%20Scene%20%231.tif	Formalin fixed paraffin embedded (FFPE)	Slide Microscopy	CC by 4.0	20	c72164dc8dd1810b6a0ef61dcab9419f	652-4__2_patientH_E	H&E	2024-05-23T14:50:31.357000000+00:00	pathology_file	phs002430
