library_id	number_of_reads	coverage	reference_genome_assembly	design_description	library_strategy	library_layout	library_source	library_selection	platform	instrument_model	type	genomic_info_id	file.file_id
HALB3019338			GRCh38	IDT xGen Exome v2 hyb panel	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/58a25587-b9dd-4843-9508-132b5f07ce67_HALB3019338	dg.4DFC/58a25587-b9dd-4843-9508-132b5f07ce67
HALB3019338			GRCh38	IDT xGen Exome v2 hyb panel	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/0912499a-d973-4baa-b82a-e794ff14596c_HALB3019338	dg.4DFC/0912499a-d973-4baa-b82a-e794ff14596c
HALB3019338			GRCh38	IDT xGen Exome v2 hyb panel	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/4b8f995b-6f41-4d7d-a8fa-1efa7cfc0df1_HALB3019338	dg.4DFC/4b8f995b-6f41-4d7d-a8fa-1efa7cfc0df1
HALB3019338			GRCh38	IDT xGen Exome v2 hyb panel	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/76a51dea-8230-4663-bf13-e4ca3e659f30_HALB3019338	dg.4DFC/76a51dea-8230-4663-bf13-e4ca3e659f30
HALB3019338			GRCh38	IDT xGen Exome v2 hyb panel	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/88320c61-76e1-425f-a6f1-4afee205eadb_HALB3019338	dg.4DFC/88320c61-76e1-425f-a6f1-4afee205eadb
HALB3019338			GRCh38	IDT xGen Exome v2 hyb panel	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/9e7e1f9a-b0d7-4cda-8b5c-262d9149bd2d_HALB3019338	dg.4DFC/9e7e1f9a-b0d7-4cda-8b5c-262d9149bd2d
HALB3019338			GRCh38	IDT xGen Exome v2 hyb panel	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/53e5e96d-c4e8-4300-9fda-c20202e23827_HALB3019338	dg.4DFC/53e5e96d-c4e8-4300-9fda-c20202e23827
HALB3019338			GRCh38	IDT xGen Exome v2 hyb panel	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/123d1e31-52e9-49fe-9e0d-b8e41636eaac_HALB3019338	dg.4DFC/123d1e31-52e9-49fe-9e0d-b8e41636eaac
HALB3019338			GRCh38	IDT xGen Exome v2 hyb panel	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/a50cfd1b-d741-492a-88d0-a957537f0f21_HALB3019338	dg.4DFC/a50cfd1b-d741-492a-88d0-a957537f0f21
HALB3019338			GRCh38	IDT xGen Exome v2 hyb panel	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/9f59fd29-2ec3-4419-9b2e-643b202f7cdf_HALB3019338	dg.4DFC/9f59fd29-2ec3-4419-9b2e-643b202f7cdf
HALB3019338			GRCh38	IDT xGen Exome v2 hyb panel	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/dfa3b968-91e9-4d41-96b0-0a64ebfc4cca_HALB3019338	dg.4DFC/dfa3b968-91e9-4d41-96b0-0a64ebfc4cca
HALB3019338			GRCh38	IDT xGen Exome v2 hyb panel	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/02ecb707-7726-4b6c-a5a3-1f7b1158bb2e_HALB3019338	dg.4DFC/02ecb707-7726-4b6c-a5a3-1f7b1158bb2e
HALB3019338		409.187726	GRCh38	IDT xGen Exome v2 hyb panel	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/7fa693da-3b2e-4e7a-a327-e93a0b7867fa_HALB3019338	dg.4DFC/7fa693da-3b2e-4e7a-a327-e93a0b7867fa
HALB3019338			GRCh38	IDT xGen Exome v2 hyb panel	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/1f069092-128c-456d-a459-6cd5d167265c_HALB3019338	dg.4DFC/1f069092-128c-456d-a459-6cd5d167265c
HALB3019338			GRCh38	IDT xGen Exome v2 hyb panel	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/353aa369-ce2f-49b8-ae20-2ae573ee3937_HALB3019338	dg.4DFC/353aa369-ce2f-49b8-ae20-2ae573ee3937
HALB3019338			GRCh38	IDT xGen Exome v2 hyb panel	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/4f48f532-5ab4-409d-8343-2eddb5346238_HALB3019338	dg.4DFC/4f48f532-5ab4-409d-8343-2eddb5346238
HALB3019338			GRCh38	IDT xGen Exome v2 hyb panel	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/72f7857c-f09f-4a30-b1f0-a98926fa19ae_HALB3019338	dg.4DFC/72f7857c-f09f-4a30-b1f0-a98926fa19ae
HALB3019338			GRCh38	IDT xGen Exome v2 hyb panel	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/220ab94c-f6d0-45b6-b8b5-9d3567829ecb_HALB3019338	dg.4DFC/220ab94c-f6d0-45b6-b8b5-9d3567829ecb
HALB3019338	259931660		GRCh38	IDT xGen Exome v2 hyb panel	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/955499f9-c5cf-424c-b303-9ab9f51f8202_HALB3019338	dg.4DFC/955499f9-c5cf-424c-b303-9ab9f51f8202
