library_id	bases	number_of_reads	avg_read_length	design_description	library_strategy	library_layout	library_source	library_selection	platform	instrument_model	type	genomic_info_id	file.file_id	reference_genome_assembly
S044R.2.3	19101015750	152808126	125	RNA sequencing libraries were prepared using Roche KAPA Total RNASeq with standard protocols. Libraries were sequenced on an Illumina HiSeq X at the New York Genome Center	RNA-Seq	Paired-End	Transcriptomic	Poly-A Enriched Genomic Library	Illumina	Illumina HiSeq X Ten	genomic_info	dg.4DFC/9e32bcec-2738-491b-98e0-291a3e5378de_S044R.2.3	dg.4DFC/9e32bcec-2738-491b-98e0-291a3e5378de	Not specified in data
S044R.2.3	19101015750	152808126	125	RNA sequencing libraries were prepared using Roche KAPA Total RNASeq with standard protocols. Libraries were sequenced on an Illumina HiSeq X at the New York Genome Center	RNA-Seq	Paired-End	Transcriptomic	Poly-A Enriched Genomic Library	Illumina	Illumina HiSeq X Ten	genomic_info	dg.4DFC/057225e6-da06-4d4a-8d20-b85d59ccd7db_S044R.2.3	dg.4DFC/057225e6-da06-4d4a-8d20-b85d59ccd7db	Not specified in data
S070D.2.4	4638256200	46382562	100	Genomic DNA capture was performed with Nextera Rapid Capture Exome probes, version 1.2. Sequencing was performed on an Illumina HiSeq 2500 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/d64e5705-b750-4822-857f-d65e9eded133_S070D.2.4	dg.4DFC/d64e5705-b750-4822-857f-d65e9eded133	Not specified in data
S070D.2.4	4638256200	46382562	100	Genomic DNA capture was performed with Nextera Rapid Capture Exome probes, version 1.2. Sequencing was performed on an Illumina HiSeq 2500 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/d728c8c1-4847-481a-bd8c-99a82e006d41_S070D.2.4	dg.4DFC/d728c8c1-4847-481a-bd8c-99a82e006d41	Not specified in data
S070D.2.5	4650855800	46508558	100	Genomic DNA capture was performed with Nextera Rapid Capture Exome probes, version 1.2. Sequencing was performed on an Illumina HiSeq 2500 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/69a789e9-dbfc-42be-98b8-64f0e50e9194_S070D.2.5	dg.4DFC/69a789e9-dbfc-42be-98b8-64f0e50e9194	Not specified in data
S070D.2.5	4650855800	46508558	100	Genomic DNA capture was performed with Nextera Rapid Capture Exome probes, version 1.2. Sequencing was performed on an Illumina HiSeq 2500 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/736dbdfd-e0f6-489c-a6c5-aefb0d920f98_S070D.2.5	dg.4DFC/736dbdfd-e0f6-489c-a6c5-aefb0d920f98	Not specified in data
S070D.2.3	4612017000	46120170	100	Genomic DNA capture was performed with Nextera Rapid Capture Exome probes, version 1.2. Sequencing was performed on an Illumina HiSeq 2500 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/ec6c076d-8d9a-425f-a77e-ff9104a4e97b_S070D.2.3	dg.4DFC/ec6c076d-8d9a-425f-a77e-ff9104a4e97b	Not specified in data
S070D.2.3	4612017000	46120170	100	Genomic DNA capture was performed with Nextera Rapid Capture Exome probes, version 1.2. Sequencing was performed on an Illumina HiSeq 2500 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/651929c6-5fb0-439d-a68c-c20f31e48430_S070D.2.3	dg.4DFC/651929c6-5fb0-439d-a68c-c20f31e48430	Not specified in data
S070R.2.2	12825892000	128258920	100	RNA sequencing libraries were prepared using Agilent SureSelect Stranded RNA with standard protocols. Libraries were sequenced on an Illumina HiSeq 2500 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	RNA-Seq	Paired-End	Transcriptomic	Poly-A Enriched Genomic Library	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/0ef7e820-a09d-4df2-a131-c839509f6db7_S070R.2.2	dg.4DFC/0ef7e820-a09d-4df2-a131-c839509f6db7	Not specified in data
S070R.2.2	12825892000	128258920	100	RNA sequencing libraries were prepared using Agilent SureSelect Stranded RNA with standard protocols. Libraries were sequenced on an Illumina HiSeq 2500 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	RNA-Seq	Paired-End	Transcriptomic	Poly-A Enriched Genomic Library	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/191cfec3-c2ca-42c2-818b-0d7d0d7135d4_S070R.2.2	dg.4DFC/191cfec3-c2ca-42c2-818b-0d7d0d7135d4	Not specified in data
S037D.2.1	11343409081	112310981	101	Genomic DNA capture was performed with NimbleGen SeqCap EZ Exome probes, version 3.0. Sequencing was performed on an Illumina HiSeq 3000 at the Oregon State University Sequencing Core Facility	WXS	Single-indexed	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 3000	genomic_info	dg.4DFC/72f6f4ce-274a-4ab3-b75b-06fa6842cf56_S037D.2.1	dg.4DFC/72f6f4ce-274a-4ab3-b75b-06fa6842cf56	Not specified in data
S037R.3.1	7866828250	62934626	125	RNA sequencing libraries were prepared using Roche KAPA Total RNASeq with standard protocols. Libraries were sequenced on an Illumina HiSeq X at the New York Genome Center	RNA-Seq	Paired-End	Transcriptomic	Poly-A Enriched Genomic Library	Illumina	Illumina HiSeq X Ten	genomic_info	dg.4DFC/765a0112-d2f3-49ce-bcdb-552d5b9ef168_S037R.3.1	dg.4DFC/765a0112-d2f3-49ce-bcdb-552d5b9ef168	Not specified in data
S037R.3.1	7866828250	62934626	125	RNA sequencing libraries were prepared using Roche KAPA Total RNASeq with standard protocols. Libraries were sequenced on an Illumina HiSeq X at the New York Genome Center	RNA-Seq	Paired-End	Transcriptomic	Poly-A Enriched Genomic Library	Illumina	Illumina HiSeq X Ten	genomic_info	dg.4DFC/0e37e0ff-3ee0-467d-9205-a3c94af72ced_S037R.3.1	dg.4DFC/0e37e0ff-3ee0-467d-9205-a3c94af72ced	Not specified in data
S037R.3.2	7864960750	62919686	125	RNA sequencing libraries were prepared using Roche KAPA Total RNASeq with standard protocols. Libraries were sequenced on an Illumina HiSeq X at the New York Genome Center	RNA-Seq	Paired-End	Transcriptomic	Poly-A Enriched Genomic Library	Illumina	Illumina HiSeq X Ten	genomic_info	dg.4DFC/a053e023-0f85-4da9-8e4f-3d1221bff052_S037R.3.2	dg.4DFC/a053e023-0f85-4da9-8e4f-3d1221bff052	Not specified in data
S037R.3.2	7864960750	62919686	125	RNA sequencing libraries were prepared using Roche KAPA Total RNASeq with standard protocols. Libraries were sequenced on an Illumina HiSeq X at the New York Genome Center	RNA-Seq	Paired-End	Transcriptomic	Poly-A Enriched Genomic Library	Illumina	Illumina HiSeq X Ten	genomic_info	dg.4DFC/37b02b96-6fac-4ac3-b8d6-d0e1cd5f8856_S037R.3.2	dg.4DFC/37b02b96-6fac-4ac3-b8d6-d0e1cd5f8856	Not specified in data
S040D.1.7	4749258400	47492584	100	Genomic DNA capture was performed with Nextera Rapid Capture Exome probes, version 1.2. Sequencing was performed on an Illumina HiSeq 2500 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/ee1e3bcb-47cc-490b-ac67-8b1f620c461a_S040D.1.7	dg.4DFC/ee1e3bcb-47cc-490b-ac67-8b1f620c461a	Not specified in data
