type	file_name	uuid	file_size	md5sum	file_status	file_location	file_format	sample.sample_id	file_type	file_description
file	HPCI_0001_1_BN_Whole_C5_KHSC2.bwa.final.bai	f1f93afb-e8b0-5a5a-a3a1-ef3a09de8cda	5960016	7965b40999cf25a358a5edf987f282c9	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/OSA01/HPCI_0001_1_BN_Whole_C5_KHSC2.bwa.final.bai	bai	OSA01-HPCI_0001_1_BN_Whole_C5	Index File	WES; Normal
file	HPCI_0001_1_BN_Whole_C5_KHSC2.bwa.final.bam	e23a141b-d9ee-501e-b5dc-da697eeb217a	8575807648	0756cf00888b57597b82c990c15f8f78	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/OSA01/HPCI_0001_1_BN_Whole_C5_KHSC2.bwa.final.bam	bam	OSA01-HPCI_0001_1_BN_Whole_C5	Whole Exome Sequence File	WES; Normal
file	HPCI_0001_1_BN_Whole_T3_TSMRU.starAligned.final.bai	331e4db7-ded9-5d28-b3fa-671d70a3ded9	4281424	dbcdb5fb3c2ec276a6034fb751abd457	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/OSA01/HPCI_0001_1_BN_Whole_T3_TSMRU.starAligned.final.bai	bai	OSA01-HPCI_0001_1_BN_Whole_T3	Index File	RNA-Seq; Primary OS
file	HPCI_0001_1_BN_Whole_T3_TSMRU.starAligned.final.bam	e721946a-8882-512a-97db-22a69672b501	6275038761	846b570f1739ced14c729f93cf821efd	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/OSA01/HPCI_0001_1_BN_Whole_T3_TSMRU.starAligned.final.bam	bam	OSA01-HPCI_0001_1_BN_Whole_T3	RNA Sequence File	RNA-Seq; Primary OS
file	HPCI_0001_1_BN_Whole_T4_KHSC2.bwa.final.bai	d64e37ee-cdbc-5488-88a5-4a8e0239f50c	6118600	9d3071744153553c5f705d94af7aaf89	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/OSA01/HPCI_0001_1_BN_Whole_T4_KHSC2.bwa.final.bai	bai	OSA01-HPCI_0001_1_BN_Whole_T4	Index File	WES; Metastatic OS
file	HPCI_0001_1_BN_Whole_T4_KHSC2.bwa.final.bam	e25614d1-1d04-5d43-85ba-e64d8093ebe3	10662008505	1edc5ebe4711f183b8e9267dfd5f9267	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/OSA01/HPCI_0001_1_BN_Whole_T4_KHSC2.bwa.final.bam	bam	OSA01-HPCI_0001_1_BN_Whole_T4	Whole Exome Sequence File	WES; Metastatic OS
file	HPCI_0001_1_BN_Whole_T6_KHSC2.bwa.final.bam	90ba5bcc-56ae-5df5-9d95-b687ae0b624f	12577851630	4558f26e47ff33ca00d4bd650f65d2ca	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/OSA01/HPCI_0001_1_BN_Whole_T6_KHSC2.bwa.final.bam	bam	OSA01-HPCI_0001_1_BN_Whole_T6	Whole Exome Sequence File	WES; Primary OS
file	HPCI_0002_1_BN_Whole_T2_TSMRU.starAligned.final.bai	2fdb3ea3-af61-543a-bc3e-b64a2af10d41	4946352	19d253fdf5a15c8f537745b5f4fc229e	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/OSA01/HPCI_0002_1_BN_Whole_T2_TSMRU.starAligned.final.bai	bai	OSA01-HPCI_0002_1_BN_Whole_T2	Index File	RNA-Seq; Primary OS
file	HPCI_0002_1_BN_Whole_T2_TSMRU.starAligned.final.bam	5abbdde4-b12a-58f7-9de4-65b16208085b	6996350580	9fb9bf6815a968c9050d407ff21e2c98	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/OSA01/HPCI_0002_1_BN_Whole_T2_TSMRU.starAligned.final.bam	bam	OSA01-HPCI_0002_1_BN_Whole_T2	RNA Sequence File	RNA-Seq; Primary OS
file	HPCI_0002_1_BN_Whole_T3_KHSC2.bwa.final.bam	c65af5c9-d8b9-5cda-b28c-8184b3d3b877	8750355579	d2c418c2f13cd1de62b5bee4b7001515	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/OSA01/HPCI_0002_1_BN_Whole_T3_KHSC2.bwa.final.bam	bam	OSA01-HPCI_0002_1_BN_Whole_T3	Whole Exome Sequence File	WES; Metastatic OS
file	HPCI_0002_1_BN_Whole_T4_KHSC2.bwa.final.bai	35dc66bd-3801-5c3f-8dfd-8aaaf91a5fe6	6077344	6eff793335788977cd0c493bb03a46d1	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/OSA01/HPCI_0002_1_BN_Whole_T4_KHSC2.bwa.final.bai	bai	OSA01-HPCI_0002_1_BN_Whole_T4	Index File	WES; Primary OS
file	HPCI_0002_1_PB_Whole_C5_KHSC2.bwa.final.bai	dcb5c452-d5c5-5f12-ab36-32cef20128cf	6186240	4a555351fb7d2bdab7d35f0c9b0763d2	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/OSA01/HPCI_0002_1_PB_Whole_C5_KHSC2.bwa.final.bai	bai	OSA01-HPCI_0002_1_PB_Whole_C5	Index File	WES; Normal
file	HPCI_0002_1_PB_Whole_C5_KHSC2.bwa.final.bam	fbf622ac-c215-549a-b73a-5c7b4e26f12d	10682100697	590d2303bcab7532061f9c6ba9563535	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/OSA01/HPCI_0002_1_PB_Whole_C5_KHSC2.bwa.final.bam	bam	OSA01-HPCI_0002_1_PB_Whole_C5	Whole Exome Sequence File	WES; Normal
file	HPCI_0003_1_BN_Whole_T2_TSMRU.starAligned.final.bai	9428bebc-0728-5569-a500-b99a97e3f58b	4870552	00ef7200b012b5a4ed75319766e0b469	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/OSA01/HPCI_0003_1_BN_Whole_T2_TSMRU.starAligned.final.bai	bai	OSA01-HPCI_0003_1_BN_Whole_T2	Index File	RNA-Seq; Primary OS
file	HPCI_0003_1_BN_Whole_T3_KHSC2.bwa.final.bai	a0766484-c44a-5bcc-9594-3ca7d147b4f4	5995728	d2bc406352cbae6d056074a4f450a9b3	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/OSA01/HPCI_0003_1_BN_Whole_T3_KHSC2.bwa.final.bai	bai	OSA01-HPCI_0003_1_BN_Whole_T3	Index File	WES; Metastatic OS
file	HPCI_0003_1_BN_Whole_T3_KHSC2.bwa.final.bam	72665743-1653-5d3e-8cc1-cff12072a82c	9092791379	b69a4f9f5ca3636c852d1b5e6503c329	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/OSA01/HPCI_0003_1_BN_Whole_T3_KHSC2.bwa.final.bam	bam	OSA01-HPCI_0003_1_BN_Whole_T3	Whole Exome Sequence File	WES; Metastatic OS
file	HPCI_0003_1_BN_Whole_T4_KHSC2.bwa.final.bai	d661898d-7300-5acc-838a-6fcc6516694f	5795808	cc0d40aca9c35a5feb0e990f1380b7af	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/OSA01/HPCI_0003_1_BN_Whole_T4_KHSC2.bwa.final.bai	bai	OSA01-HPCI_0003_1_BN_Whole_T4	Index File	WES; Primary OS
file	HPCI_0003_1_PB_Whole_C5_KHSC2.bwa.final.bai	d2a55223-e8c3-5f54-8a6b-7b2cd3d4feed	5997824	117b16cde0a5f282ff9db02148fa78b6	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/OSA01/HPCI_0003_1_PB_Whole_C5_KHSC2.bwa.final.bai	bai	OSA01-HPCI_0003_1_PB_Whole_C5	Index File	WES; Normal
file	HPCI_0004_1_BN_Whole_T3_KHSC2.bwa.final.bai	077c4568-29b6-5a80-85c5-e9aa5a0c1b07	5952360	c9864e50befbc84203fe55bac1b1b424	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/OSA01/HPCI_0004_1_BN_Whole_T3_KHSC2.bwa.final.bai	bai	OSA01-HPCI_0004_1_BN_Whole_T3	Index File	WES; Metastatic OS
file	HPCI_0004_1_BN_Whole_T5_KHSC2.bwa.final.bai	3189bd98-5bbb-5b6b-9ecf-38f1b7cb5086	6091368	b7672b52a0cd73f93c48f4a5edb089b6	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/OSA01/HPCI_0004_1_BN_Whole_T5_KHSC2.bwa.final.bai	bai	OSA01-HPCI_0004_1_BN_Whole_T5	Index File	WES; Primary OS
