library_id	bases	number_of_reads	avg_read_length	coverage	reference_genome_assembly	design_description	library_strategy	library_layout	library_source	library_selection	platform	instrument_model	sequence_alignment_software	type	genomic_info_id	file.file_id
0DJBLN	43786607024	312410552	150.0	223.45442305613	GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	BWA 0.7.17-r1188	genomic_info	dg.4DFC/91ecaa7c-4227-4370-9992-d9ad07759c05_0DJBLN	dg.4DFC/91ecaa7c-4227-4370-9992-d9ad07759c05
0DJBLN					GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000		genomic_info	dg.4DFC/7e1ddcc1-97d1-44a8-a137-8246c9e4091f_0DJBLN	dg.4DFC/7e1ddcc1-97d1-44a8-a137-8246c9e4091f
0DJC36	136135631774	1043248402	150.0	303.397146453498	GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000	BWA 0.7.17-r1188	genomic_info	dg.4DFC/4449adef-9d29-4b76-a206-fab54f21edc0_0DJC36	dg.4DFC/4449adef-9d29-4b76-a206-fab54f21edc0
0DJC36					GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000		genomic_info	dg.4DFC/6e635dc5-30fe-4ae4-b1cf-376bd97e3620_0DJC36	dg.4DFC/6e635dc5-30fe-4ae4-b1cf-376bd97e3620
0DJBLN					GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000		genomic_info	dg.4DFC/36d81ae4-694b-4f67-b3e2-e9a9150db235_0DJBLN	dg.4DFC/36d81ae4-694b-4f67-b3e2-e9a9150db235
0DJC36					GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000		genomic_info	dg.4DFC/46b7448c-b556-44aa-bd8e-96c88f918839_0DJC36	dg.4DFC/46b7448c-b556-44aa-bd8e-96c88f918839
0DJBLN					GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000		genomic_info	dg.4DFC/69581498-dae1-42f1-8ebb-3a8a78494b84_0DJBLN	dg.4DFC/69581498-dae1-42f1-8ebb-3a8a78494b84
0DJBLN					GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000		genomic_info	dg.4DFC/624f25ef-1ac2-429d-b245-2b77f838b2ac_0DJBLN	dg.4DFC/624f25ef-1ac2-429d-b245-2b77f838b2ac
0DJC36					GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000		genomic_info	dg.4DFC/363999cc-0a81-4dee-80d2-8d15c40890a9_0DJC36	dg.4DFC/363999cc-0a81-4dee-80d2-8d15c40890a9
0DJC36					GRCh38	WXS Hybrid Selection paired-end	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq 6000		genomic_info	dg.4DFC/e73b3bec-9cb1-4b42-925b-d77e5097bb83_0DJC36	dg.4DFC/e73b3bec-9cb1-4b42-925b-d77e5097bb83
