type	file_name	uuid	file_size	md5sum	file_status	file_location	file_format	acl	case.case_id	study.clinical_study_designation	sample.sample_id	diagnosis.diagnosis_id	file_type	file_description
file	OSA02-Study_Protocol.docx	c5b64616-8328-5151-94f3-4bfaba2b8763	15588.0	11046a51b38343e3335452a847e76b53	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/OSA02/OSA02-Study_Protocol.docx	docx	['Open']		OSA02			Study Protocol	Study protocol for the DFI arm of the OSA02 study
file	OSA02-Supplementary_Data.xlsx	3f531a42-8d71-521f-a77a-6ddad258bc36	584033.0	6418dc4256c8468be8e28956e7f83228	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/OSA02/OSA02-Supplementary_Data.xlsx	xlsx	['Open']		OSA02			Supplemental Data File	Supplementary tables associated with the manuscript
file	OSA02-Supplementary_Information.pdf	a99cd095-589d-5a6e-b7a8-18ff6ef41e68	15616946.0	62fc59a8ab1496a6fd1e410c6702c2e2	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/OSA02/OSA02-Supplementary_Information.pdf	pdf	['Open']		OSA02			Supplemental Data File	Supplementary figures and additional tables associated with the manuscript
file	OSA02-Summarized_Gene_Expression_Matrix.tsv	3c285143-bffd-5804-90a6-dc778e1985ae	64152698.0	0a40d02311d94133e28026388ce4095a	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/OSA02/OSA02-Summarized_Gene_Expression_Matrix.tsv	tsv	['Open']		OSA02			Supplemental Data File	Summarized Affymetrix GeneChip  expression data
file	M-1166_recal_reads.bai	bca14ee9-39dc-5c34-a4b5-bb685d59c8ae	5822112.0	a0614dd7ada8301c78246ab253394a04	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/OSA02/M-1166_recal_reads.bai	bai	['Open']			OSA02-M-1166		Index File	BAM Index of WES reads - OSA02-M-1166 metastatic tumor
file	M-1166_recal_reads.bam	115a4360-9e72-5473-8ee6-b73bc100be72	23180403820.0	5880b30ee7cdd6803e7f6ded8bd4e5a9	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/OSA02/M-1166_recal_reads.bam	bam	['Open']			OSA02-M-1166		Whole Exome Sequence File	WES reads to CanFam3.1 - OSA02-M-1166 metastatic tumor
file	N-1023_recal_reads.bam	a029ba4f-3263-5aad-835e-44d2a7529e37	33892759104.0	a0814eaa10bfda2da11fd849436971e0	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/OSA02/N-1023_recal_reads.bam	bam	['Open']			OSA02-N-1023		Whole Exome Sequence File	WES reads to CanFam3.1 - OSA02-N-1023 matched normal
file	N-1023_recal_reads.bai	5ef9b03e-3a94-5d9c-8202-8a8b1d25e0cd	6318048.0	901c079d2c8bc1eebd896bebe84a47c5	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/OSA02/N-1023_recal_reads.bai	bai	['Open']			OSA02-N-1023		Index File	BAM Index of WES reads - OSA02-N-1023 matched normal
file	N-1087_recal_reads.bam	7fab4a29-acd4-518a-b0a9-38d266754ead	13121644804.0	e1f2582d917da05ddf3cd391ea067fd9	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/OSA02/N-1087_recal_reads.bam	bam	['Open']			OSA02-N-1087		Whole Exome Sequence File	WES reads to CanFam3.1 - OSA02-N-1087 matched normal
file	N-1087_recal_reads.bai	b1583817-89dc-513b-954f-9688e7df9e0b	5820088.0	053258db39a45cf8a87520fc2f519cd7	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/OSA02/N-1087_recal_reads.bai	bai	['Open']			OSA02-N-1087		Index File	BAM Index of WES reads - OSA02-N-1087 matched normal
