file_type	study.phs_accession	submission_version	experimental_strategy_and_data_subtypes	file_id	file.file_id	sample.sample_id	md5sum	updated	file_url_in_cds	file_size	file_name	type	uuid	participant.study_participant_id
TSV	phs002790	phs002790.v2.p1	"[""WXS""]"	dg.4DFC/10e3296b-db9d-4782-8c23-b5ce2d809294			bfa2a5f2762c7a94fc6270c42d5ab5c1		s3://cds-305-phs002790-production-ccdi-ctsmc/2023_02_08_Release_Clinical/Clinical_JSONs/APEC14B1-CCDI-MCI-2022H2/COG_data_dictionary.tsv		COG_data_dictionary.tsv	file	d9848a75-428f-541b-9859-06f0b10055f4	
JSON	phs002790	phs002790.v4.p1	"[""WXS""]"	dg.4DFC/296b16db-425a-4a3e-a0a9-50e9055919e9			b562bb4bf32351eebcfec223384c44f0	2024-06-04T14:14:26.920000000+00:00	s3://cds-305-phs002790-production-ccdi-ctsmc/2023_08_25_Release_Clinical/Clinical_JSONs/APEC14B1-CCDI-MCI-2023H1/PARGFV.json	28294	PARGFV.json	file	c959fe21-ecf6-5b51-8f9a-be67d81d9488	phs002790_PARGFV
JSON	phs002790	phs002790.v4.p1	"[""WXS""]"	dg.4DFC/5071d5a2-e1ea-4033-8793-e21d3f135625			d1716dcaed5ab6e818d330908e703710	2024-06-04T14:14:26.961000000+00:00	s3://cds-305-phs002790-production-ccdi-ctsmc/2023_08_25_Release_Clinical/Clinical_JSONs/APEC14B1-CCDI-MCI-2023H1/PBBHCR.json	6167	PBBHCR.json	file	7bc99c18-08f8-557d-9b45-09089d8e0c9a	phs002790_PBBHCR
JSON	phs002790	phs002790.v4.p1	"[""WXS""]"	dg.4DFC/12f8c2ea-72fb-4feb-86c5-b63a96533b6a			c5767825770d3bab15ed9df719042a46	2024-06-04T14:14:26.970000000+00:00	s3://cds-305-phs002790-production-ccdi-ctsmc/2023_08_25_Release_Clinical/Clinical_JSONs/APEC14B1-CCDI-MCI-2023H1/PBBHFF.json	32979	PBBHFF.json	file	5ccadc16-a3ee-564e-948b-b5f75ee383c7	phs002790_PBBHFF
JSON	phs002790	phs002790.v4.p1	"[""WXS""]"	dg.4DFC/806ab184-da5d-43e5-b209-261dbc210385			14a09b83935089d407b4b6ec28c613b5	2024-06-04T14:14:26.976000000+00:00	s3://cds-305-phs002790-production-ccdi-ctsmc/2023_08_25_Release_Clinical/Clinical_JSONs/APEC14B1-CCDI-MCI-2023H1/PBBHGB.json	36544	PBBHGB.json	file	a6811439-d06d-5f51-8339-284b3d2b958d	phs002790_PBBHGB
JSON	phs002790	phs002790.v4.p1	"[""WXS""]"	dg.4DFC/d01eb75f-ec3b-44c4-88d9-d5f9e3b81bfb			404123dffb626a90bf517f406471c22e	2024-06-04T14:14:26.984000000+00:00	s3://cds-305-phs002790-production-ccdi-ctsmc/2023_08_25_Release_Clinical/Clinical_JSONs/APEC14B1-CCDI-MCI-2023H1/PBBHGD.json	34533	PBBHGD.json	file	538ca960-da02-5b88-b02a-26eaf162cf06	phs002790_PBBHGD
JSON	phs002790	phs002790.v4.p1	"[""WXS""]"	dg.4DFC/9e46f5dd-9473-4a67-a096-f045345fffa1			1abcd5cedeaf76ddb802137a3e8fb35a	2024-06-04T14:14:26.990000000+00:00	s3://cds-305-phs002790-production-ccdi-ctsmc/2023_08_25_Release_Clinical/Clinical_JSONs/APEC14B1-CCDI-MCI-2023H1/PBBHGT.json	22522	PBBHGT.json	file	00eabc8b-7797-5cd7-98fc-c4d832c43a70	phs002790_PBBHGT
JSON	phs002790	phs002790.v4.p1	"[""WXS""]"	dg.4DFC/251b26e6-6b71-4174-b1d1-0ce51fed3489			4b64697ecd007b02ca9d0f500c1bc3a0	2024-06-04T14:14:26.995000000+00:00	s3://cds-305-phs002790-production-ccdi-ctsmc/2023_08_25_Release_Clinical/Clinical_JSONs/APEC14B1-CCDI-MCI-2023H1/PBBHHZ.json	6184	PBBHHZ.json	file	888aac68-5b14-5ff4-b204-67fb7ad69d40	phs002790_PBBHHZ
JSON	phs002790	phs002790.v4.p1	"[""WXS""]"	dg.4DFC/8a9836ef-0128-49d6-a37c-993405692f2e			ae26e149f166c6809d3e436f36a7cc53	2024-06-04T14:14:27.002000000+00:00	s3://cds-305-phs002790-production-ccdi-ctsmc/2023_08_25_Release_Clinical/Clinical_JSONs/APEC14B1-CCDI-MCI-2023H1/PBBHIA.json	6235	PBBHIA.json	file	5eae28ea-5c45-565d-a8aa-8df6378ad699	phs002790_PBBHIA
JSON	phs002790	phs002790.v4.p1	"[""WXS""]"	dg.4DFC/3a326548-3fa0-4baa-9b6c-b61a00141f23			58009d636262acf5004aac90650a706f	2024-06-04T14:14:27.008000000+00:00	s3://cds-305-phs002790-production-ccdi-ctsmc/2023_08_25_Release_Clinical/Clinical_JSONs/APEC14B1-CCDI-MCI-2023H1/PBBHIL.json	22565	PBBHIL.json	file	9438831e-3d02-5479-ae59-9d66506d87eb	phs002790_PBBHIL
