library_id	reference_genome_assembly	library_strategy	library_layout	library_source	library_selection	platform	instrument_model	type	genomic_info_id	file.file_id
R544TC303F3	Not specified in data	RNA-Seq	Paired-End	Transcriptomic	Random	Illumina	Illumina HiSeq 4000	genomic_info	dg.4DFC/855f100c-c9b9-11ed-b41c-ef22f5c1c13b_R544TC303F3	dg.4DFC/855f100c-c9b9-11ed-b41c-ef22f5c1c13b
R544TC303F3	Not specified in data	RNA-Seq	Paired-End	Transcriptomic	Random	Illumina	Illumina HiSeq 4000	genomic_info	dg.4DFC/8560bbbe-c9b9-11ed-86f8-bbbec4c34079_R544TC303F3	dg.4DFC/8560bbbe-c9b9-11ed-86f8-bbbec4c34079
R575TC393F2	Not specified in data	RNA-Seq	Paired-End	Transcriptomic	Random	Illumina	Illumina HiSeq 4000	genomic_info	dg.4DFC/85610358-c9b9-11ed-8b02-b7ae9845f8bf_R575TC393F2	dg.4DFC/85610358-c9b9-11ed-8b02-b7ae9845f8bf
R575TC393F2	Not specified in data	RNA-Seq	Paired-End	Transcriptomic	Random	Illumina	Illumina HiSeq 4000	genomic_info	dg.4DFC/85614976-c9b9-11ed-bac8-b3258b2373f5_R575TC393F2	dg.4DFC/85614976-c9b9-11ed-bac8-b3258b2373f5
R544TC453F2	Not specified in data	RNA-Seq	Paired-End	Transcriptomic	Random	Illumina	Illumina HiSeq 4000	genomic_info	dg.4DFC/85619016-c9b9-11ed-a929-db90e292b011_R544TC453F2	dg.4DFC/85619016-c9b9-11ed-a929-db90e292b011
R544TC453F2	Not specified in data	RNA-Seq	Paired-End	Transcriptomic	Random	Illumina	Illumina HiSeq 4000	genomic_info	dg.4DFC/8561d670-c9b9-11ed-a45b-971b1df698a7_R544TC453F2	dg.4DFC/8561d670-c9b9-11ed-a45b-971b1df698a7
R544TC494F4	Not specified in data	RNA-Seq	Paired-End	Transcriptomic	Random	Illumina	Illumina HiSeq 4000	genomic_info	dg.4DFC/85621c7a-c9b9-11ed-8941-ebdff0826a0f_R544TC494F4	dg.4DFC/85621c7a-c9b9-11ed-8941-ebdff0826a0f
R544TC494F4	Not specified in data	RNA-Seq	Paired-End	Transcriptomic	Random	Illumina	Illumina HiSeq 4000	genomic_info	dg.4DFC/8562622a-c9b9-11ed-a4f7-53c982a61657_R544TC494F4	dg.4DFC/8562622a-c9b9-11ed-a4f7-53c982a61657
R544TC551F2	Not specified in data	RNA-Seq	Paired-End	Transcriptomic	Random	Illumina	Illumina HiSeq 4000	genomic_info	dg.4DFC/8562a744-c9b9-11ed-9353-97581ef37916_R544TC551F2	dg.4DFC/8562a744-c9b9-11ed-9353-97581ef37916
R544TC551F2	Not specified in data	RNA-Seq	Paired-End	Transcriptomic	Random	Illumina	Illumina HiSeq 4000	genomic_info	dg.4DFC/8562ed58-c9b9-11ed-a66a-2f069314968c_R544TC551F2	dg.4DFC/8562ed58-c9b9-11ed-a66a-2f069314968c
TC355PT.MS11	GRCh37	WXS	Paired-End	Genomic	Random	Illumina	Illumina HiSeq 4000	genomic_info	dg.4DFC/856335d8-c9b9-11ed-b1d2-37030df7e872_TC355PT.MS11	dg.4DFC/856335d8-c9b9-11ed-b1d2-37030df7e872
TC355PT.MS11	GRCh37	WXS	Paired-End	Genomic	Random	Illumina	Illumina HiSeq 4000	genomic_info	dg.4DFC/85637c32-c9b9-11ed-8e75-bf31b49c2a14_TC355PT.MS11	dg.4DFC/85637c32-c9b9-11ed-8e75-bf31b49c2a14
TC372PT.MS11	GRCh37	WXS	Paired-End	Genomic	Random	Illumina	Illumina HiSeq 4000	genomic_info	dg.4DFC/8563c0fc-c9b9-11ed-b427-9b20e724ae99_TC372PT.MS11	dg.4DFC/8563c0fc-c9b9-11ed-b427-9b20e724ae99
TC372PT.MS11	GRCh37	WXS	Paired-End	Genomic	Random	Illumina	Illumina HiSeq 4000	genomic_info	dg.4DFC/856407ec-c9b9-11ed-be71-abfd3c2ab97a_TC372PT.MS11	dg.4DFC/856407ec-c9b9-11ed-be71-abfd3c2ab97a
TC372PT.MS11	GRCh37	WXS	Paired-End	Genomic	Random	Illumina	Illumina HiSeq 4000	genomic_info	dg.4DFC/85644cde-c9b9-11ed-b00f-4bdad29105bb_TC372PT.MS11	dg.4DFC/85644cde-c9b9-11ed-b00f-4bdad29105bb
TC372PT.MS11	GRCh37	WXS	Paired-End	Genomic	Random	Illumina	Illumina HiSeq 4000	genomic_info	dg.4DFC/85649586-c9b9-11ed-886d-5f7fe5a36374_TC372PT.MS11	dg.4DFC/85649586-c9b9-11ed-886d-5f7fe5a36374
TC375PT.MS11	GRCh37	WXS	Paired-End	Genomic	Random	Illumina	Illumina HiSeq 4000	genomic_info	dg.4DFC/8564da8c-c9b9-11ed-88cd-6f853458cfd7_TC375PT.MS11	dg.4DFC/8564da8c-c9b9-11ed-88cd-6f853458cfd7
