library_id	bases	number_of_reads	avg_read_length	coverage	reference_genome_assembly	design_description	library_strategy	library_layout	library_source	library_selection	platform	instrument_model	sequence_alignment_software	type	genomic_info_id	file.file_id
J221.Amplicon	150				Not specified in data		Amplicon	Paired-End	Genomic	PCR	Illumina	Illumina MiSeq		genomic_info	dg.4DFC/6c2ef13a-030a-403a-8f1a-6a5a514fce75_J221.Amplicon	dg.4DFC/6c2ef13a-030a-403a-8f1a-6a5a514fce75
J277.Amplicon	150				Not specified in data		Amplicon	Paired-End	Genomic	PCR	Illumina	Illumina MiSeq		genomic_info	dg.4DFC/c376eb3d-d7b7-459e-9ac5-ca09e23091f7_J277.Amplicon	dg.4DFC/c376eb3d-d7b7-459e-9ac5-ca09e23091f7
J300_SR.Amplicon	150				Not specified in data		Amplicon	Paired-End	Genomic	PCR	Illumina	Illumina MiSeq		genomic_info	dg.4DFC/235bc781-2aea-4960-85fb-1630ce0e7828_J300_SR.Amplicon	dg.4DFC/235bc781-2aea-4960-85fb-1630ce0e7828
J302.Amplicon	150				Not specified in data		Amplicon	Paired-End	Genomic	PCR	Illumina	Illumina MiSeq		genomic_info	dg.4DFC/a02aeb6d-6a1b-4456-af05-1082ded625db_J302.Amplicon	dg.4DFC/a02aeb6d-6a1b-4456-af05-1082ded625db
J341.Amplicon	150				Not specified in data		Amplicon	Paired-End	Genomic	PCR	Illumina	Illumina MiSeq		genomic_info	dg.4DFC/7ab00077-b920-4009-bbf5-0a072cc3b068_J341.Amplicon	dg.4DFC/7ab00077-b920-4009-bbf5-0a072cc3b068
J374.Amplicon	150				Not specified in data		Amplicon	Paired-End	Genomic	PCR	Illumina	Illumina MiSeq		genomic_info	dg.4DFC/82f07f67-671c-45d5-a485-aff7dcbcd5f5_J374.Amplicon	dg.4DFC/82f07f67-671c-45d5-a485-aff7dcbcd5f5
J397.Amplicon	150				Not specified in data		Amplicon	Paired-End	Genomic	PCR	Illumina	Illumina MiSeq		genomic_info	dg.4DFC/861809bd-3c8c-4d3f-a6e5-93f0992c9432_J397.Amplicon	dg.4DFC/861809bd-3c8c-4d3f-a6e5-93f0992c9432
SJAML040915_D1.WXS	160000000000	176105341	91	48.551213359999998	GRCh37	RNA and DNA library construction for RNA and whole-exome DNA sequencing was performed according to the manufacturer's instructions using the Illumina TruSeq RNA sample preparation V2 and Nextera rapid capture exome kits, respectively. Sequencing was completed on the Illumina HiSeq 2000 according to the manufacturer's instructions. :: PMID: 34939322	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2000	BWA-MEM	genomic_info	dg.4DFC/3f35fe9a-d250-440e-a7ed-abb9953a0a14_SJAML040915_D1.WXS	dg.4DFC/3f35fe9a-d250-440e-a7ed-abb9953a0a14
SJAML040915_G1.WXS	17637255576	196385146	89	5.3463854880000001	GRCh37	RNA and DNA library construction for RNA and whole-exome DNA sequencing was performed according to the manufacturer's instructions using the Illumina TruSeq RNA sample preparation V2 and Nextera rapid capture exome kits, respectively. Sequencing was completed on the Illumina HiSeq 2000 according to the manufacturer's instructions. :: PMID: 34939322	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2000	BWA-MEM	genomic_info	dg.4DFC/6b355584-1a5b-4c5f-ba6b-1d865b064229_SJAML040915_G1.WXS	dg.4DFC/6b355584-1a5b-4c5f-ba6b-1d865b064229
SJJMML259R.Amplicon	27238096	181597	149	547.93997179999997	GRCh37	Whole exome sequencing was performed utilizing the Illumina platform as described previously. In brief, DNA was fragmented by sonication (Covaris Inc., Woburn, MA) to 150 bp and further purified using Agencourt AMPure XP beads. Fifty ng of size-selected DNA was then ligated to specific adaptors during library preparation (Illumina TruSeq, Illumina Inc., San Diego, CA). Each library was made with sample-specific barcodes and quantified by quantitative PCR (Kapa Biosystems, Inc., Woburn, MA), and two libraries were pooled to a total of 500 ng for exome enrichment using the Agilent SureSelect hybrid capture kit (Whole Exome_v1.1; Agilent Technologies, Santa Clara, CA). Several captures were pooled further and sequenced in one or more lanes to a final equivalent of two exomes per lane on a HiSeq 2500 system (Illumina Inc., San Diego, CA). :: PMID: 26457647	Amplicon	Paired-End	Genomic	PCR	Illumina	Illumina MiSeq	CLC Genomic Workbench v7.5	genomic_info	dg.4DFC/4a50428e-a34c-48d3-a0c6-b7b03d0ec137_SJJMML259R.Amplicon	dg.4DFC/4a50428e-a34c-48d3-a0c6-b7b03d0ec137
