library_id	bases	number_of_reads	avg_read_length	coverage	reference_genome_assembly	design_description	library_layout	library_source	platform	instrument_model	type	genomic_info_id	file.file_id	library_strategy	library_selection
L200625W_G10	94000000000	607923094	132	33	GRCh37	750ng of gDNA was sheared to 500bp using Covaris LE220Plus; fragmented DNA was size selected using dsSPRI; libraries were generated using KapaHyper Prep Library Prep kit reagents for whole genome PCRfree sequencing.: WGS_PCRFree_KHP_LibraryPrep_CIDR_Protocol_v1	Paired-End	Genomic	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/c2ac3640-70cb-4738-86e1-112528f7d7f4_L200625W_G10	dg.4DFC/c2ac3640-70cb-4738-86e1-112528f7d7f4	Not specified in data	Not specified in data
L200625W_G10	94000000000	607923094	132	33	GRCh37	750ng of gDNA was sheared to 500bp using Covaris LE220Plus; fragmented DNA was size selected using dsSPRI; libraries were generated using KapaHyper Prep Library Prep kit reagents for whole genome PCRfree sequencing.: WGS_PCRFree_KHP_LibraryPrep_CIDR_Protocol_v1	Paired-End	Genomic	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/0c7eef6e-578b-4a2b-a8ee-0365b9ad0cb1_L200625W_G10	dg.4DFC/0c7eef6e-578b-4a2b-a8ee-0365b9ad0cb1	Not specified in data	Not specified in data
L200625W_H12	93600000000	774507586	132	45	GRCh37	750ng of gDNA was sheared to 500bp using Covaris LE220Plus; fragmented DNA was size selected using dsSPRI; libraries were generated using KapaHyper Prep Library Prep kit reagents for whole genome PCRfree sequencing.: WGS_PCRFree_KHP_LibraryPrep_CIDR_Protocol_v1	Paired-End	Genomic	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/8d9acbc8-cc37-4186-9cca-b13f8753a80b_L200625W_H12	dg.4DFC/8d9acbc8-cc37-4186-9cca-b13f8753a80b	Not specified in data	Not specified in data
L200625W_H12	93600000000	774507586	132	45	GRCh37	750ng of gDNA was sheared to 500bp using Covaris LE220Plus; fragmented DNA was size selected using dsSPRI; libraries were generated using KapaHyper Prep Library Prep kit reagents for whole genome PCRfree sequencing.: WGS_PCRFree_KHP_LibraryPrep_CIDR_Protocol_v1	Paired-End	Genomic	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/794e8f24-e59b-440c-8356-a751ebfcbdca_L200625W_H12	dg.4DFC/794e8f24-e59b-440c-8356-a751ebfcbdca	Not specified in data	Not specified in data
L200625W_H06	113000000000	718921562	132	41	GRCh37	750ng of gDNA was sheared to 500bp using Covaris LE220Plus; fragmented DNA was size selected using dsSPRI; libraries were generated using KapaHyper Prep Library Prep kit reagents for whole genome PCRfree sequencing.: WGS_PCRFree_KHP_LibraryPrep_CIDR_Protocol_v1	Paired-End	Genomic	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/a7fa3b1d-341f-492a-bdc4-9b93a54ac5ea_L200625W_H06	dg.4DFC/a7fa3b1d-341f-492a-bdc4-9b93a54ac5ea	Not specified in data	Not specified in data
L200625W_H06	113000000000	718921562	132	41	GRCh37	750ng of gDNA was sheared to 500bp using Covaris LE220Plus; fragmented DNA was size selected using dsSPRI; libraries were generated using KapaHyper Prep Library Prep kit reagents for whole genome PCRfree sequencing.: WGS_PCRFree_KHP_LibraryPrep_CIDR_Protocol_v1	Paired-End	Genomic	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/22748b0a-2f75-4571-9cef-626fb3dd6b9c_L200625W_H06	dg.4DFC/22748b0a-2f75-4571-9cef-626fb3dd6b9c	Not specified in data	Not specified in data
L200625W_D12	91600000000	590087620	132	32	GRCh37	750ng of gDNA was sheared to 500bp using Covaris LE220Plus; fragmented DNA was size selected using dsSPRI; libraries were generated using KapaHyper Prep Library Prep kit reagents for whole genome PCRfree sequencing.: WGS_PCRFree_KHP_LibraryPrep_CIDR_Protocol_v1	Paired-End	Genomic	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/8ab52122-bb57-4cd4-a63e-d83ae2335d45_L200625W_D12	dg.4DFC/8ab52122-bb57-4cd4-a63e-d83ae2335d45	Not specified in data	Not specified in data
L200625W_D12	91600000000	590087620	132	32	GRCh37	750ng of gDNA was sheared to 500bp using Covaris LE220Plus; fragmented DNA was size selected using dsSPRI; libraries were generated using KapaHyper Prep Library Prep kit reagents for whole genome PCRfree sequencing.: WGS_PCRFree_KHP_LibraryPrep_CIDR_Protocol_v1	Paired-End	Genomic	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/3235fa62-cde0-4539-ad35-f5e1597ba40d_L200625W_D12	dg.4DFC/3235fa62-cde0-4539-ad35-f5e1597ba40d	Not specified in data	Not specified in data
L200625W_H02	75400000000	576570744	132	31	GRCh37	750ng of gDNA was sheared to 500bp using Covaris LE220Plus; fragmented DNA was size selected using dsSPRI; libraries were generated using KapaHyper Prep Library Prep kit reagents for whole genome PCRfree sequencing.: WGS_PCRFree_KHP_LibraryPrep_CIDR_Protocol_v1	Paired-End	Genomic	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/22c15ad3-b3ed-41a8-8e77-25a7c8973ed0_L200625W_H02	dg.4DFC/22c15ad3-b3ed-41a8-8e77-25a7c8973ed0	Not specified in data	Not specified in data
L200625W_H02	75400000000	576570744	132	31	GRCh37	750ng of gDNA was sheared to 500bp using Covaris LE220Plus; fragmented DNA was size selected using dsSPRI; libraries were generated using KapaHyper Prep Library Prep kit reagents for whole genome PCRfree sequencing.: WGS_PCRFree_KHP_LibraryPrep_CIDR_Protocol_v1	Paired-End	Genomic	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/0d42399e-d191-4422-973a-0be2c514decb_L200625W_H02	dg.4DFC/0d42399e-d191-4422-973a-0be2c514decb	Not specified in data	Not specified in data
L200625W_H07	97800000000	736886206	132	42	GRCh37	750ng of gDNA was sheared to 500bp using Covaris LE220Plus; fragmented DNA was size selected using dsSPRI; libraries were generated using KapaHyper Prep Library Prep kit reagents for whole genome PCRfree sequencing.: WGS_PCRFree_KHP_LibraryPrep_CIDR_Protocol_v1	Paired-End	Genomic	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/4d98a9d2-f11b-432e-8334-95f167a8e061_L200625W_H07	dg.4DFC/4d98a9d2-f11b-432e-8334-95f167a8e061	Not specified in data	Not specified in data
L200625W_H07	97800000000	736886206	132	42	GRCh37	750ng of gDNA was sheared to 500bp using Covaris LE220Plus; fragmented DNA was size selected using dsSPRI; libraries were generated using KapaHyper Prep Library Prep kit reagents for whole genome PCRfree sequencing.: WGS_PCRFree_KHP_LibraryPrep_CIDR_Protocol_v1	Paired-End	Genomic	Illumina	Illumina NovaSeq 6000	genomic_info	dg.4DFC/c23c2e78-8f9f-4498-aa70-a40e3fde8a55_L200625W_H07	dg.4DFC/c23c2e78-8f9f-4498-aa70-a40e3fde8a55	Not specified in data	Not specified in data
