name,drs_uri,Study Code,Case ID,File Type,File Description,File Format,File Size,md5sum,File UUID,File Location,Patient ID,Case Name,Cohort,Cohort Dose,Cohort ID,Demographic ID,Breed,Additional Breed Detail,Age (years),Date of Birth,Sex,Weight (kg),Neutered Status,Diagnosis ID,Disease Term,Stage of Disease,Histology,Histology Date,Histological Grade,Best Response,Pathology Report,Treatment Data,Follow Up Data,Concurrent Disease,Concurrent Disease Type,Sample ID,Sample Site,Physical Sample Type,Sample Pathology,Tumor Sample Origin,Sample Type,Molecular Subtype,Pathology/Morphology,Date of Sample Collection,Sample Chronology,Necropsy Sample,Tumor Grade,Tumor Length,Tumor Width,Tumor Volume,Percentage Tumor,Sample Preservation
01-T-DOXRV-LN-A.RCC,drs://nci-crdc.datacommons.io/dg.4DFC/d839a545-ffc4-4b64-a4f1-b1ccb375ea0c,PRECINCT02,PRECINCT02-01-T-DOXRV,NanoString nCounter Canine IO Analysis File,NanoString RCC (tumor); timepoint: D0; Baseline N; title: 01-T-DOXRV-LN-A,RCC,29711,a06f2ffb2f3e3e4f02832f0252158ba4,d839a545-ffc4-4b64-a4f1-b1ccb375ea0c,,01-T-DOXRV,Brady,20/10 mg/kg anti-CD20 with 20/25 mg/m2 Doxorubicin and 10 mg/kg RV1001,"1E4-cIgGB: (20 mg/kg for the first dose, then 10 mg/kg) q3w x4/Doxorubicin: 20-25 mg/m2 IV q3w x4/RV1001: 7.5-15 mg/kg PO 4 days on/3 days off for 3 months",,,Pug,,11.6,2008-04-11,Male,10.3,Yes,,B Cell Lymphoma,Not Determined,"The samples are of excellent diagnostic quality, but unfortunately confirm lymphoma, large cell type, in the patient.",2019-11-19,,Complete Response,Yes,Yes,Yes,Unknown,Unknown,PRECINCT02-01-T-DOXRV-T,Lymph Node,Tissue,Malignant,Primary,Primary Malignant Tumor Tissue,,B Cell Lymphoma,2019-11-21,Before Treatment,No,High,,,,Not Determined,Snap Frozen
01-T-KPT-LN-D.RCC,drs://nci-crdc.datacommons.io/dg.4DFC/78c58696-f548-4740-9435-7e01775054d3,PRECINCT02,PRECINCT02-01-T-KPT9274,NanoString nCounter Canine IO Analysis File,NanoString RCC (tumor); timepoint: Relapse; Relapse N; title: 01-T-KPT-LN-D,RCC,29619,00f74c7d1234404b4e33af8d4b3a35d5,78c58696-f548-4740-9435-7e01775054d3,,01-T-KPT9274,Annie,1E4-cIgGB/Doxorubicin/KPT-9274,"1E4-cIgGB: 20 mg/kg for the first dose, then 10 mg/kg) q3w x4/ Doxorubicin: 20-25 mg/m2 IV q3w x4/KPT-9274: 4-4.5 mg/kg PO with doxorubicin",,,Mixed Breed,,7.8,2011-06-27,Female,10.4,Yes,,B Cell Lymphoma,Not Determined,Cellularity is high consisting predominantly of large immature lymphoid cells admixed with a few small lymphocytes.,2019-05-30,,Complete Response,Yes,Yes,Yes,Unknown,Unknown,PRECINCT02-01-T-KPT9274-T,Lymph Node,Tissue,Malignant,Primary,Primary Malignant Tumor Tissue,,B Cell Lymphoma,2019-04-04,Before Treatment,No,High,,,,Not Determined,Snap Frozen
01-T-KPT9274-LN-A.RCC,drs://nci-crdc.datacommons.io/dg.4DFC/9cc8f509-a3b6-4934-a1d5-5b9bb6a99dae,PRECINCT02,PRECINCT02-01-T-KPT9274,NanoString nCounter Canine IO Analysis File,NanoString RCC (tumor); timepoint: D0; Baseline N; title: 01-T-KPT9274-LN-A,RCC,29639,0d1a63b98287f2756e1df931bb85ca6d,9cc8f509-a3b6-4934-a1d5-5b9bb6a99dae,,01-T-KPT9274,Annie,1E4-cIgGB/Doxorubicin/KPT-9274,"1E4-cIgGB: 20 mg/kg for the first dose, then 10 mg/kg) q3w x4/ Doxorubicin: 20-25 mg/m2 IV q3w x4/KPT-9274: 4-4.5 mg/kg PO with doxorubicin",,,Mixed Breed,,7.8,2011-06-27,Female,10.4,Yes,,B Cell Lymphoma,Not Determined,Cellularity is high consisting predominantly of large immature lymphoid cells admixed with a few small lymphocytes.,2019-05-30,,Complete Response,Yes,Yes,Yes,Unknown,Unknown,PRECINCT02-01-T-KPT9274-T,Lymph Node,Tissue,Malignant,Primary,Primary Malignant Tumor Tissue,,B Cell Lymphoma,2019-04-04,Before Treatment,No,High,,,,Not Determined,Snap Frozen
01-T-TAK-LN-A.RCC,drs://nci-crdc.datacommons.io/dg.4DFC/f9c89b6a-690e-4165-952d-73bb53aefa5f,PRECINCT02,PRECINCT02-01-T-TAK981,NanoString nCounter Canine IO Analysis File,NanoString RCC (tumor); timepoint: D0; Baseline N; title: 01-T-TAK-LN-A,RCC,29720,ef439f9221f7ff499089f1884fd89b18,f9c89b6a-690e-4165-952d-73bb53aefa5f,,01-T-TAK981,Sofi,20/10 mg/kg anti-CD20 with 25 mg/m2 Doxorubicin and 2.5/3.0 mg/kg TAK981,"Doxorubicin: 20-25 mg/m2 IV once on Day 0/1E4-cIgGB (20 mg/kg for the first dose, then 10 mg/kg) q1w x4 starting on Day 7/TAK-981: 2.5-3 mg/kg IV q1w x4, starting on Day 7",,,German Shepherd Dog,,8.9,2010-10-08,Female,25.3,Yes,,B Cell Lymphoma,Not Determined,The cytomorphology of the neoplastic lymphoid population is consistent with large cell lymphoma.,2019-08-14,,Complete Response,Yes,Yes,Yes,Unknown,Unknown,PRECINCT02-01-T-TAK981-T,Lymph Node,Tissue,Malignant,Primary,Primary Malignant Tumor Tissue,,B Cell Lymphoma,2019-08-19,Before Treatment,No,High,,,,Not Determined,Snap Frozen
01-T-TAK-LN-D.RCC,drs://nci-crdc.datacommons.io/dg.4DFC/b909f099-ddac-4691-8607-13548f38a65e,PRECINCT02,PRECINCT02-01-T-TAK981,NanoString nCounter Canine IO Analysis File,NanoString RCC (tumor); timepoint: Relapse; Relapse N; title: 01-T-TAK-LN-D,RCC,29667,85d69eafcc706fd9df5558b4dafd1ed6,b909f099-ddac-4691-8607-13548f38a65e,,01-T-TAK981,Sofi,20/10 mg/kg anti-CD20 with 25 mg/m2 Doxorubicin and 2.5/3.0 mg/kg TAK981,"Doxorubicin: 20-25 mg/m2 IV once on Day 0/1E4-cIgGB (20 mg/kg for the first dose, then 10 mg/kg) q1w x4 starting on Day 7/TAK-981: 2.5-3 mg/kg IV q1w x4, starting on Day 7",,,German Shepherd Dog,,8.9,2010-10-08,Female,25.3,Yes,,B Cell Lymphoma,Not Determined,The cytomorphology of the neoplastic lymphoid population is consistent with large cell lymphoma.,2019-08-14,,Complete Response,Yes,Yes,Yes,Unknown,Unknown,PRECINCT02-01-T-TAK981-T,Lymph Node,Tissue,Malignant,Primary,Primary Malignant Tumor Tissue,,B Cell Lymphoma,2019-08-19,Before Treatment,No,High,,,,Not Determined,Snap Frozen
010015_0103_sorted.bam,drs://nci-crdc.datacommons.io/dg.4DFC/bf7ae08f-0afe-5aa5-969a-de9a17ac0f2f,NCATS-COP01,NCATS-COP01-CCB010015,RNA Sequence File,tumor sample binary alignment file: seq reads to canfam3.1,bam,17545870661.0,70ec6bee3d4e5bb9da4641c3fa7f8609,bf7ae08f-0afe-5aa5-969a-de9a17ac0f2f,s3://nci-cbiit-caninedatacommons-file/Final/NCATS/NCATS01/Bam-files/010015_0103_sorted.bam,CCB010015,,B Cell Lymphoma,,,,Mixed Breed,,12.0,,Male,38.0,Yes,NCATS-COP01-CCB010015,B Cell Lymphoma,III,,,,Not Determined,Yes,Yes,Yes,Unknown,,NCATS-COP01-CCB010015 0103,"Lymph Node, Popliteal",Tissue,Malignant,Primary,Primary Malignant Tumor Tissue,,B Cell Lymphoma,2007-07-13,Not Applicable,No,Unknown,2.0,2.0,,,Snap Frozen
010015_0103_sorted.bam.bai,drs://nci-crdc.datacommons.io/dg.4DFC/d442395a-c7ac-51f4-aa41-eac6ae3ca3bb,NCATS-COP01,NCATS-COP01-CCB010015,Index File,tumor sample binary alignment file indexing,bai,4328240.0,e311733a6c10cfec631f94701c0e7190,d442395a-c7ac-51f4-aa41-eac6ae3ca3bb,s3://nci-cbiit-caninedatacommons-file/Final/NCATS/NCATS01/Bam-files/010015_0103_sorted.bam.bai,CCB010015,,B Cell Lymphoma,,,,Mixed Breed,,12.0,,Male,38.0,Yes,NCATS-COP01-CCB010015,B Cell Lymphoma,III,,,,Not Determined,Yes,Yes,Yes,Unknown,,NCATS-COP01-CCB010015 0103,"Lymph Node, Popliteal",Tissue,Malignant,Primary,Primary Malignant Tumor Tissue,,B Cell Lymphoma,2007-07-13,Not Applicable,No,Unknown,2.0,2.0,,,Snap Frozen
010031_0103_sorted.bam,drs://nci-crdc.datacommons.io/dg.4DFC/4fd63b2c-40b8-5a33-9928-b754b5767a42,NCATS-COP01,NCATS-COP01-CCB010031,RNA Sequence File,tumor sample binary alignment file: seq reads to canfam3.1,bam,20280043810.0,b7c784ab28dfd3c15e6fc088212ac9fd,4fd63b2c-40b8-5a33-9928-b754b5767a42,s3://nci-cbiit-caninedatacommons-file/Final/NCATS/NCATS01/Bam-files/010031_0103_sorted.bam,CCB010031,,T Cell Lymphoma,,,,Mixed Breed,,8.0,,Male,31.0,Yes,NCATS-COP01-CCB010031,T Cell Lymphoma,III,,,,Not Determined,Yes,Yes,Yes,Unknown,,NCATS-COP01-CCB010031 0103,"Lymph Node, Popliteal",Tissue,Malignant,Primary,Primary Malignant Tumor Tissue,,T Cell Lymphoma,2007-10-01,Not Applicable,No,Unknown,3.0,3.0,,,Snap Frozen
010031_0103_sorted.bam.bai,drs://nci-crdc.datacommons.io/dg.4DFC/c0f8b789-2c60-590c-be58-e6729fcef59f,NCATS-COP01,NCATS-COP01-CCB010031,Index File,tumor sample binary alignment file indexing,bai,4486832.0,45444cbc744c817d7661875a0143f71d,c0f8b789-2c60-590c-be58-e6729fcef59f,s3://nci-cbiit-caninedatacommons-file/Final/NCATS/NCATS01/Bam-files/010031_0103_sorted.bam.bai,CCB010031,,T Cell Lymphoma,,,,Mixed Breed,,8.0,,Male,31.0,Yes,NCATS-COP01-CCB010031,T Cell Lymphoma,III,,,,Not Determined,Yes,Yes,Yes,Unknown,,NCATS-COP01-CCB010031 0103,"Lymph Node, Popliteal",Tissue,Malignant,Primary,Primary Malignant Tumor Tissue,,T Cell Lymphoma,2007-10-01,Not Applicable,No,Unknown,3.0,3.0,,,Snap Frozen
010031_0200_sorted.bam,drs://nci-crdc.datacommons.io/dg.4DFC/f9f74ebd-ae66-586b-a532-36b742a40d53,NCATS-COP01,NCATS-COP01-CCB010031,RNA Sequence File,normal sample binary alignment file: seq reads to canfam3.1,bam,20282632247.0,868fc50a9c10d55172862fb83f60eb4e,f9f74ebd-ae66-586b-a532-36b742a40d53,s3://nci-cbiit-caninedatacommons-file/Final/NCATS/NCATS01/Bam-files/010031_0200_sorted.bam,CCB010031,,T Cell Lymphoma,,,,Mixed Breed,,8.0,,Male,31.0,Yes,NCATS-COP01-CCB010031,T Cell Lymphoma,III,,,,Not Determined,Yes,Yes,Yes,Unknown,,NCATS-COP01-CCB010031 0200,Unknown,Tissue,Normal,Not Applicable,Normal Tissue,,Not Applicable,2007-10-01,Not Applicable,No,Not Applicable,3.0,3.0,,,Snap Frozen
