reference_genome_assembly	design_description	library_strategy	library_layout	library_source	type	genomic_info_id	file.file_id	platform	instrument_model	library_selection
GRCh38		WXS	Paired-end	GENOMIC	genomic_info	dg.4DFC/6c1ea762-fb35-11ed-876c-bba1d72e999c	dg.4DFC/6c1ea762-fb35-11ed-876c-bba1d72e999c	Not specified in data	Not specified in data	Not specified in data
GRCh38		WGS	Paired-end	GENOMIC	genomic_info	dg.4DFC/6c1f8920-fb35-11ed-b93c-03d6502f96bc	dg.4DFC/6c1f8920-fb35-11ed-b93c-03d6502f96bc	Not specified in data	Not specified in data	Not specified in data
GRCh38		WGS	Paired-end	GENOMIC	genomic_info	dg.4DFC/6c1fad60-fb35-11ed-9e94-b32c2a61f39c	dg.4DFC/6c1fad60-fb35-11ed-9e94-b32c2a61f39c	Not specified in data	Not specified in data	Not specified in data
GRCh38		WGS	Paired-end	GENOMIC	genomic_info	dg.4DFC/6c1fd16e-fb35-11ed-b240-fb7afc4a6ecd	dg.4DFC/6c1fd16e-fb35-11ed-b240-fb7afc4a6ecd	Not specified in data	Not specified in data	Not specified in data
GRCh38		WGS	Paired-end	GENOMIC	genomic_info	dg.4DFC/6c1ff446-fb35-11ed-a880-93667b48af85	dg.4DFC/6c1ff446-fb35-11ed-a880-93667b48af85	Not specified in data	Not specified in data	Not specified in data
GRCh38		WGS	Paired-end	GENOMIC	genomic_info	dg.4DFC/6c201b2e-fb35-11ed-8cfd-c7e7f65afcb5	dg.4DFC/6c201b2e-fb35-11ed-8cfd-c7e7f65afcb5	Not specified in data	Not specified in data	Not specified in data
GRCh38		WGS	Paired-end	GENOMIC	genomic_info	dg.4DFC/6c203e38-fb35-11ed-a153-375788470b04	dg.4DFC/6c203e38-fb35-11ed-a153-375788470b04	Not specified in data	Not specified in data	Not specified in data
GRCh38		WGS	Paired-end	GENOMIC	genomic_info	dg.4DFC/6c206516-fb35-11ed-bbc8-833d44d5815b	dg.4DFC/6c206516-fb35-11ed-bbc8-833d44d5815b	Not specified in data	Not specified in data	Not specified in data
GRCh38		WGS	Paired-end	GENOMIC	genomic_info	dg.4DFC/6c2086fe-fb35-11ed-9c73-43d21d86fe8e	dg.4DFC/6c2086fe-fb35-11ed-9c73-43d21d86fe8e	Not specified in data	Not specified in data	Not specified in data
GRCh38		WGS	Paired-end	GENOMIC	genomic_info	dg.4DFC/6c20a8b4-fb35-11ed-a6bc-9bdaa820caee	dg.4DFC/6c20a8b4-fb35-11ed-a6bc-9bdaa820caee	Not specified in data	Not specified in data	Not specified in data
GRCh38		WGS	Paired-end	GENOMIC	genomic_info	dg.4DFC/6c20ccd6-fb35-11ed-95db-7fbcced31656	dg.4DFC/6c20ccd6-fb35-11ed-95db-7fbcced31656	Not specified in data	Not specified in data	Not specified in data
GRCh38		WGS	Paired-end	GENOMIC	genomic_info	dg.4DFC/6c20ee82-fb35-11ed-9a55-e73131bb2911	dg.4DFC/6c20ee82-fb35-11ed-9a55-e73131bb2911	Not specified in data	Not specified in data	Not specified in data
GRCh38		WGS	Paired-end	GENOMIC	genomic_info	dg.4DFC/6c210ff2-fb35-11ed-85fe-87b78692bb82	dg.4DFC/6c210ff2-fb35-11ed-85fe-87b78692bb82	Not specified in data	Not specified in data	Not specified in data
GRCh38		WGS	Paired-end	GENOMIC	genomic_info	dg.4DFC/6c2132ac-fb35-11ed-8251-7ff2510141cd	dg.4DFC/6c2132ac-fb35-11ed-8251-7ff2510141cd	Not specified in data	Not specified in data	Not specified in data
GRCh38		WGS	Paired-end	GENOMIC	genomic_info	dg.4DFC/6c215836-fb35-11ed-b40f-8be2b25955cc	dg.4DFC/6c215836-fb35-11ed-b40f-8be2b25955cc	Not specified in data	Not specified in data	Not specified in data
