type	file_id	crdc_id	experimental_strategy_and_data_subtypes	experimental_strategy_and_data_subtypes_concept_code	file_description	file_mapping_level	file_mapping_level_concept_code	file_name	file_size	file_type	file_type_concept_code	file_url_in_cds	is_supplementary_file	md5sum	release_datetime	sample.sample_id	study.phs_accession	submission_version
file	dg.4DFC/00099ea6-67bd-42cc-b548-63018fa8d444	dg.4DFC/00099ea6-67bd-42cc-b548-63018fa8d444	DNA-Seq	C153598	ASCAT inferred sample aberrant cell fraction	Sample	C70699	6949-JMM-0071.aberrantcellfraction.txt	5	TXT	C85873	s3://cds-515-phs003163-pivot-chop/chphiladelphia/jax_lab_files/cnvarray/6949-JMM-0071.aberrantcellfraction.txt		391c15a67dc7838d0f584c924c81fd8c	2025-10-03T12:02:01Z	6949-JMM-0071.pdx.samp	phs003163	phs003163.v1.p1
file	dg.4DFC/0029b710-b0ae-4b51-aac4-eff24d195a81	dg.4DFC/0029b710-b0ae-4b51-aac4-eff24d195a81	DNA-Seq	C153598	Allele-Specific Piecewise Constant Fitting (ASPCF) corrected LogR ratio	Sample	C70699	6949-JMM-0043.LogR.PCFed.txt	9268835	TXT	C85873	s3://cds-515-phs003163-pivot-chop/chphiladelphia/jax_lab_files/cnvarray/6949-JMM-0043.LogR.PCFed.txt		d2bf3d4c953d7aeaa4be33e4f77cca7b	2025-10-03T12:02:01Z	6949-JMM-0043.pdx.samp	phs003163	phs003163.v1.p1
file	dg.4DFC/00474eea-4810-4565-aad7-a32d3416b4ad	dg.4DFC/00474eea-4810-4565-aad7-a32d3416b4ad	DNA-Seq	C153598	ASCAT inferred sample ploidy	Sample	C70699	6949-JMM-0066.ploidy.txt	17	TXT	C85873	s3://cds-515-phs003163-pivot-chop/chphiladelphia/jax_lab_files/cnvarray/6949-JMM-0066.ploidy.txt		10276d4602b0addf5c660f0aae4ecce8	2025-10-03T12:02:01Z	6949-JMM-0066.pdx.samp	phs003163	phs003163.v1.p1
file	dg.4DFC/006ba359-5032-4874-822d-a3951148d9f0	dg.4DFC/006ba359-5032-4874-822d-a3951148d9f0	DNA-Seq	C153598	Microsatellite instability (MSI) detection results from MSIsensor2. Sample is considered MSI-high if the percent of somatic sites is greater than 20 (https://github.com/niu-lab/msisensor2)	Sample	C70699	6949-JMM-0053_msisensor	61	TXT	C85873	s3://cds-515-phs003163-pivot-chop/chphiladelphia/jax_lab_files/wes/6949-JMM-0053/msi/6949-JMM-0053_msisensor		4bd6d080ca77014d233621fc304005d9	2025-10-03T12:02:01Z	6949-JMM-0053.pdx.samp	phs003163	phs003163.v1.p1
file	dg.4DFC/0085352e-c4c6-4a03-8550-61840efbd747	dg.4DFC/0085352e-c4c6-4a03-8550-61840efbd747	RNA-Seq	C124261	"Mouse BAM alignment file relative to the transcriptome. BAM derived from raw reads were quality and adapter with FastP, mouse and human reads were deconvolved with Xenome, and mouse reads were mapped with STAR to GRCm38 with ensembl v102 annotations"	Sample	C70699	6949-JMM-0081_mouse.transcript.sorted.bam	509561331	BAM	C153249	s3://cds-515-phs003163-pivot-chop/chphiladelphia/jax_lab_files/rnaseq/6949-JMM-0081_mouse/bam/6949-JMM-0081_mouse.transcript.sorted.bam		5f58bafea25e78b3b14f16ca86a757bd	2025-10-03T12:02:01Z	6949-JMM-0081.pdx.samp	phs003163	phs003163.v1.p1
file	dg.4DFC/008616ae-bcde-4b68-b96c-618ed7b411c1	dg.4DFC/008616ae-bcde-4b68-b96c-618ed7b411c1	RNA-Seq	C124261	Human sample read group used in mapping	Sample	C70699	6949-JMM-0104_human_read_group.txt	132	TXT	C85873	s3://cds-515-phs003163-pivot-chop/chphiladelphia/jax_lab_files/rnaseq/6949-JMM-0104_human/stats/6949-JMM-0104_human_read_group.txt		025e120d2feba433a4cff314ce1a7856	2025-10-03T12:02:01Z	6949-JMM-0104.pdx.samp	phs003163	phs003163.v1.p1
file	dg.4DFC/008d5a66-5e62-4f9b-9e01-656a0b2c9cc9	dg.4DFC/008d5a66-5e62-4f9b-9e01-656a0b2c9cc9	RNA-Seq	C124261	FastP quality and adapter trimming report	Sample	C70699	6949-JMM-0080_fastp_report.html	467575	HTML	C142380	s3://cds-515-phs003163-pivot-chop/chphiladelphia/jax_lab_files/rnaseq/6949-JMM-0080/stats/6949-JMM-0080_fastp_report.html		85c42eebd891738b375fe166ad6c906a	2025-10-03T12:02:01Z	6949-JMM-0080.pdx.samp	phs003163	phs003163.v1.p1
file	dg.4DFC/008dd00a-4f5d-4cac-b858-b29b9e02e5fc	dg.4DFC/008dd00a-4f5d-4cac-b858-b29b9e02e5fc	DNA-Seq	C153598	Python filtering script metrics	Sample	C70699	6949-JMM-0043_R1.fastq.gz_6949-JMM-0043_R2.fastq.gz_stat	499	TXT	C85873	s3://cds-515-phs003163-pivot-chop/chphiladelphia/jax_lab_files/wes/6949-JMM-0043/stats/6949-JMM-0043_R1.fastq.gz_6949-JMM-0043_R2.fastq.gz_stat		3d489248a028b8f90ac5c6faeb77f324	2025-10-03T12:02:01Z	6949-JMM-0043.pdx.samp	phs003163	phs003163.v1.p1
file	dg.4DFC/00a6e9d9-bc9e-4552-a686-b09e06d25b53	dg.4DFC/00a6e9d9-bc9e-4552-a686-b09e06d25b53	DNA-Seq	C153598	"Human deconvovled reads: read 2. Raw reads were quality trimmed with a custom python script, and then mouse and human reads were deconvolved with Xenome"	Sample	C70699	6949-JMM-0052_sorted_human_2.fastq.gz	9579379289	FASTQ	C172212	s3://cds-515-phs003163-pivot-chop/chphiladelphia/jax_lab_files/wes/6949-JMM-0052/processed_reads/6949-JMM-0052_sorted_human_2.fastq.gz		f4f9e68353436424602fff7434ce2508	2025-10-03T12:02:01Z	6949-JMM-0052.pdx.samp	phs003163	phs003163.v1.p1
file	dg.4DFC/00ac01d2-140e-4b3f-b60e-675c53294a49	dg.4DFC/00ac01d2-140e-4b3f-b60e-675c53294a49	DNA-Seq	C153598	On target percentage and coverage uniformity metrics. Calculations per: https://sfvideo.blob.core.windows.net/sitefinity/docs/default-source/application-note/primerclip-a-tool-for-trimming-primer-sequences-application-note.pdf?sfvrsn=cf83e107_14	Sample	C70699	6949-JMM-0047_FP_amplicon_coverage_metrics.txt	54	TXT	C85873	s3://cds-515-phs003163-pivot-chop/chphiladelphia/jax_lab_files/amplicon/6949-JMM-0047_FP/stats/6949-JMM-0047_FP_amplicon_coverage_metrics.txt		cd26994d66b8f230f3be0713030ade9e	2025-10-03T12:02:01Z	6949-JMM-0047_FP.pdx.samp	phs003163	phs003163.v1.p1
