type	pdx_id	implantation_site	implantation_type	implantation_type_concept_code	model_id	mouse_strain	sample.sample_id	sample_type_for_implantation	study.phs_accession
pdx	6949-JMM-0037.pdx	subcutaneous	Injection|Surgical	C149592|C201922	Brooke-PDX	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0037	Not Reported	phs003163
pdx	6949-JMM-0037_FP.pdx	subcutaneous	Injection|Surgical	C149592|C201922	Brooke-PDX	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0037_FP	Not Reported	phs003163
pdx	6949-JMM-0038.pdx	subcutaneous	Injection|Surgical	C149592|C201922	NP012x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0038	Not Reported	phs003163
pdx	6949-JMM-0038_FP.pdx	subcutaneous	Injection|Surgical	C149592|C201922	NP012x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0038_FP	Not Reported	phs003163
pdx	6949-JMM-0039.pdx	subcutaneous	Injection|Surgical	C149592|C201922	NP015x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0039	Not Reported	phs003163
pdx	6949-JMM-0039_FP.pdx	subcutaneous	Injection|Surgical	C149592|C201922	NP015x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0039_FP	Not Reported	phs003163
pdx	6949-JMM-0040.pdx	subcutaneous	Injection|Surgical	C149592|C201922	NP016x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0040	Not Reported	phs003163
pdx	6949-JMM-0040_FP.pdx	subcutaneous	Injection|Surgical	C149592|C201922	NP016x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0040_FP	Not Reported	phs003163
pdx	6949-JMM-0041.pdx	subcutaneous	Injection|Surgical	C149592|C201922	NP017x_RH07-1x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0041	Not Reported	phs003163
pdx	6949-JMM-0041_FP.pdx	subcutaneous	Injection|Surgical	C149592|C201922	NP017x_RH07-1x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0041_FP	Not Reported	phs003163
