type	genomic_info_id	design_description	file.file_id	instrument_model	library_id	library_layout	library_layout_concept_code	library_selection	library_selection_concept_code	library_source_material	library_source_material_concept_code	library_source_molecule	library_source_molecule_concept_code	library_strategy	library_strategy_concept_code	number_of_reads	platform	platform_concept_code	reference_genome_assembly	reporter_label
genomic_info	dg.4DFC/006ba359-5032-4874-822d-a3951148d9f0_HALB3024934_genomicInfo	IDT xGen Exome v2 hyb panel	dg.4DFC/006ba359-5032-4874-822d-a3951148d9f0	Illumina NovaSeq	HALB3024934	Paired-End	C150423	Hybrid Selection	Not specified in data	Bulk Tissue	C178225	Genomic DNA	C95940	WXS	C101295		Illumina	C146817	Not specified in data	
genomic_info	dg.4DFC/0085352e-c4c6-4a03-8550-61840efbd747_HALB3016732_genomicInfo	Takara SMARTer Stranded Total RNAseq v2 Low Input	dg.4DFC/0085352e-c4c6-4a03-8550-61840efbd747	Illumina NovaSeq	HALB3016732	Paired-End	C150423	rRNA Depletion	C163990	Bulk Tissue	C178225	Transcriptome	C153194	Bulk RNA-Seq	C219552		Illumina	C146817	Not specified in data	
genomic_info	dg.4DFC/008616ae-bcde-4b68-b96c-618ed7b411c1_HALB3016755_genomicInfo	Takara SMARTer Stranded Total RNAseq v2 Low Input	dg.4DFC/008616ae-bcde-4b68-b96c-618ed7b411c1	Illumina NovaSeq	HALB3016755	Paired-End	C150423	rRNA Depletion	C163990	Bulk Tissue	C178225	Transcriptome	C153194	Bulk RNA-Seq	C219552		Illumina	C146817	Not specified in data	
genomic_info	dg.4DFC/008d5a66-5e62-4f9b-9e01-656a0b2c9cc9_HALB3016731_genomicInfo	Takara SMARTer Stranded Total RNAseq v2 Low Input	dg.4DFC/008d5a66-5e62-4f9b-9e01-656a0b2c9cc9	Illumina NovaSeq	HALB3016731	Paired-End	C150423	rRNA Depletion	C163990	Bulk Tissue	C178225	Transcriptome	C153194	Bulk RNA-Seq	C219552		Illumina	C146817	Not specified in data	
genomic_info	dg.4DFC/008dd00a-4f5d-4cac-b858-b29b9e02e5fc_HALB3024924_genomicInfo	IDT xGen Exome v2 hyb panel	dg.4DFC/008dd00a-4f5d-4cac-b858-b29b9e02e5fc	Illumina NovaSeq	HALB3024924	Paired-End	C150423	Hybrid Selection	Not specified in data	Bulk Tissue	C178225	Genomic DNA	C95940	WXS	C101295		Illumina	C146817	Not specified in data	
genomic_info	dg.4DFC/00a6e9d9-bc9e-4552-a686-b09e06d25b53_HALB3024933_genomicInfo	IDT xGen Exome v2 hyb panel	dg.4DFC/00a6e9d9-bc9e-4552-a686-b09e06d25b53	Illumina NovaSeq	HALB3024933	Paired-End	C150423	Hybrid Selection	Not specified in data	Bulk Tissue	C178225	Genomic DNA	C95940	WXS	C101295	198451816	Illumina	C146817	Not specified in data	
genomic_info	dg.4DFC/00ac01d2-140e-4b3f-b60e-675c53294a49_HALB3023505_genomicInfo	xGen(TM) Sample Identification (ID) Amplicon Panel	dg.4DFC/00ac01d2-140e-4b3f-b60e-675c53294a49	Illumina NovaSeq	HALB3023505	Paired-End	C150423	Hybrid Selection	Not specified in data	Bulk Tissue	C178225	Genomic DNA	C95940	AMPLICON	C204813		Illumina	C146817	Not specified in data	
genomic_info	dg.4DFC/00b5ce11-94e7-4196-a314-9f2ba1e4164b_HALB3024918_genomicInfo	IDT xGen Exome v2 hyb panel	dg.4DFC/00b5ce11-94e7-4196-a314-9f2ba1e4164b	Illumina NovaSeq	HALB3024918	Paired-End	C150423	Hybrid Selection	Not specified in data	Bulk Tissue	C178225	Genomic DNA	C95940	WXS	C101295		Illumina	C146817	Not specified in data	
genomic_info	dg.4DFC/00b5ce11-94e7-4196-a314-9f2ba1e4164b_HALB3024919_genomicInfo	IDT xGen Exome v2 hyb panel	dg.4DFC/00b5ce11-94e7-4196-a314-9f2ba1e4164b	Illumina NovaSeq	HALB3024919	Paired-End	C150423	Hybrid Selection	Not specified in data	Bulk Tissue	C178225	Genomic DNA	C95940	WXS	C101295		Illumina	C146817	Not specified in data	
genomic_info	dg.4DFC/00b5ce11-94e7-4196-a314-9f2ba1e4164b_HALB3024920_genomicInfo	IDT xGen Exome v2 hyb panel	dg.4DFC/00b5ce11-94e7-4196-a314-9f2ba1e4164b	Illumina NovaSeq	HALB3024920	Paired-End	C150423	Hybrid Selection	Not specified in data	Bulk Tissue	C178225	Genomic DNA	C95940	WXS	C101295		Illumina	C146817	Not specified in data	
