type	clinical_measure_file_id	file_name	data_category	file_type	file_description	file_size	md5sum	file_mapping_level	file_access	acl	authz	file_url	dcf_indexd_guid	checksum_algorithm	checksum_value	participant_list	crdc_id	id	study.id	participant.id
clinical_measure_file	H211859_10000iters_1000burnin_bestClusterInfo.txt	H211859_10000iters_1000burnin_bestClusterInfo.txt	Simple Nucleotide Variation	txt	File containing the cluster information from clonality analysis by Dpclust	3124	d90bbe8e4e42a144ad5e9b245c878f3b	Participant	Controlled	['phs003111.c1']	['/programs/phs003111.c1']	s3://cds-327-phs003111-mskcc/remapping/H211859_10000iters_1000burnin_bestClusterInfo.txt	dg.4DFC/17996d8e-9579-4249-b7d1-2dddd61d313f					9f73be31-7e99-5fab-83d0-7f17853ae6f9		efe0bcd9-c849-51de-8aa1-a0f5430853e0
clinical_measure_file	H211859_10000iters_1000burnin_bestConsensusAssignments.bed	H211859_10000iters_1000burnin_bestConsensusAssignments.bed	Simple Nucleotide Variation	txt	File containing the mutation assignment information from clonality analysis by Dpclust	419892	6067d77b4718a7728d7fb661b7503651	Participant	Controlled	['phs003111.c1']	['/programs/phs003111.c1']	s3://cds-327-phs003111-mskcc/remapping/H211859_10000iters_1000burnin_bestConsensusAssignments.bed	dg.4DFC/760bca51-b194-48ed-b1ef-637cefa2af89					50db3ae0-09ef-5c33-b133-bdd72bcf93af		efe0bcd9-c849-51de-8aa1-a0f5430853e0
clinical_measure_file	H211868_10000iters_1000burnin_bestClusterInfo.txt	H211868_10000iters_1000burnin_bestClusterInfo.txt	Simple Nucleotide Variation	txt	File containing the cluster information from clonality analysis by Dpclust	509	3a31c69331161d679b21b268149bceac	Participant	Controlled	['phs003111.c1']	['/programs/phs003111.c1']	s3://cds-327-phs003111-mskcc/remapping/H211868_10000iters_1000burnin_bestClusterInfo.txt	dg.4DFC/9b8b9dd1-d56e-4582-8463-d949d70c797d					83fe6230-72ff-5c41-bba8-f99a9677c76b		76190486-f178-52c9-9fb6-164a113f6a1e
clinical_measure_file	H211868_10000iters_1000burnin_bestConsensusAssignments.bed	H211868_10000iters_1000burnin_bestConsensusAssignments.bed	Simple Nucleotide Variation	txt	File containing the mutation assignment information from clonality analysis by Dpclust	333737	219218b5717cba83bb5990854a028a5e	Participant	Controlled	['phs003111.c1']	['/programs/phs003111.c1']	s3://cds-327-phs003111-mskcc/remapping/H211868_10000iters_1000burnin_bestConsensusAssignments.bed	dg.4DFC/eb20f9c1-23c5-444e-83e7-76c2d285d3d5					85b5d090-c02a-55a3-8a72-bf3877e0eaac		76190486-f178-52c9-9fb6-164a113f6a1e
clinical_measure_file	H211869_10000iters_1000burnin_bestClusterInfo.txt	H211869_10000iters_1000burnin_bestClusterInfo.txt	Simple Nucleotide Variation	txt	File containing the cluster information from clonality analysis by Dpclust	549	248666ca8ce21e515792cb993c2856bd	Participant	Controlled	['phs003111.c1']	['/programs/phs003111.c1']	s3://cds-327-phs003111-mskcc/remapping/H211869_10000iters_1000burnin_bestClusterInfo.txt	dg.4DFC/19187383-4e90-4b41-9647-de28ce86da3d					3c0d4562-040b-5a7f-9ead-1b1ce0807aad		4a463f7e-2f30-52ce-8bf4-4982359ef88b
clinical_measure_file	H211869_10000iters_1000burnin_bestConsensusAssignments.bed	H211869_10000iters_1000burnin_bestConsensusAssignments.bed	Simple Nucleotide Variation	txt	File containing the mutation assignment information from clonality analysis by Dpclust	397146	6feb2aaff797308507c991f7b94af1a1	Participant	Controlled	['phs003111.c1']	['/programs/phs003111.c1']	s3://cds-327-phs003111-mskcc/remapping/H211869_10000iters_1000burnin_bestConsensusAssignments.bed	dg.4DFC/54a21fbd-5537-41d4-bda7-8bc504de5800					8a748514-8f49-56dc-8840-0752ccc94e77		4a463f7e-2f30-52ce-8bf4-4982359ef88b
clinical_measure_file	H211870_10000iters_1000burnin_bestClusterInfo.txt	H211870_10000iters_1000burnin_bestClusterInfo.txt	Simple Nucleotide Variation	txt	File containing the cluster information from clonality analysis by Dpclust	488	55e06d0f384768da56663065fc6c1a4d	Participant	Controlled	['phs003111.c1']	['/programs/phs003111.c1']	s3://cds-327-phs003111-mskcc/remapping/H211870_10000iters_1000burnin_bestClusterInfo.txt	dg.4DFC/f5db47e9-fee7-4bf9-ac73-f500c43cc976					6c212cee-47d2-589b-beea-15a5fdf205fd		c8bbc93d-97f3-5c02-bf70-5a13711c9c20
clinical_measure_file	H211870_10000iters_1000burnin_bestConsensusAssignments.bed	H211870_10000iters_1000burnin_bestConsensusAssignments.bed	Simple Nucleotide Variation	txt	File containing the mutation assignment information from clonality analysis by Dpclust	179755	6bae532daa5e1c8faa20235273c0d56b	Participant	Controlled	['phs003111.c1']	['/programs/phs003111.c1']	s3://cds-327-phs003111-mskcc/remapping/H211870_10000iters_1000burnin_bestConsensusAssignments.bed	dg.4DFC/e3365014-4537-498b-977f-be92b8407e2e					ae7adcdb-8eaa-5189-9965-a2f0e0107077		c8bbc93d-97f3-5c02-bf70-5a13711c9c20
clinical_measure_file	H211871_10000iters_1000burnin_bestClusterInfo.txt	H211871_10000iters_1000burnin_bestClusterInfo.txt	Simple Nucleotide Variation	txt	File containing the cluster information from clonality analysis by Dpclust	719	b1ffe4a98bc0854cea2904b52970201f	Participant	Controlled	['phs003111.c1']	['/programs/phs003111.c1']	s3://cds-327-phs003111-mskcc/remapping/H211871_10000iters_1000burnin_bestClusterInfo.txt	dg.4DFC/e8cfaf60-7961-44cc-abc4-d449ed73e4ae					1e3e06da-cf79-5e07-aac2-0dc1653daf88		c37faf75-c148-5c88-8e6c-4ba8d8c4a45c
clinical_measure_file	H211871_10000iters_1000burnin_bestConsensusAssignments.bed	H211871_10000iters_1000burnin_bestConsensusAssignments.bed	Simple Nucleotide Variation	txt	File containing the mutation assignment information from clonality analysis by Dpclust	90343	7092c0a84b590ddf9f9dd1aedf2c0267	Participant	Controlled	['phs003111.c1']	['/programs/phs003111.c1']	s3://cds-327-phs003111-mskcc/remapping/H211871_10000iters_1000burnin_bestConsensusAssignments.bed	dg.4DFC/b9c5de97-05d9-481a-a54a-1f13b469c3e7					86c54cf5-618e-5695-a01b-9f82f9af55c1		c37faf75-c148-5c88-8e6c-4ba8d8c4a45c
