id	sample.id	implantation_site	implantation_type	is_tumor_from_untreated_patient	model_id	mouse_strain	passage_number	passages_tested	pdx_id	sample_type_for_implantation	tumor_confirmed_not_to_be_mus_or_ebv_origin	updated	validation_technique	type	study
phs002430::454-22	phs002430::454-21	subcutaneous	injection	Not Reported	OS454	NSG			454-22	Not Reported		2024-05-23T14:50:31.599000000+00:00		pdx	phs002430
phs002430::624-8x0	phs002430::624-3	subcutaneous	injection	Not Reported	EWS624	NSG			624-8x0	Not Reported		2024-05-23T14:50:31.612000000+00:00		pdx	phs002430
phs002430::640-8	phs002430::640-3	subcutaneous	injection	Not Reported	FPRMS640	NSG			640-8	Not Reported		2024-05-23T14:50:31.614000000+00:00		pdx	phs002430
phs002430::701-8	phs002430::701-3	subcutaneous	injection	Not Reported	FPRMS701	NSG			701-8	Not Reported		2024-05-23T14:50:31.617000000+00:00		pdx	phs002430
phs002430::766-9	phs002430::766-1	subcutaneous	injection	Not Reported	OS766	NSG			766-9	Not Reported		2024-05-23T14:50:31.624000000+00:00		pdx	phs002430
phs002430::EWS799	phs002430::799-1	subcutaneous	injection	Not Reported	EWS799	NSG			EWS799	Not Reported		2024-05-23T14:50:31.638000000+00:00		pdx	phs002430
phs002430::NRSTS600	phs002430::600-1	subcutaneous	injection	Not Reported	NRSTS600	NSG			NRSTS600	Not Reported		2024-05-23T14:50:31.611000000+00:00		pdx	phs002430
phs002430::OS708	phs002430::708-10	subcutaneous	injection	Not Reported	OS708	NSG			OS708	Not Reported		2024-05-23T14:50:31.619000000+00:00		pdx	phs002430
phs002430::OS742	phs002430::742-4	subcutaneous	injection	Not Reported	OS742	NSG			OS742	Not Reported		2024-05-23T14:50:31.621000000+00:00		pdx	phs002430
phs002430::OS774	phs002430::774-3	subcutaneous	injection	Not Reported	OS774	NSG			OS774	Not Reported		2024-05-23T14:50:31.634000000+00:00		pdx	phs002430
phs002430::OS833	phs002430::833-2_2	subcutaneous	injection	Not Reported	OS833	NSG			OS833	Not Reported		2024-05-23T14:50:31.642000000+00:00		pdx	phs002430
phs002430::PSS008	phs002430::052-10	subcutaneous	injection	Not Reported	OS052	NSG			PSS008	Not Reported		2024-05-23T14:50:31.563000000+00:00		pdx	phs002430
phs002430::PSS018	phs002430::128-3	subcutaneous	injection	Not Reported	OS128	NSG			PSS018	Not Reported		2024-05-23T14:50:31.569000000+00:00		pdx	phs002430
phs002430::PSS050	phs002430::525-0	subcutaneous	injection	Not Reported	OS525	NSG			PSS050	Not Reported		2024-05-23T14:50:31.605000000+00:00		pdx	phs002430
phs002430::PSS077	phs002430::106-5	subcutaneous	injection	Not Reported	OS106	NSG			PSS077	Not Reported		2024-05-23T14:50:31.565000000+00:00		pdx	phs002430
phs002430::PSS078	phs002430::107-7	subcutaneous	injection	Not Reported	OS107	NSG			PSS078	Not Reported		2024-05-23T14:50:31.566000000+00:00		pdx	phs002430
phs002430::PSS085_1	phs002430::152-5	subcutaneous	injection	Not Reported	OS152	NSG			PSS085_1	Not Reported		2024-05-23T14:50:31.572000000+00:00		pdx	phs002430
phs002430::PSS085_2	phs002430::PSS085	subcutaneous	injection	Not Reported	OS152	NSG			PSS085_2	Not Reported		2024-05-23T14:50:31.644000000+00:00		pdx	phs002430
phs002430::PSS089	phs002430::186-7	subcutaneous	injection	Not Reported	OS186	NSG			PSS089	Not Reported		2024-05-23T14:50:31.574000000+00:00		pdx	phs002430
phs002430::PSS091A	phs002430::337-0	subcutaneous	injection	Not Reported	OS337	NSG			PSS091A	Not Reported		2024-05-23T14:50:31.583000000+00:00		pdx	phs002430
phs002430::PSS112	phs002430::526-0	subcutaneous	injection	Not Reported	OS526	NSG			PSS112	Not Reported		2024-05-23T14:50:31.606000000+00:00		pdx	phs002430
phs002430::PSS113	phs002430::301-4	subcutaneous	injection	Not Reported	OS301	NSG			PSS113	Not Reported		2024-05-23T14:50:31.579000000+00:00		pdx	phs002430
phs002430::PSS119	phs002430::661-5	subcutaneous	injection	Not Reported	OS661	NSG			PSS119	Not Reported		2024-05-23T14:50:31.616000000+00:00		pdx	phs002430
phs002430::PSS121	phs002430::322-1	subcutaneous	injection	Not Reported	NRSTS322	NSG			PSS121	Not Reported		2024-05-23T14:50:31.581000000+00:00		pdx	phs002430
phs002430::PSS126M	phs002430::357-13	subcutaneous	injection	Not Reported	OS357	NSG			PSS126M	Not Reported		2024-05-23T14:50:31.584000000+00:00		pdx	phs002430
phs002430::PSS131	phs002430::384-3	subcutaneous	injection	Not Reported	OS384D	NSG			PSS131	Not Reported		2024-05-23T14:50:31.593000000+00:00		pdx	phs002430
phs002430::PSS131R	phs002430::384-9	subcutaneous	injection	Not Reported	OS384R	NSG			PSS131R	Not Reported		2024-05-23T14:50:31.595000000+00:00		pdx	phs002430
phs002430::PSS132	phs002430::390-3	subcutaneous	injection	Not Reported	EWS390	NSG			PSS132	Not Reported		2024-05-23T14:50:31.598000000+00:00		pdx	phs002430
phs002430::PSS140Q	phs002430::010-19	subcutaneous	injection	Not Reported	NRSTS010	NSG			PSS140Q	Not Reported		2024-05-23T14:50:31.526000000+00:00		pdx	phs002430
phs002430::PSS141	phs002430::457-1	subcutaneous	injection	Not Reported	OS457	NSG			PSS141	Not Reported		2024-05-23T14:50:31.603000000+00:00		pdx	phs002430
phs002430::PSS142	phs002430::456-4	subcutaneous	injection	Not Reported	EMRS456	NSG			PSS142	Not Reported		2024-05-23T14:50:31.601000000+00:00		pdx	phs002430
phs002430::PSS157	phs002430::560-8	subcutaneous	injection	Not Reported	OS560	NSG			PSS157	Not Reported		2024-05-23T14:50:31.608000000+00:00		pdx	phs002430
phs002430::PSS159	phs002430::563-1	subcutaneous	injection	Not Reported	EWS563	NSG			PSS159	Not Reported		2024-05-23T14:50:31.609000000+00:00		pdx	phs002430
