type	file_name	uuid	file_size	md5sum	file_status	file_location	file_format	sample.sample_id	file_type	file_description
file	1771_recal_reads.bai	995c3b12-1986-5860-af83-ffbfcaee687a	6193232	09ed1edc79ec99b73833b08833ee401f	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/TCL01/1771_recal_reads.bai	bai	TCL01-17-71	Index File	"tumor cell line sample, TCL01-17-71: bam index of WES reads"
file	1771_recal_reads.bam	c9415dfa-28b8-567e-8a7b-e38afb6acdd1	15575029136	8bafe042b0763e32b45ba2c0b9b080fe	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/TCL01/1771_recal_reads.bam	bam	TCL01-17-71	Whole Exome Sequence File	"tumor cell line sample, TCL01-17-71: WES reads to CanFam3.1"
file	17CM98_recal_reads.bai	815de762-4d45-525c-b5f6-9d4ee106caaf	6154544	9c3b9c02db8d16dc0796e77ec36c802b	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/TCL01/17CM98_recal_reads.bai	bai	TCL01-17CM98	Index File	"tumor cell line sample, TCL01-17CM98: bam index of WES reads"
file	17CM98_recal_reads.bam	d7244854-68ce-532e-94ac-81aa044be545	15935376497	c480c22d6eb7560b1e406767fc7069bb	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/TCL01/17CM98_recal_reads.bam	bam	TCL01-17CM98	Whole Exome Sequence File	"tumor cell line sample, TCL01-17CM98: WES reads to CanFam3.1"
file	ABRAMS_recal_reads.bai	ab294a57-442f-5e67-9aed-06a960637063	6129784	7eaac5b155f96e16af9545e456244e29	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/TCL01/ABRAMS_recal_reads.bai	bai	TCL01-Abrams	Index File	"tumor cell line sample, TCL01-Abrams: bam index of WES reads"
file	ABRAMS_recal_reads.bam	8288b2f3-a868-570b-8352-a708c023af76	14521128290	679600426205d8a7bf5e98cf26a4e6b1	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/TCL01/ABRAMS_recal_reads.bam	bam	TCL01-Abrams	Whole Exome Sequence File	"tumor cell line sample, TCL01-Abrams: WES reads to CanFam3.1"
file	ANGUS_recal_reads.bai	f96dbf04-4ee3-59f0-b789-fbfbc8a14a78	6007608	cd8d7f8babd7c827acf63809c6000b83	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/TCL01/ANGUS_recal_reads.bai	bai	TCL01-Angus	Index File	"tumor cell line sample, TCL01-Angus: bam index of WES reads"
file	ANGUS_recal_reads.bam	f1fb0634-2c16-5f09-b701-70b01d6a69a9	12309776649	a91d206c8d7612143f350d03f559a717	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/TCL01/ANGUS_recal_reads.bam	bam	TCL01-Angus	Whole Exome Sequence File	"tumor cell line sample, TCL01-Angus: WES reads to CanFam3.1"
file	BLILEY_recal_reads.bai	d6707c1c-b3b2-563b-8740-7a10d247ff8d	6190512	083f20373c0274ce6908276abb980360	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/TCL01/BLILEY_recal_reads.bai	bai	TCL01-Bliley	Index File	"tumor cell line sample, TCL01-Bliley: bam index of WES reads"
file	BLILEY_recal_reads.bam	82df8f79-37d5-5061-bd09-30a8866afcdc	12379230451	eb7fb184c629ef4a7cbd1062c39adefe	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/TCL01/BLILEY_recal_reads.bam	bam	TCL01-Bliley	Whole Exome Sequence File	"tumor cell line sample, TCL01-Bliley: WES reads to CanFam3.1"
