library_id	bases	number_of_reads	avg_read_length	coverage	reference_genome_assembly	design_description	library_strategy	library_layout	library_source	library_selection	platform	instrument_model	sequence_alignment_software	type	genomic_info_id	file.file_id
SI_7985	14434112884	149819980	99.987077999999997	152.97399902343801	GRCh38	DNA-Agilent SureSelect Exome V4	WXS	Paired-end	Genomic	Hybrid Selection	ILLUMINA	Illumina HiSeq 2500	Sentieon Genomics Software	genomic_info	dg.4DFC/8a02525a-dfa7-11ed-b751-83944d0bee48_SI_7985	dg.4DFC/8a02525a-dfa7-11ed-b751-83944d0bee48
SI_7985					GRCh38	DNA-Agilent SureSelect Exome V4	WXS	Paired-end	Genomic	Hybrid Selection	ILLUMINA	Illumina HiSeq 2500	Sentieon Genomics Software	genomic_info	dg.4DFC/8a028c52-dfa7-11ed-bd1c-5bb7e2b425ed_SI_7985	dg.4DFC/8a028c52-dfa7-11ed-bd1c-5bb7e2b425ed
SI_8376	529048119	4434228	124.963273	657.32000732421898	GRCh38	DNA-Roche Onco1500 v2 Library,140126_UM_CLIA_EZ_HX1	Targeted-Capture	Paired-end	Genomic	Hybrid Selection	ILLUMINA	Illumina HiSeq 2500	Sentieon Genomics Software	genomic_info	dg.4DFC/8a257b22-dfa7-11ed-916c-7f9ed43d0680_SI_8376	dg.4DFC/8a257b22-dfa7-11ed-916c-7f9ed43d0680
SI_8376					GRCh38	DNA-Roche Onco1500 v2 Library,140126_UM_CLIA_EZ_HX1	Targeted-Capture	Paired-end	Genomic	Hybrid Selection	ILLUMINA	Illumina HiSeq 2500	Sentieon Genomics Software	genomic_info	dg.4DFC/8a25b7b8-dfa7-11ed-87ec-8b9d009c77af_SI_8376	dg.4DFC/8a25b7b8-dfa7-11ed-87ec-8b9d009c77af
SI_8376	7890827304	82307608	99.990392	657.32000732421898	GRCh38	DNA-Roche Onco1500 v2 Library,140126_UM_CLIA_EZ_HX1	Targeted-Capture	Paired-end	Genomic	Hybrid Selection	ILLUMINA	Illumina HiSeq 2500	Sentieon Genomics Software	genomic_info	dg.4DFC/8a25f444-dfa7-11ed-b24f-ffb5febcf665_SI_8376	dg.4DFC/8a25f444-dfa7-11ed-b24f-ffb5febcf665
SI_8376					GRCh38	DNA-Roche Onco1500 v2 Library,140126_UM_CLIA_EZ_HX1	Targeted-Capture	Paired-end	Genomic	Hybrid Selection	ILLUMINA	Illumina HiSeq 2500	Sentieon Genomics Software	genomic_info	dg.4DFC/8a262eb4-dfa7-11ed-a7e5-17f0ac2b1393_SI_8376	dg.4DFC/8a262eb4-dfa7-11ed-a7e5-17f0ac2b1393
SI_7985	7491008400	74910084	100		GRCh38	DNA-Agilent SureSelect Exome V4	WXS	Paired-end	Genomic	Hybrid Selection	ILLUMINA	Illumina HiSeq 2500		genomic_info	dg.4DFC/8ecc7aea-dfa7-11ed-9318-cbb324ec379b_SI_7985	dg.4DFC/8ecc7aea-dfa7-11ed-9318-cbb324ec379b
SI_7985	7491008400	74910084	100		GRCh38	DNA-Agilent SureSelect Exome V4	WXS	Paired-end	Genomic	Hybrid Selection	ILLUMINA	Illumina HiSeq 2500		genomic_info	dg.4DFC/8eccb96a-dfa7-11ed-a6e0-87cfd02388e4_SI_7985	dg.4DFC/8eccb96a-dfa7-11ed-a6e0-87cfd02388e4
SI_8376	277141375	2217131	125		GRCh38	DNA-Roche Onco1500 v2 Library,140126_UM_CLIA_EZ_HX1	Targeted-Capture	Paired-end	Genomic	Hybrid Selection	ILLUMINA	Illumina HiSeq 2500		genomic_info	dg.4DFC/8edfefa8-dfa7-11ed-8faa-672336f554a6_SI_8376	dg.4DFC/8edfefa8-dfa7-11ed-8faa-672336f554a6
SI_8376	277141375	2217131	125		GRCh38	DNA-Roche Onco1500 v2 Library,140126_UM_CLIA_EZ_HX1	Targeted-Capture	Paired-end	Genomic	Hybrid Selection	ILLUMINA	Illumina HiSeq 2500		genomic_info	dg.4DFC/8ee02b1c-dfa7-11ed-9c15-cf264a2da35c_SI_8376	dg.4DFC/8ee02b1c-dfa7-11ed-9c15-cf264a2da35c
SI_8376	4115400500	41154005	100		GRCh38	DNA-Roche Onco1500 v2 Library,140126_UM_CLIA_EZ_HX1	Targeted-Capture	Paired-end	Genomic	Hybrid Selection	ILLUMINA	Illumina HiSeq 2500		genomic_info	dg.4DFC/8ee064b0-dfa7-11ed-a7aa-e79a60e3beb8_SI_8376	dg.4DFC/8ee064b0-dfa7-11ed-a7aa-e79a60e3beb8
SI_8376	4115400500	41154005	100		GRCh38	DNA-Roche Onco1500 v2 Library,140126_UM_CLIA_EZ_HX1	Targeted-Capture	Paired-end	Genomic	Hybrid Selection	ILLUMINA	Illumina HiSeq 2500		genomic_info	dg.4DFC/8ee09f2a-dfa7-11ed-9902-4bf7a2431a30_SI_8376	dg.4DFC/8ee09f2a-dfa7-11ed-9902-4bf7a2431a30
SI_7961	12909796202	129107650	99		GRCh38	RNA-PolyA	RNA-Seq	Paired-end	Transcriptomic	PolyA	ILLUMINA	Illumina HiSeq 2500	Sentieon Genomics Software	genomic_info	dg.4DFC/89ff8f52-dfa7-11ed-8d1b-aba80c098211_SI_7961	dg.4DFC/89ff8f52-dfa7-11ed-8d1b-aba80c098211
SI_7961					GRCh38	RNA-PolyA	RNA-Seq	Paired-end	Transcriptomic	PolyA	ILLUMINA	Illumina HiSeq 2500	Sentieon Genomics Software	genomic_info	dg.4DFC/89ffc990-dfa7-11ed-844d-6f37e92e7f41_SI_7961	dg.4DFC/89ffc990-dfa7-11ed-844d-6f37e92e7f41
SI_7961	536486588	5364867	99		GRCh38	RNA-PolyA	RNA-Seq	Paired-end	Transcriptomic	PolyA	ILLUMINA	Illumina HiSeq 2500	Sentieon Genomics Software	genomic_info	dg.4DFC/8a000dba-dfa7-11ed-82cf-b38fa88cefed_SI_7961	dg.4DFC/8a000dba-dfa7-11ed-82cf-b38fa88cefed
SI_7961					GRCh38	RNA-PolyA	RNA-Seq	Paired-end	Transcriptomic	PolyA	ILLUMINA	Illumina HiSeq 2500	Sentieon Genomics Software	genomic_info	dg.4DFC/8a004884-dfa7-11ed-9c50-538167aadb44_SI_7961	dg.4DFC/8a004884-dfa7-11ed-9c50-538167aadb44
SI_7961	24413534	93973	259		GRCh38	RNA-PolyA	RNA-Seq	Paired-end	Transcriptomic	PolyA	ILLUMINA	Illumina HiSeq 2500	Sentieon Genomics Software	genomic_info	dg.4DFC/8a008326-dfa7-11ed-bfb0-f3d77a4fcc5c_SI_7961	dg.4DFC/8a008326-dfa7-11ed-bfb0-f3d77a4fcc5c
SI_7961					GRCh38	RNA-PolyA	RNA-Seq	Paired-end	Transcriptomic	PolyA	ILLUMINA	Illumina HiSeq 2500	Sentieon Genomics Software	genomic_info	dg.4DFC/8a00bbde-dfa7-11ed-8352-9bb6ed54fa25_SI_7961	dg.4DFC/8a00bbde-dfa7-11ed-8352-9bb6ed54fa25
SI_7984	22148819403	224461100	99.996032999999997	208.32099914550801	GRCh38	DNA-Agilent SureSelect Exome V4	WXS	Paired-end	Genomic	Hybrid Selection	ILLUMINA	Illumina HiSeq 2500	Sentieon Genomics Software	genomic_info	dg.4DFC/8a01ddd4-dfa7-11ed-9bc3-c3ed7fae4bf3_SI_7984	dg.4DFC/8a01ddd4-dfa7-11ed-9bc3-c3ed7fae4bf3
SI_7984					GRCh38	DNA-Agilent SureSelect Exome V4	WXS	Paired-end	Genomic	Hybrid Selection	ILLUMINA	Illumina HiSeq 2500	Sentieon Genomics Software	genomic_info	dg.4DFC/8a02190c-dfa7-11ed-9a9f-4bd9ef2a5b93_SI_7984	dg.4DFC/8a02190c-dfa7-11ed-9a9f-4bd9ef2a5b93
SI_7998	10711037326	107113158	99		GRCh38	RNA-Agilent SureSelect Exome V4	WXS	Paired-end	Transcriptomic	Hybrid Selection	ILLUMINA	Illumina HiSeq 2500	Sentieon Genomics Software	genomic_info	dg.4DFC/8a066ce6-dfa7-11ed-8a4f-2fa087c954ec_SI_7998	dg.4DFC/8a066ce6-dfa7-11ed-8a4f-2fa087c954ec
SI_7998					GRCh38	RNA-Agilent SureSelect Exome V4	WXS	Paired-end	Transcriptomic	Hybrid Selection	ILLUMINA	Illumina HiSeq 2500	Sentieon Genomics Software	genomic_info	dg.4DFC/8a06a65c-dfa7-11ed-9680-3f30c542f25b_SI_7998	dg.4DFC/8a06a65c-dfa7-11ed-9680-3f30c542f25b
SI_7998	182510000	1825100	100		GRCh38	RNA-Agilent SureSelect Exome V4	WXS	Paired-end	Transcriptomic	Hybrid Selection	ILLUMINA	Illumina HiSeq 2500	Sentieon Genomics Software	genomic_info	dg.4DFC/8a06e0d6-dfa7-11ed-8b67-17338f39ee6d_SI_7998	dg.4DFC/8a06e0d6-dfa7-11ed-8b67-17338f39ee6d
SI_7998					GRCh38	RNA-Agilent SureSelect Exome V4	WXS	Paired-end	Transcriptomic	Hybrid Selection	ILLUMINA	Illumina HiSeq 2500	Sentieon Genomics Software	genomic_info	dg.4DFC/8a071b8c-dfa7-11ed-a6aa-97253536c523_SI_7998	dg.4DFC/8a071b8c-dfa7-11ed-a6aa-97253536c523
SI_7998	28025544	112937	248		GRCh38	RNA-Agilent SureSelect Exome V4	WXS	Paired-end	Transcriptomic	Hybrid Selection	ILLUMINA	Illumina HiSeq 2500	Sentieon Genomics Software	genomic_info	dg.4DFC/8a075a34-dfa7-11ed-a4f1-5376607ba9fa_SI_7998	dg.4DFC/8a075a34-dfa7-11ed-a4f1-5376607ba9fa
SI_7998					GRCh38	RNA-Agilent SureSelect Exome V4	WXS	Paired-end	Transcriptomic	Hybrid Selection	ILLUMINA	Illumina HiSeq 2500	Sentieon Genomics Software	genomic_info	dg.4DFC/8a07935a-dfa7-11ed-a0a3-53a53cae349e_SI_7998	dg.4DFC/8a07935a-dfa7-11ed-a0a3-53a53cae349e
SI_8375	465115572	3807760	124.99409799999999	542.02899169921898	GRCh38	DNA-Roche Onco1500 v2 Library,140126_UM_CLIA_EZ_HX1	Targeted-Capture	Paired-end	Genomic	Hybrid Selection	ILLUMINA	Illumina HiSeq 2500	Sentieon Genomics Software	genomic_info	dg.4DFC/8a23513a-dfa7-11ed-bc31-830cf7a97051_SI_8375	dg.4DFC/8a23513a-dfa7-11ed-bc31-830cf7a97051
SI_8375					GRCh38	DNA-Roche Onco1500 v2 Library,140126_UM_CLIA_EZ_HX1	Targeted-Capture	Paired-end	Genomic	Hybrid Selection	ILLUMINA	Illumina HiSeq 2500	Sentieon Genomics Software	genomic_info	dg.4DFC/8a238a6a-dfa7-11ed-8846-27376414f6b6_SI_8375	dg.4DFC/8a238a6a-dfa7-11ed-8846-27376414f6b6
SI_8375	6640400204	67688104	99.995913999999999	542.02899169921898	GRCh38	DNA-Roche Onco1500 v2 Library,140126_UM_CLIA_EZ_HX1	Targeted-Capture	Paired-end	Genomic	Hybrid Selection	ILLUMINA	Illumina HiSeq 2500	Sentieon Genomics Software	genomic_info	dg.4DFC/8a23c4d0-dfa7-11ed-a85c-13bc58aa75f7_SI_8375	dg.4DFC/8a23c4d0-dfa7-11ed-a85c-13bc58aa75f7
SI_8375					GRCh38	DNA-Roche Onco1500 v2 Library,140126_UM_CLIA_EZ_HX1	Targeted-Capture	Paired-end	Genomic	Hybrid Selection	ILLUMINA	Illumina HiSeq 2500	Sentieon Genomics Software	genomic_info	dg.4DFC/8a240256-dfa7-11ed-b680-bbcb3bf5568c_SI_8375	dg.4DFC/8a240256-dfa7-11ed-b680-bbcb3bf5568c
SI_7961	6943884000	69438840	100		GRCh38	RNA-PolyA	RNA-Seq	Paired-end	Transcriptomic	PolyA	ILLUMINA	Illumina HiSeq 2500		genomic_info	dg.4DFC/8eca9ea0-dfa7-11ed-8b78-c36d30b93477_SI_7961	dg.4DFC/8eca9ea0-dfa7-11ed-8b78-c36d30b93477
SI_7961	6943884000	69438840	100		GRCh38	RNA-PolyA	RNA-Seq	Paired-end	Transcriptomic	PolyA	ILLUMINA	Illumina HiSeq 2500		genomic_info	dg.4DFC/8ecadd98-dfa7-11ed-9ad5-9f203fc38cbf_SI_7961	dg.4DFC/8ecadd98-dfa7-11ed-9ad5-9f203fc38cbf
SI_7984	11223066600	112230666	100		GRCh38	DNA-Agilent SureSelect Exome V4	WXS	Paired-end	Genomic	Hybrid Selection	ILLUMINA	Illumina HiSeq 2500		genomic_info	dg.4DFC/8ecc068c-dfa7-11ed-b17c-0bc7a9b9c551_SI_7984	dg.4DFC/8ecc068c-dfa7-11ed-b17c-0bc7a9b9c551
