type	study_arm_id	study_arm_description	clinical_trial_identifier	clinical_trial_repository	id	study.id
study_arm	clinical_trial_12	This phase II Pediatric MATCH trial studies how well ivosidenib works in treating patients with solid tumors that have spread to other places in the body (advanced), lymphoma, or histiocytic disorders that have IDH1 genetic alterations (mutations). Ivosidenib may block the growth of cancer cells that have specific genetic changes in an important signaling pathway called the IDH pathway.	NCT04195555	ClinicalTrials.gov	11bad81f-b626-5a04-a970-4f8cb39d41b2	ec303fe3-0c90-5c79-b397-04db4b0ed823
study_arm	clinical_trial_1	This phase II Pediatric MATCH treatment trial studies how well ensartinib works in treating patients with solid tumors, non-Hodgkin lymphoma, or histiocytic disorders with ALK or ROS1 genomic alterations that have come back (recurrent) or does not respond to treatment (refractory) and may have spread from where it first started to nearby tissue, lymph nodes, or distant parts of the body (advanced). Ensartinib may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.	NCT03213652	ClinicalTrials.gov	167c1a6a-3949-53cb-b417-f22e859b831d	ec303fe3-0c90-5c79-b397-04db4b0ed823
study_arm	clinical_trial_5	This phase II Pediatric MATCH trial studies how well vemurafenib works in treating patients with solid tumors, non-Hodgkin lymphoma, or histiocytic disorders with BRAF V600 mutations that have spread to other places in the body (advanced) and have come back (recurrent) or do not respond to treatment (refractory). Vemurafenib may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.	NCT03220035	ClinicalTrials.gov	1e17f76d-821b-5747-be2f-825bdd3ee0eb	ec303fe3-0c90-5c79-b397-04db4b0ed823
study_arm	clinical_trial_10	This phase II Pediatric MATCH trial studies how well palbociclib works in treating patients with Rb positive solid tumors, non-Hodgkin lymphoma, or histiocytic disorders with activating alterations (mutations) in cell cycle genes that have spread to other places in the body and have come back or do not respond to treatment. Palbociclib may stop the growth of cancer cells by blocking some of the proteins needed for cell growth.	NCT03526250	ClinicalTrials.gov	1e52b48f-471d-56a1-aa8b-c21944744b07	ec303fe3-0c90-5c79-b397-04db4b0ed823
study_arm	clinical_trial_7	This phase II Pediatric MATCH trial studies how well tazemetostat works in treating patients with brain tumors, solid tumors, non-Hodgkin lymphoma, or histiocytic disorders that have come back (relapsed) or do not respond to treatment (refractory) and have EZH2, SMARCB1, or SMARCA4 gene mutations. Tazemetostat may stop the growth of tumor cells by blocking EZH2 and its relation to some of the pathways needed for cell proliferation.	NCT03213665	ClinicalTrials.gov	32905add-c354-55ca-af64-879795482296	ec303fe3-0c90-5c79-b397-04db4b0ed823
study_arm	clinical_trial_14	This phase II pediatric MATCH treatment trial studies how well selpercatinib works in treating patients with solid tumors that may have spread from where they first started to nearby tissue, lymph nodes, or distant parts of the body (advanced), lymphomas, or histiocytic disorders that have activating RET gene alterations. Selpercatinib may block the growth of cancer cells that have specific genetic changes in an important signaling pathway (called the RET pathway) and may reduce tumor size.	NCT04320888	ClinicalTrials.gov	57085c0c-ea92-564f-9400-2ea88609202d	ec303fe3-0c90-5c79-b397-04db4b0ed823
study_arm	clinical_trial_9	This phase II Pediatric MATCH trial studies how well larotrectinib works in treating patients with solid tumors, non-Hodgkin lymphoma, or histiocytic disorders with NTRK fusions that may have spread from where it first started to nearby tissue, lymph nodes, or distant parts of the body (advanced) and have come back (relapased) or does not respond to treatment (refractory). Larotrectinib may stop the growth of cancer cells by blocking some of the enzymes needed for cell growth.	NCT03213704	ClinicalTrials.gov	71109ebf-376d-5588-a1e5-ea1dbbebfa4d	ec303fe3-0c90-5c79-b397-04db4b0ed823
study_arm	clinical_trial_2	This Pediatric MATCH screening and multi-sub-study phase II trial studies how well treatment that is directed by genetic testing works in pediatric patients with solid tumors, non-Hodgkin lymphomas, or histiocytic disorders that have progressed following at least one line of standard systemic therapy and/or for which no standard treatment exists that has been shown to prolong survival. Genetic tests look at the unique genetic material (genes) of patients' tumor cells. Patients with genetic changes or abnormalities (mutations) may benefit more from treatment which targets their tumor's particular genetic mutation, and may help doctors plan better treatment for patients with solid tumors or non-Hodgkin lymphomas.	NCT03155620	ClinicalTrials.gov	778d42eb-66a8-5227-a1ba-0d66eea73662	ec303fe3-0c90-5c79-b397-04db4b0ed823
study_arm	clinical_trial_8	This phase II Pediatric MATCH trial studies how well samotolisib works in treating patients with solid tumors, non-Hodgkin lymphoma, or histiocytic disorders with TSC or PI3K/MTOR mutations that have spread to other places in the body (metastatic) and have come back (recurrent) or do not respond to treatment (refractory). Samotolisib may stop the growth of cancer cells by blocking some of the enzymes needed for cell growth.	NCT03213678	ClinicalTrials.gov	7d11059c-4bdf-5d56-ac82-e8adb90ee98c	ec303fe3-0c90-5c79-b397-04db4b0ed823
study_arm	clinical_trial_13	This phase II pediatric MATCH trial studies how well tipifarnib works in treating patients with solid tumors that have recurred or spread to other places in the body (advanced), lymphoma, or histiocytic disorders, that have a genetic alteration in the gene HRAS. Tipifarnib may block the growth of cancer cells that have specific genetic changes in a gene called HRAS and may reduce tumor size.	NCT04284774	ClinicalTrials.gov	829f9c47-e3cc-5340-a398-a36713e4f9e6	ec303fe3-0c90-5c79-b397-04db4b0ed823
