type	genomic_info_id	design_description	platform	bases	library_layout	coverage	file.file_id	sequence_alignment_software	number_of_reads	library_selection	reference_genome_assembly	avg_read_length	methylation_platform	library_source	reporter_label	instrument_model	library_id	library_strategy	custom_assembly_fasta_file_for_alignment	library_source_molecule
genomic_info	60e7ca84df43c351460a24c9_27-482638-AMPureB:9	100-200ng of whole blood-derived DNA was fragmented under mild settings using a low volume AFA plate on the Covaris LE220 to target 500bp fragments in accordance with manufacturer's instructions. Fragmented samples were then processed with the KAPA Hyper Library Preparation kit (Roche) following the manufacturer's recommendations.	Illumina		Paired-End		dg.4DFC/ac97ec95-5dad-52b9-a506-1b106518e283	bwa-mem 0.7.15		Random	GRCh38			Genomic		Illumina NovaSeq 6000	27-482638-AMPureB:9	WGS	GRCh38_full_analysis_set_plus_decoy_hla.fa	Genomic DNA
genomic_info	60e7cc807c2d3e3eb207cf91_27-482638-AMPureF:4	100-200ng of FFPE-DNA was fragmented under mild settings using a low volume AFA plate on the Covaris LE220 to target 500bp fragments in accordance with manufacturer's instructions. Fragmented samples were then processed with the KAPA Hyper Library Preparation kit (Roche) following the modifications for degraded samples.	Illumina		Paired-End		dg.4DFC/262321e0-09ba-5c2e-8286-f7d8f8121d89	bwa-mem 0.7.15		Random	GRCh38			Genomic		Illumina NovaSeq 6000	27-482638-AMPureF:4	WGS	GRCh38_full_analysis_set_plus_decoy_hla.fa	Genomic DNA
genomic_info	60e7d0d07c2d3e3eb207d071_27-482638-AMPureB:9	100-200ng of whole blood-derived DNA was fragmented under mild settings using a low volume AFA plate on the Covaris LE220 to target 500bp fragments in accordance with manufacturer's instructions. Fragmented samples were then processed with the KAPA Hyper Library Preparation kit (Roche) following the manufacturer's recommendations.	Illumina		Paired-End		dg.4DFC/07215884-5e72-55ed-abf5-8d6478a57267	bwa-mem 0.7.15		Random	GRCh38			Genomic		Illumina NovaSeq 6000	27-482638-AMPureB:9	WGS	GRCh38_full_analysis_set_plus_decoy_hla.fa	Genomic DNA
genomic_info	60e7d0d77c2d3e3eb207d075_27-482638-AMPureF:4	100-200ng of FFPE-DNA was fragmented under mild settings using a low volume AFA plate on the Covaris LE220 to target 500bp fragments in accordance with manufacturer's instructions. Fragmented samples were then processed with the KAPA Hyper Library Preparation kit (Roche) following the modifications for degraded samples.	Illumina		Paired-End		dg.4DFC/69d648ab-932a-559d-96c0-30e986fc32e4	bwa-mem 0.7.15		Random	GRCh38			Genomic		Illumina NovaSeq 6000	27-482638-AMPureF:4	WGS	GRCh38_full_analysis_set_plus_decoy_hla.fa	Genomic DNA
genomic_info	60e7d0dddf43c351460a874d_27-482638-AMPureC:9	100-200ng of whole blood-derived DNA was fragmented under mild settings using a low volume AFA plate on the Covaris LE220 to target 500bp fragments in accordance with manufacturer's instructions. Fragmented samples were then processed with the KAPA Hyper Library Preparation kit (Roche) following the manufacturer's recommendations.	Illumina		Paired-End		dg.4DFC/7b0cd2e3-3e33-5625-b060-a149d329d6bc	bwa-mem 0.7.15		Random	GRCh38			Genomic		Illumina NovaSeq 6000	27-482638-AMPureC:9	WGS	GRCh38_full_analysis_set_plus_decoy_hla.fa	Genomic DNA
genomic_info	60e7d0e47c2d3e3eb207d07a_27-482638-AMPureG:4	100-200ng of FFPE-DNA was fragmented under mild settings using a low volume AFA plate on the Covaris LE220 to target 500bp fragments in accordance with manufacturer's instructions. Fragmented samples were then processed with the KAPA Hyper Library Preparation kit (Roche) following the modifications for degraded samples.	Illumina		Paired-End		dg.4DFC/41f26838-b3ca-5966-b47f-0877ccd1ff30	bwa-mem 0.7.15		Random	GRCh38			Genomic		Illumina NovaSeq 6000	27-482638-AMPureG:4	WGS	GRCh38_full_analysis_set_plus_decoy_hla.fa	Genomic DNA
genomic_info	60e7d0eadf43c351460a8753_27-482638-AMPureD:9	100-200ng of whole blood-derived DNA was fragmented under mild settings using a low volume AFA plate on the Covaris LE220 to target 500bp fragments in accordance with manufacturer's instructions. Fragmented samples were then processed with the KAPA Hyper Library Preparation kit (Roche) following the manufacturer's recommendations.	Illumina		Paired-End		dg.4DFC/cd60dbe2-62a3-55f1-825f-48521554d799	bwa-mem 0.7.15		Random	GRCh38			Genomic		Illumina NovaSeq 6000	27-482638-AMPureD:9	WGS	GRCh38_full_analysis_set_plus_decoy_hla.fa	Genomic DNA
genomic_info	60e7d0f07c2d3e3eb207d080_27-482638-AMPureH:4	100-200ng of FFPE-DNA was fragmented under mild settings using a low volume AFA plate on the Covaris LE220 to target 500bp fragments in accordance with manufacturer's instructions. Fragmented samples were then processed with the KAPA Hyper Library Preparation kit (Roche) following the modifications for degraded samples.	Illumina		Paired-End		dg.4DFC/6b3f1b95-6dbd-5de7-b592-fd77c979d064	bwa-mem 0.7.15		Random	GRCh38			Genomic		Illumina NovaSeq 6000	27-482638-AMPureH:4	WGS	GRCh38_full_analysis_set_plus_decoy_hla.fa	Genomic DNA
genomic_info	60e7d0f7df43c351460a875a_27-482638-AMPureE:9	100-200ng of whole blood-derived DNA was fragmented under mild settings using a low volume AFA plate on the Covaris LE220 to target 500bp fragments in accordance with manufacturer's instructions. Fragmented samples were then processed with the KAPA Hyper Library Preparation kit (Roche) following the manufacturer's recommendations.	Illumina		Paired-End		dg.4DFC/151b9711-193f-533a-b5bf-17f1388b3bdd	bwa-mem 0.7.15		Random	GRCh38			Genomic		Illumina NovaSeq 6000	27-482638-AMPureE:9	WGS	GRCh38_full_analysis_set_plus_decoy_hla.fa	Genomic DNA
genomic_info	60e7d0fddf43c351460a875e_27-482638-AMPureA:5	100-200ng of FFPE-DNA was fragmented under mild settings using a low volume AFA plate on the Covaris LE220 to target 500bp fragments in accordance with manufacturer's instructions. Fragmented samples were then processed with the KAPA Hyper Library Preparation kit (Roche) following the modifications for degraded samples.	Illumina		Paired-End		dg.4DFC/245ad5e6-2ee5-5319-8de6-7d9fad7c5f88	bwa-mem 0.7.15		Random	GRCh38			Genomic		Illumina NovaSeq 6000	27-482638-AMPureA:5	WGS	GRCh38_full_analysis_set_plus_decoy_hla.fa	Genomic DNA
