type	file_name	uuid	file_size	md5sum	file_status	file_location	file_format	sample.sample_id	file_type	file_description
file	699-989-2.bai	a4b6dc4a-dd19-5ae6-8128-eb9f3ec5a937	2699968	a843a651c4a5cb88d32e273425707f49	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/UBC02/699-989-2.bai	bai	UBC02-699-989-2-S1	Index File	Tumor
file	699-989-2.bam	3d719115-687b-53c0-99da-7fea4a187773	6241541956	730101cf872354c09803b87e6b835774	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/UBC02/699-989-2.bam	bam	UBC02-699-989-2-S1	RNA Sequence File	Tumor
file	725-540-Sn.bai	77559543-a61e-55fb-926f-2c1cc454d8fe	2703224	2d54a7942b086e4a248a77c9c2fa60e5	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/UBC02/725-540-Sn.bai	bai	UBC02-725-540-Sn-S1	Index File	Tumor
file	725-540-Sn.bam	46168449-1d5a-58bf-97ed-2709aa318180	6090793489	9a8dddc7cf187b5e99c1d4f70a1c10e0	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/UBC02/725-540-Sn.bam	bam	UBC02-725-540-Sn-S1	RNA Sequence File	Tumor
file	726-843-Ab.bai	b888ed0b-e4cd-582b-bda1-fe418f2bc5ec	2746504	50b29ec731e169ba97fab054046096b7	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/UBC02/726-843-Ab.bai	bai	UBC02-726-843-Ab-S1	Index File	Tumor
file	726-843-Ab.bam	00128b9a-ea61-50ce-b192-ded959ea6996	5343144979	81f10d2dfe5340a45077a97409de0674	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/UBC02/726-843-Ab.bam	bam	UBC02-726-843-Ab-S1	RNA Sequence File	Tumor
file	727-745-Po.bai	1b0b5e52-7af6-50aa-aae6-0a12123ee69a	2819320	f206b9e134eaf738886924931e0ccd43	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/UBC02/727-745-Po.bai	bai	UBC02-727-745-Po-S1	Index File	Tumor
file	727-745-Po.bam	6f900ee7-ed2d-5f12-ac0c-5937a129cb93	6364917679	56bb278301b183f725012deffcd25951	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/UBC02/727-745-Po.bam	bam	UBC02-727-745-Po-S1	RNA Sequence File	Tumor
file	728-463-Ch.bai	f1f34e8c-b7ab-57d4-a691-8e2cdf145e02	2707896	0f289677ae55c76c706aa2723293f508	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/UBC02/728-463-Ch.bai	bai	UBC02-728-463-Ch-S1	Index File	Tumor
file	728-463-Ch.bam	094afc58-0fc6-5731-bb81-ed8ccf822cd6	6537115312	0a6aac39993ab1394810ec1fbbad55d1	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/UBC02/728-463-Ch.bam	bam	UBC02-728-463-Ch-S1	RNA Sequence File	Tumor
file	730-901-Za.bai	2c787a1b-9db2-52f6-9900-ce528c0166a4	2738856	fe8944bf29c4e6f5ff275b935fc98054	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/UBC02/730-901-Za.bai	bai	UBC02-730-901-Za-S1	Index File	Tumor
file	730-901-Za.bam	d76e09dd-5c3e-56b1-bf72-35018f9c6670	5602075685	47e059d5b68b39cf07dad82666760822	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/UBC02/730-901-Za.bam	bam	UBC02-730-901-Za-S1	RNA Sequence File	Tumor
