id	study.id	funding_agency	funding_source_program_name	grant_id	study_funding_id	type
24d1155a-4247-5ee3-8589-afe403629233	20a0909b-7fc9-5e23-88b4-9b59fdea5254	NIH NCI		U01CA199297	PPTC_funding_05	study_funding
3cdedcf4-74cb-5357-abff-a6228f733f5b	20a0909b-7fc9-5e23-88b4-9b59fdea5254	NIH NCI		U01CA199221	PPTC_funding_04	study_funding
5db7bffc-affd-5e3c-8bb0-a6e4573a3518	20a0909b-7fc9-5e23-88b4-9b59fdea5254	Giulio D’Angio Endowed Chair		PPTC	PPTC_funding_11	study_funding
6c13fc4d-e5b7-59ed-9d54-4d53e07bf5b2	20a0909b-7fc9-5e23-88b4-9b59fdea5254	National Health and Medical Research Council of Australia		APP1157871	PPTC_funding_13	study_funding
6e20978f-1856-57cb-b2f1-653bee72cf25	20a0909b-7fc9-5e23-88b4-9b59fdea5254	NIH NCI		R01CA221957	PPTC_funding_08	study_funding
726ef2dd-541b-5a59-9d58-874c30b8b157	20a0909b-7fc9-5e23-88b4-9b59fdea5254	NIH NCI		U01CA199287	PPTC_funding_01	study_funding
8f7c9e52-31b3-5cd9-be10-14c863e4d5d9	20a0909b-7fc9-5e23-88b4-9b59fdea5254	NIH NCI		U01CA199288	PPTC_funding_03	study_funding
9efeb233-6bf8-5061-b3f0-18f3d1da8ccf	20a0909b-7fc9-5e23-88b4-9b59fdea5254	NIH NCI		U01CA199222	PPTC_funding_06	study_funding
a20a1ce8-614e-5455-a3cc-29482fdb6ee8	20a0909b-7fc9-5e23-88b4-9b59fdea5254	NIH NCI		U01CA199000	PPTC_funding_02	study_funding
ab56b782-f779-5bf6-b460-9686f1a4d3b8	20a0909b-7fc9-5e23-88b4-9b59fdea5254	NIH NCI		R35CA220500	PPTC_funding_07	study_funding
b36a065b-acce-52b9-a8ff-764a649dc6bc	20a0909b-7fc9-5e23-88b4-9b59fdea5254	NIH NINDS		R01NS09541101A1	PPTC_funding_10	study_funding
c797b8be-5ffe-5add-9619-c6ef868c9eaa	20a0909b-7fc9-5e23-88b4-9b59fdea5254	Alex's Lemonade Stand Foundation		PPTC	PPTC_funding_09	study_funding
ce6feb86-1f16-5c6f-93cd-1041a201fa45	20a0909b-7fc9-5e23-88b4-9b59fdea5254	Cancer Council New South Wales		PG16-01	PPTC_funding_15	study_funding
def216ed-eb85-5843-8665-84850bfa7f6e	20a0909b-7fc9-5e23-88b4-9b59fdea5254	National Health and Medical Research Council of Australia		APP1059804	PPTC_funding_12	study_funding
e9d8ff54-0e62-59fc-a57d-3cb571f46215	20a0909b-7fc9-5e23-88b4-9b59fdea5254	National Health and Medical Research Council of Australia		APP1091261	PPTC_funding_14	study_funding
