type	pdx_id	model_id	mouse_strain	sample_type_for_implantation	implantation_type	implantation_site	tumor_confirmed_not_to_be_mus_or_ebv_origin	is_tumor_from_untreated_patient	passage_number	passages_tested	validation_technique	id	study.id	sample.id
pdx	6949-JMM-0047.pdx	NP031x	NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)	Not Reported	injection;surgical	subcutaneous		No				003b5e80-febd-510d-9ac6-18aca56cd06c		7b9d40aa-3878-5b5b-b07c-b88cd94a32cb
pdx	6949-JMM-0058.pdx	Adam-Lx_ALK-L-PDX	NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)	Not Reported	injection;surgical	subcutaneous		Not Reported				021f17a3-f628-534c-9e66-9739382fb455		da4f5dfa-36cf-5dbf-b9af-e2b94c3d661f
pdx	6949-JMM-0063_2.pdx	HG-Rx	NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)	Not Reported	injection;surgical	subcutaneous		No				02266f4d-da67-5196-9c1e-ec953cfd99c9		8c6a7e16-2092-5b01-b1f6-fc270c84c183
pdx	6949-JMM-0050_FP.pdx	NP039x	NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)	Not Reported	injection;surgical	subcutaneous		No				027199e4-1cd4-5b43-965e-96386b21211b		a696da7c-3d8f-5fa6-a712-74624933c912
pdx	6949-JMM-0045.pdx	NP021x_RH07-5x	NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)	Not Reported	injection;surgical	subcutaneous		No				04679ca9-823b-5170-9e3c-60d185ecb55f		077d05fe-2d63-5a16-8ffc-c4a9e1ba1633
pdx	6949-JMM-0077.pdx	NP017x_RH07-1x	NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)	Not Reported	injection;surgical	subcutaneous		No				0897b32e-2e98-5d65-b48b-ee729ed3dd97		b27b1f14-3f60-5fa8-8212-7828c81e6bcd
pdx	6949-JMM-0049.pdx	NP037x	NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)	Not Reported	injection;surgical	subcutaneous		No				0b689556-9a7f-5161-bcba-c1427193ba82		cdbcc5fc-6cc7-5df3-9f55-c367a242eeb7
pdx	6949-JMM-0062_FP.pdx	YDLFx	NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)	Not Reported	injection;surgical	subcutaneous		No				0b75fbb7-ef4c-5333-b3b5-a6cc86dff25a		4b961a6a-321f-5ce8-9e45-2fd9fe0ff748
pdx	6949-JMM-0090.pdx	Obelix-Rx	NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)	Not Reported	injection;surgical	subcutaneous		No				0dad02e6-e209-59ab-bdb7-f70d69e17197		de20cbc9-a191-5ebf-ba04-d12ba64562af
pdx	6949-JMM-0106.pdx	LS_Luke-PDX	NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)	Not Reported	injection;surgical	subcutaneous		No				0dff9bea-09e3-5ef7-a19f-f19fd1b34577		81253bd9-1dae-5ec7-bfdd-dbeb495b623b
pdx	6949-JMM-0066_2.pdx	JG-Fx	NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)	Not Reported	injection;surgical	subcutaneous		No				109e2d8e-911d-5820-9b11-697553ddb65e		442b8620-3fb6-53b6-b9a6-a317131d724a
pdx	6949-JMM-0043_FP.pdx	NP019x_RH07-3x	NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)	Not Reported	injection;surgical	subcutaneous		No				12da9bb3-c8d0-52c5-8c80-1fbe62c639ec		8f51a060-9df0-51f8-a970-2e6972db35f7
pdx	6949-JMM-0067.pdx	NP045x	NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)	Not Reported	injection;surgical	subcutaneous		No				14933056-9754-53cc-8b10-6ae25417f5f1		9b7beb73-fb9c-548e-b530-846978ffd8a9
pdx	6949-JMM-0061.pdx	YDLRx	NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)	Not Reported	injection;surgical	subcutaneous		No				15853275-b419-590e-b8d7-9b06a06d3918		5f73b39d-3bc2-51d7-b9ba-24c4a8edddc3
pdx	6949-JMM-0059_2.pdx	Adam-Rx_ALK-R-PDX	NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)	Not Reported	injection;surgical	subcutaneous		Not Reported				15bdacca-83c8-52a8-baf6-0e75f0ff03f1		2b82df70-47ca-5056-945d-5ee06997cb6c
pdx	6949-JMM-0046.pdx	NP030x	NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)	Not Reported	injection;surgical	subcutaneous		No				16b597da-70e1-544a-9767-c4759d4af570		88a92643-992c-57bc-b4fe-cd181a54c662
pdx	6949-JMM-0073.pdx	Brooke-PDX	NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)	Not Reported	injection;surgical	subcutaneous		No				17233446-ae08-5cc1-a6b8-9a0dec046018		d881dd35-dc42-57ed-8dfb-064daa43dc9f
