reference_genome_assembly	library_strategy	library_layout	library_source	library_selection	platform	instrument_model	type	genomic_info_id	file.file_id
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f65dc5a-03d2-11ef-ade0-7be81aef9834	dg.4DFC/6f65dc5a-03d2-11ef-ade0-7be81aef9834
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f66dea2-03d2-11ef-88dc-4749b94b172e	dg.4DFC/6f66dea2-03d2-11ef-88dc-4749b94b172e
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f670620-03d2-11ef-a7a9-438169e1e7e7	dg.4DFC/6f670620-03d2-11ef-a7a9-438169e1e7e7
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f672b64-03d2-11ef-a054-5b96de697e78	dg.4DFC/6f672b64-03d2-11ef-a054-5b96de697e78
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f675076-03d2-11ef-ac8c-137e79d8d241	dg.4DFC/6f675076-03d2-11ef-ac8c-137e79d8d241
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6775d8-03d2-11ef-8784-d7808e66c699	dg.4DFC/6f6775d8-03d2-11ef-8784-d7808e66c699
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f679b94-03d2-11ef-9153-4bda89e540ef	dg.4DFC/6f679b94-03d2-11ef-9153-4bda89e540ef
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f67c0c4-03d2-11ef-8961-7f22cb3e4fb5	dg.4DFC/6f67c0c4-03d2-11ef-8961-7f22cb3e4fb5
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f67e612-03d2-11ef-be67-537ba3947ab2	dg.4DFC/6f67e612-03d2-11ef-be67-537ba3947ab2
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f680b7e-03d2-11ef-9971-4bcfd4c7f91d	dg.4DFC/6f680b7e-03d2-11ef-9971-4bcfd4c7f91d
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6831d0-03d2-11ef-ab70-3bd0f61070a7	dg.4DFC/6f6831d0-03d2-11ef-ab70-3bd0f61070a7
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f685782-03d2-11ef-87ce-7b8657d7356d	dg.4DFC/6f685782-03d2-11ef-87ce-7b8657d7356d
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f687c6c-03d2-11ef-b62d-5ba5037a6183	dg.4DFC/6f687c6c-03d2-11ef-b62d-5ba5037a6183
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f68a1b0-03d2-11ef-b45b-77cd30887486	dg.4DFC/6f68a1b0-03d2-11ef-b45b-77cd30887486
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f68c65e-03d2-11ef-b53d-bfb7a7632d16	dg.4DFC/6f68c65e-03d2-11ef-b53d-bfb7a7632d16
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f68ec10-03d2-11ef-a461-036fb4550aed	dg.4DFC/6f68ec10-03d2-11ef-a461-036fb4550aed
