type	case.case_id	study.clinical_study_designation	sample.sample_id	diagnosis.diagnosis_id	file_name	file_type	file_description	original_file_size	original_md5sum
file		STS01			STS01_Study_Protocol.docx	Study Protocol	Streamlined methods for STS01 study	29866	7b8bc84e963cb1f323a026fb13077d24
file		STS01			STS01_Gene_Count_Matrix.csv	Supplemental Data File	Genes (rows) by samples (columns) count data matrix	3623272	2c28c75cf4f3807c4f1194dc062e2fc7
file		STS01			STS01_Supplementary_Figures.pdf	Supplemental Data File	Supplementary figures associated with publication	6371959	b46aacadbd29adef476ea02f7a32d3d3
file		STS01			STS01_Supplementary_Tables.xlsx	Supplemental Data File	Supplementary tables associated with publication	968014	1128d8e63127cd02ed7061e6a83ecd56
file			STS01-N1124		N1124_recal_reads.bai	Index File	WES reads to CanFam3.1 - STS01-N1124 matched normal	5289528	3d73717d97b3a7dfe4114c96d4bf3ed7
file			STS01-N1124		N1124_recal_reads.bam	Whole Exome Sequence File	WES reads to CanFam3.1 - STS01-N1124 matched normal	8292745997	7a66f3be9c09e293dd02b0bf850c9819
file			STS01-N1238		N1238_recal_reads.bai	Index File	WES reads to CanFam3.1 - STS01-N1238 matched normal	5287928	32e218d8e27bb0f787e9bd28ffd7c904
file			STS01-N1238		N1238_recal_reads.bam	Whole Exome Sequence File	WES reads to CanFam3.1 - STS01-N1238 matched normal	8181060372	871f272f01718b23e4374d434b072691
file			STS01-N1292		N1292_recal_reads.bai	Index File	WES reads to CanFam3.1 - STS01-N1292 matched normal	5276696	2b50120ced2c3cd0fe0a517ae184f501
file			STS01-N1292		N1292_recal_reads.bam	Whole Exome Sequence File	WES reads to CanFam3.1 - STS01-N1292 matched normal	8167395560	5524906ebe49f13df8c79bbbd82c2f39
file			STS01-N1407		N1407_recal_reads.bai	Index File	WES reads to CanFam3.1 - STS01-N1407 matched normal	5272400	caf686158fbcc721180053cf6219697c
file			STS01-N1407		N1407_recal_reads.bam	Whole Exome Sequence File	WES reads to CanFam3.1 - STS01-N1407 matched normal	9014254330	cc4215e5ec4038d34a80f24b8b6430ae
file			STS01-N1462		N1462_recal_reads.bai	Index File	WES reads to CanFam3.1 - STS01-N1462 matched normal	5035304	6efed398e2ec5316c3cebd652dcd1cc9
file			STS01-N1462		N1462_recal_reads.bam	Whole Exome Sequence File	WES reads to CanFam3.1 - STS01-N1462 matched normal	15691999961	26c5c5a334fb465f42ffef988db89485
file			STS01-N1490		N1490_recal_reads.bai	Index File	WES reads to CanFam3.1 - STS01-N1490 matched normal	5070608	02f7ec1ad7633a7622b789ef8d3a43f8
file			STS01-N1490		N1490_recal_reads.bam	Whole Exome Sequence File	WES reads to CanFam3.1 - STS01-N1490 matched normal	16377048838	9e6937357cb2613439171c5a2bd97bb2
file			STS01-N1585		N1585_recal_reads.bai	Index File	WES reads to CanFam3.1 - STS01-N1585 matched normal	5319912	b302eda7eb5a6439e8c175a1452e3279
file			STS01-N1585		N1585_recal_reads.bam	Whole Exome Sequence File	WES reads to CanFam3.1 - STS01-N1585 matched normal	18016949980	6bddefa0799b846241da395be70691e3
file			STS01-N167		N167_recal_reads.bai	Index File	WES reads to CanFam3.1 - STS01-N167 matched normal	5151016	4d4da4a0d3f48ba62695ab5442f144b3
file			STS01-N167		N167_recal_reads.bam	Whole Exome Sequence File	WES reads to CanFam3.1 - STS01-N167 matched normal	18601545387	9edeb69cfee4a59ef49f9905ffeee310
file			STS01-N1834		N1834_recal_reads.bai	Index File	WES reads to CanFam3.1 - STS01-N1834 matched normal	5142120	3437b8be1ec1ca1afecfa35724353826
file			STS01-N1834		N1834_recal_reads.bam	Whole Exome Sequence File	WES reads to CanFam3.1 - STS01-N1834 matched normal	6983438690	274489bc1cdc1c50475248d56a350b3f
file			STS01-N1860		N1860_recal_reads.bai	Index File	WES reads to CanFam3.1 - STS01-N1860 matched normal	4975664	99f8bda2615a46b5f8e3bf6d42407c63
file			STS01-N1860		N1860_recal_reads.bam	Whole Exome Sequence File	WES reads to CanFam3.1 - STS01-N1860 matched normal	14079861902	df22db797646f2db32f04f009719bfa7
file			STS01-N1891		N1891_recal_reads.bai	Index File	WES reads to CanFam3.1 - STS01-N1891 matched normal	5105752	7450e90c3464d59d5d077f26b71ab162
file			STS01-N1891		N1891_recal_reads.bam	Whole Exome Sequence File	WES reads to CanFam3.1 - STS01-N1891 matched normal	17891543274	a1edce148221b91fababf63ea4037b31
file			STS01-N1921		N1921_recal_reads.bai	Index File	WES reads to CanFam3.1 - STS01-N1921 matched normal	5209728	7c1d9891293b8d9036e0dd306e766aad
file			STS01-N1921		N1921_recal_reads.bam	Whole Exome Sequence File	WES reads to CanFam3.1 - STS01-N1921 matched normal	7654175854	3845a3ccf273a03d9505f0d5affd6e67
file			STS01-N1923		N1923_recal_reads.bai	Index File	WES reads to CanFam3.1 - STS01-N1923 matched normal	5313392	a0d322bbdf0f9a2c4b0fd92b6836defe
file			STS01-N1923		N1923_recal_reads.bam	Whole Exome Sequence File	WES reads to CanFam3.1 - STS01-N1923 matched normal	18070107527	3999938947589f34880a4f3099f9e15c
file			STS01-N1989		N1989_recal_reads.bai	Index File	WES reads to CanFam3.1 - STS01-N1989 matched normal	5250760	c226c5d972e58405e150227d284d3c3b
file			STS01-N1989		N1989_recal_reads.bam	Whole Exome Sequence File	WES reads to CanFam3.1 - STS01-N1989 matched normal	8674069613	16185c3cfb6850eb90fcd047bae0265a
file			STS01-N2063		N2063_recal_reads.bai	Index File	WES reads to CanFam3.1 - STS01-N2063 matched normal	5197920	206ab3d873aa9868582e40f195726e20
file			STS01-N2063		N2063_recal_reads.bam	Whole Exome Sequence File	WES reads to CanFam3.1 - STS01-N2063 matched normal	7899992145	1401a5bd007802d1d21a7bbf967389c5
