type	case.case_record_id	demographic_record_id	breed	patient_age_at_enrollment	date_of_birth	sex	neutered_indicator	weight
demographic	MGT01-406434	MGT01-406434	Shih Tzu	5	2005-06-06	Female	Unknown	
demographic	MGT01-76	MGT01-76	Staffordshire Bull Terrier	13.5	1990-11-02	Female	Yes	
demographic	MGT01-5	MGT01-5	Mixed Breed	4.6	1999-01-01	Female	Yes	
demographic	MGT01-159	MGT01-159	Labrador Retriever	10.5	1994-04-20	Female	No	
demographic	MGT01-341400	MGT01-341400	Mixed Breed	7.8	2002-06-01	Female	Yes	
demographic	MGT01-401188	MGT01-401188	Cocker Spaniel	7.5	2002-06-06	Female	Unknown	
demographic	MGT01-115	MGT01-115	Labrador Retriever	10.8	1993-11-10	Female	Yes	
demographic	MGT01-32510	MGT01-32510	Other			Female	Unknown	
demographic	MGT01-518	MGT01-518	Labrador Retriever	10.8	1995-08-16	Female	No	
demographic	MGT01-403802	MGT01-403802	German Shepherd Dog	4	2006-06-06	Female	Unknown	
demographic	MGT01-401130	MGT01-401130	Shih Tzu	8.8	2001-06-06	Female	Yes	
demographic	MGT01-402421	MGT01-402421	Australian Cattle Dog	11	1999-06-06	Female	No	
demographic	MGT01-31005	MGT01-31005	Mixed Breed	1.7	2003-08-10	Female	No	
