id	sample.id	UMI_barcode_offset	UMI_barcode_read	UMI_barcode_size	acl	authz	avg_read_length	cDNA_read	cDNA_read_offset	cDNA_read_size	cell_barcode_offset	cell_barcode_read	cell_barcode_size	checksum_algorithm	checksum_value	coverage	custom_assembly_fasta_file_for_alignment	dcf_indexd_guid	design_description	dissociation_method	end_bias	file_access	file_description	file_mapping_level	file_name	file_size	file_type	file_url	instrument_model	library_construction_method	library_id	library_layout	library_selection	library_source_material	library_source_molecule	library_strand	library_strategy	md5sum	number_of_bp	number_of_reads	platform	protocols_link	reference_genome_assembly	reverse_transcription_primer	sequence_alignment_software	sequencing_file_id	single_cell_entity	spike_in	study	total_number_of_input_cells	updated	type
phs002504::J221_J221_na_na_PG_R1_001.fastq.gz	phs002504::J221				['phs002504']	['/programs/phs002504']												dg.4DFC/6c2ef13a-030a-403a-8f1a-6a5a514fce75	DNA samples were sequenced using a custom amplicon-based targeted sequencing approach.			Controlled	PCR AMPLICON	Sample	J221_J221_na_na_PG_R1_001.fastq.gz	10901280	fastq	s3://cds-256-phs002504-sequencefiles-p30-fy20/J221_J221_na_na_PG_R1_001.fastq.gz	Illumina MiSeq		J221.Amplicon	Paired end	PCR	Not Reported	Genomic		AMPLICON	cf6fe50bef43b5941d45217e699197d2	150		Illumina					J221_J221_na_na_PG_R1_001.fastq.gz			phs002504			sequencing_file
phs002504::J221_J221_na_na_PG_R2_001.fastq.gz	phs002504::J221				['phs002504']	['/programs/phs002504']												dg.4DFC/f7d74fcb-f08f-4a07-9d8c-b40c05f367c3	DNA samples were sequenced using a custom amplicon-based targeted sequencing approach.			Controlled	PCR AMPLICON	Sample	J221_J221_na_na_PG_R2_001.fastq.gz	11001491	fastq	s3://cds-256-phs002504-sequencefiles-p30-fy20/J221_J221_na_na_PG_R2_001.fastq.gz	Illumina MiSeq		J221.Amplicon	Paired end	PCR	Not Reported	Genomic		AMPLICON	89e6567c9f4228cfcd3b19d66b3b2c1b	150		Illumina					J221_J221_na_na_PG_R2_001.fastq.gz			phs002504			sequencing_file
phs002504::J277_J277_na_na_PG_R1_001.fastq.gz	phs002504::J277				['phs002504']	['/programs/phs002504']												dg.4DFC/c376eb3d-d7b7-459e-9ac5-ca09e23091f7	DNA samples were sequenced using a custom amplicon-based targeted sequencing approach.			Controlled	PCR AMPLICON	Sample	J277_J277_na_na_PG_R1_001.fastq.gz	7693803	fastq	s3://cds-256-phs002504-sequencefiles-p30-fy20/J277_J277_na_na_PG_R1_001.fastq.gz	Illumina MiSeq		J277.Amplicon	Paired end	PCR	Not Reported	Genomic		AMPLICON	8af45a12bb0a8b587ae8d518df39015c	150		Illumina					J277_J277_na_na_PG_R1_001.fastq.gz			phs002504			sequencing_file
phs002504::J277_J277_na_na_PG_R2_001.fastq.gz	phs002504::J277				['phs002504']	['/programs/phs002504']												dg.4DFC/daa2a4b0-cdad-4311-9e93-b489f5bf0586	DNA samples were sequenced using a custom amplicon-based targeted sequencing approach.			Controlled	PCR AMPLICON	Sample	J277_J277_na_na_PG_R2_001.fastq.gz	7802293	fastq	s3://cds-256-phs002504-sequencefiles-p30-fy20/J277_J277_na_na_PG_R2_001.fastq.gz	Illumina MiSeq		J277.Amplicon	Paired end	PCR	Not Reported	Genomic		AMPLICON	2f6c289e078cef66909ce563fd28087a	150		Illumina					J277_J277_na_na_PG_R2_001.fastq.gz			phs002504			sequencing_file
phs002504::J300_J300_SR_na_na_PG_R1_001.fastq.gz	phs002504::J300_SR				['phs002504']	['/programs/phs002504']												dg.4DFC/235bc781-2aea-4960-85fb-1630ce0e7828	DNA samples were sequenced using a custom amplicon-based targeted sequencing approach.			Controlled	PCR AMPLICON	Sample	J300_J300_SR_na_na_PG_R1_001.fastq.gz	10544707	fastq	s3://cds-256-phs002504-sequencefiles-p30-fy20/J300_J300_SR_na_na_PG_R1_001.fastq.gz	Illumina MiSeq		J300_SR.Amplicon	Paired end	PCR	Not Reported	Genomic		AMPLICON	2f92f144156e8ce10e0ca446322aa54b	150		Illumina					J300_J300_SR_na_na_PG_R1_001.fastq.gz			phs002504			sequencing_file
phs002504::J300_J300_SR_na_na_PG_R2_001.fastq.gz	phs002504::J300_SR				['phs002504']	['/programs/phs002504']												dg.4DFC/5b468af0-22c8-4a0f-81f6-ca120fc24ea0	DNA samples were sequenced using a custom amplicon-based targeted sequencing approach.			Controlled	PCR AMPLICON	Sample	J300_J300_SR_na_na_PG_R2_001.fastq.gz	10692791	fastq	s3://cds-256-phs002504-sequencefiles-p30-fy20/J300_J300_SR_na_na_PG_R2_001.fastq.gz	Illumina MiSeq		J300_SR.Amplicon	Paired end	PCR	Not Reported	Genomic		AMPLICON	b4c35a0709aa9b57ecbf4c11a7c2238b	150		Illumina					J300_J300_SR_na_na_PG_R2_001.fastq.gz			phs002504			sequencing_file
phs002504::J302_J302_Dx_na_PG_R1_001.fastq.gz	phs002504::J302				['phs002504']	['/programs/phs002504']												dg.4DFC/a02aeb6d-6a1b-4456-af05-1082ded625db	DNA samples were sequenced using a custom amplicon-based targeted sequencing approach.			Controlled	PCR AMPLICON	Sample	J302_J302_Dx_na_PG_R1_001.fastq.gz	20820226	fastq	s3://cds-256-phs002504-sequencefiles-p30-fy20/J302_J302_Dx_na_PG_R1_001.fastq.gz	Illumina MiSeq		J302.Amplicon	Paired end	PCR	Not Reported	Genomic		AMPLICON	1555931eaf99a5243a0815c35c3d78ef	150		Illumina					J302_J302_Dx_na_PG_R1_001.fastq.gz			phs002504			sequencing_file
phs002504::J302_J302_Dx_na_PG_R2_001.fastq.gz	phs002504::J302				['phs002504']	['/programs/phs002504']												dg.4DFC/c06ab289-dee1-420c-8d78-7c75107ca911	DNA samples were sequenced using a custom amplicon-based targeted sequencing approach.			Controlled	PCR AMPLICON	Sample	J302_J302_Dx_na_PG_R2_001.fastq.gz	22220942	fastq	s3://cds-256-phs002504-sequencefiles-p30-fy20/J302_J302_Dx_na_PG_R2_001.fastq.gz	Illumina MiSeq		J302.Amplicon	Paired end	PCR	Not Reported	Genomic		AMPLICON	282f0a739b71c0279c4d6a990b753ecc	150		Illumina					J302_J302_Dx_na_PG_R2_001.fastq.gz			phs002504			sequencing_file
phs002504::J341_J341_Dx_na_PG_R1_001.fastq.gz	phs002504::J341				['phs002504']	['/programs/phs002504']												dg.4DFC/7ab00077-b920-4009-bbf5-0a072cc3b068	DNA samples were sequenced using a custom amplicon-based targeted sequencing approach.			Controlled	PCR AMPLICON	Sample	J341_J341_Dx_na_PG_R1_001.fastq.gz	74583602	fastq	s3://cds-256-phs002504-sequencefiles-p30-fy20/J341_J341_Dx_na_PG_R1_001.fastq.gz	Illumina MiSeq		J341.Amplicon	Paired end	PCR	Not Reported	Genomic		AMPLICON	d2b563252d50b062beb3b9f40f2ab94f	150		Illumina					J341_J341_Dx_na_PG_R1_001.fastq.gz			phs002504			sequencing_file
phs002504::J341_J341_Dx_na_PG_R2_001.fastq.gz	phs002504::J341				['phs002504']	['/programs/phs002504']												dg.4DFC/2898d354-0aef-4827-9714-a2d108491e7d	DNA samples were sequenced using a custom amplicon-based targeted sequencing approach.			Controlled	PCR AMPLICON	Sample	J341_J341_Dx_na_PG_R2_001.fastq.gz	77734536	fastq	s3://cds-256-phs002504-sequencefiles-p30-fy20/J341_J341_Dx_na_PG_R2_001.fastq.gz	Illumina MiSeq		J341.Amplicon	Paired end	PCR	Not Reported	Genomic		AMPLICON	b55fd4832a3d96b85807a69d167ce910	150		Illumina					J341_J341_Dx_na_PG_R2_001.fastq.gz			phs002504			sequencing_file
phs002504::J374_J374_na_na_PG_R1_001.fastq.gz	phs002504::J374				['phs002504']	['/programs/phs002504']												dg.4DFC/82f07f67-671c-45d5-a485-aff7dcbcd5f5	DNA samples were sequenced using a custom amplicon-based targeted sequencing approach.			Controlled	PCR AMPLICON	Sample	J374_J374_na_na_PG_R1_001.fastq.gz	9836392	fastq	s3://cds-256-phs002504-sequencefiles-p30-fy20/J374_J374_na_na_PG_R1_001.fastq.gz	Illumina MiSeq		J374.Amplicon	Paired end	PCR	Not Reported	Genomic		AMPLICON	a40cc286c7528b74f549fd4be91f1f30	150		Illumina					J374_J374_na_na_PG_R1_001.fastq.gz			phs002504			sequencing_file
phs002504::J374_J374_na_na_PG_R2_001.fastq.gz	phs002504::J374				['phs002504']	['/programs/phs002504']												dg.4DFC/0bbf0807-a257-4375-913f-30cad2c4ea10	DNA samples were sequenced using a custom amplicon-based targeted sequencing approach.			Controlled	PCR AMPLICON	Sample	J374_J374_na_na_PG_R2_001.fastq.gz	10003536	fastq	s3://cds-256-phs002504-sequencefiles-p30-fy20/J374_J374_na_na_PG_R2_001.fastq.gz	Illumina MiSeq		J374.Amplicon	Paired end	PCR	Not Reported	Genomic		AMPLICON	de172d68a919bde341e85bd5d3d2e759	150		Illumina					J374_J374_na_na_PG_R2_001.fastq.gz			phs002504			sequencing_file
phs002504::J397_J397_na_na_PG_R1_001.fastq.gz	phs002504::J397				['phs002504']	['/programs/phs002504']												dg.4DFC/861809bd-3c8c-4d3f-a6e5-93f0992c9432	DNA samples were sequenced using a custom amplicon-based targeted sequencing approach.			Controlled	PCR AMPLICON	Sample	J397_J397_na_na_PG_R1_001.fastq.gz	8874920	fastq	s3://cds-256-phs002504-sequencefiles-p30-fy20/J397_J397_na_na_PG_R1_001.fastq.gz	Illumina MiSeq		J397.Amplicon	Paired end	PCR	Not Reported	Genomic		AMPLICON	d879a35332bc9d3ac92a80fa739029f9	150		Illumina					J397_J397_na_na_PG_R1_001.fastq.gz			phs002504			sequencing_file
phs002504::J397_J397_na_na_PG_R2_001.fastq.gz	phs002504::J397				['phs002504']	['/programs/phs002504']												dg.4DFC/38767cb0-9efc-4c6b-9ffc-3b0626f7a543	DNA samples were sequenced using a custom amplicon-based targeted sequencing approach.			Controlled	PCR AMPLICON	Sample	J397_J397_na_na_PG_R2_001.fastq.gz	9061910	fastq	s3://cds-256-phs002504-sequencefiles-p30-fy20/J397_J397_na_na_PG_R2_001.fastq.gz	Illumina MiSeq		J397.Amplicon	Paired end	PCR	Not Reported	Genomic		AMPLICON	50cd64ae2bfa0a78decc0cb974b561e7	150		Illumina					J397_J397_na_na_PG_R2_001.fastq.gz			phs002504			sequencing_file
phs002504::SJAML040915_D1.bam	phs002504::SJAML040915_D1				['phs002504']	['/programs/phs002504']	91.0									48.55121336		dg.4DFC/3f35fe9a-d250-440e-a7ed-abb9953a0a14	RNA and DNA library construction for RNA and whole-exome DNA sequencing was performed according to the manufacturer's instructions using the Illumina TruSeq RNA sample preparation V2 and Nextera rapid capture exome kits, respectively. Sequencing was completed on the Illumina HiSeq 2000 according to the manufacturer's instructions. :: PMID: 34939322			Controlled	PCR WXS	Sample	SJAML040915_D1.bam	11026062478	bam	s3://cds-256-phs002504-sequencefiles-p30-fy20/SJAML040915_D1.bam	Illumina HiSeq 2000		SJAML040915_D1.WXS	Paired end	PCR	Not Reported	Genomic		WXS	63d3a38e11d6fb5bb8b81bc841d7cceb	160000000000	176105341	Illumina		GRCh37			SJAML040915_D1.bam			phs002504			sequencing_file
