library_id	bases	number_of_reads	avg_read_length	reference_genome_assembly	design_description	library_strategy	library_layout	library_source	library_selection	platform	instrument_model	type	genomic_info_id	file.file_id
G9611A_5190-6213_HCI001_pdx_P3_XXX_WXS_10960X1	2881703125	23053625	125	GRCh37	Agilent SureSelect Human All Exon + UTR (v5); Library construction is performed using the Agilent Technologies SureSelect XT Reagent Kit, HSQ (cat # G9611A) as described below.  Briefly, genomic DNA (approximately 200 ng to 3 ug) is sheared in a 130 ul volume using a Covaris S2 Focused-ultrasonicator with the following settings: Intensity 5.0; Duty Cycle 10%25; Cycles per Burst 200; Treatment Time 6:00 minutes.  Sheared DNA is converted to blunt-ended fragments with 5'-phosphates and 3'-hydroxyl groups using a combination of enzymes that perform fill-in reactions and exhibit exonuclease activity.  An A-base is added to the blunt-ended DNA as a means to prepare the fragments for adapter ligation and to block concatamer formation during the ligation step.  Adapters containing a T-base overhang are ligated to the A-tailed DNA fragments.  Ligated fragments are PCR-amplified (6 cycles) and the amplified library is purified using Agencourt AMPure XP beads.  The concentration of the amplified library is measured on a NanoDrop spectrophotometer and an aliquot of the library is resolved on an Agilent 2200 Tape Station using a D1K (cat# 5067-5361 and 5067-5362)assay to define the size range. Amplified libraries (750 ng) are hybridized with biotinilyated RNA baits from the Agilent Technologies SureSelect(XT) Human All Exon v5 plus UTRs kit  (5190-6213).  Library molecules hybridized to the SureSelect baits are purified using Dynabeads MyOne Streptavidin T1 (Life Technologies cat# 65601).  Index tags are added to the adapters of the captured library by pcr (10 cycles) using Agilent Herculase II Fusion DNA polymerase (600677) and primers from the Agilent Technologies SureSelect XT Reagent Kit and the amplified library is purified using Agencourt AMPure XP beads.  The concentration of the amplified, exome-enriched library is  measured using the Invitrogen Qubit dsDNA HS Assay (Q32851) and an aliquot of the library is resolved on an Agilent 2200 Tape Station using a D1K (cat# 5067-5361 and 5067-5362) or a High Sensitivity D1K (cat# 5067-5363 and 5067-5364) assay to define the size distribution of the sequencing library.  Libraries are adjusted to a concentration of approximately 5 nM and quantitative PCR is performed using the KapaBiosystems Kapa Library Quant Kit (cat# KK4824) to calculate the molarity of adapter ligated library molecules.  The concentration is further adjusted following qPCR to prepare the library for Illumina sequence analysis.	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/7c9a9580-c78e-11ee-862a-3b960695c021_G9611A_5190-6213_HCI001_pdx_P3_XXX_WXS_10960X1	dg.4DFC/7c9a9580-c78e-11ee-862a-3b960695c021
G9611A_5190-6213_HCI001_pdx_P3_XXX_WXS_10960X1	2881703125	23053625	125	GRCh37	Agilent SureSelect Human All Exon + UTR (v5); Library construction is performed using the Agilent Technologies SureSelect XT Reagent Kit, HSQ (cat # G9611A) as described below.  Briefly, genomic DNA (approximately 200 ng to 3 ug) is sheared in a 130 ul volume using a Covaris S2 Focused-ultrasonicator with the following settings: Intensity 5.0; Duty Cycle 10%25; Cycles per Burst 200; Treatment Time 6:00 minutes.  Sheared DNA is converted to blunt-ended fragments with 5'-phosphates and 3'-hydroxyl groups using a combination of enzymes that perform fill-in reactions and exhibit exonuclease activity.  An A-base is added to the blunt-ended DNA as a means to prepare the fragments for adapter ligation and to block concatamer formation during the ligation step.  Adapters containing a T-base overhang are ligated to the A-tailed DNA fragments.  Ligated fragments are PCR-amplified (6 cycles) and the amplified library is purified using Agencourt AMPure XP beads.  The concentration of the amplified library is measured on a NanoDrop spectrophotometer and an aliquot of the library is resolved on an Agilent 2200 Tape Station using a D1K (cat# 5067-5361 and 5067-5362)assay to define the size range. Amplified libraries (750 ng) are hybridized with biotinilyated RNA baits from the Agilent Technologies SureSelect(XT) Human All Exon v5 plus UTRs kit  (5190-6213).  Library molecules hybridized to the SureSelect baits are purified using Dynabeads MyOne Streptavidin T1 (Life Technologies cat# 65601).  Index tags are added to the adapters of the captured library by pcr (10 cycles) using Agilent Herculase II Fusion DNA polymerase (600677) and primers from the Agilent Technologies SureSelect XT Reagent Kit and the amplified library is purified using Agencourt AMPure XP beads.  The concentration of the amplified, exome-enriched library is  measured using the Invitrogen Qubit dsDNA HS Assay (Q32851) and an aliquot of the library is resolved on an Agilent 2200 Tape Station using a D1K (cat# 5067-5361 and 5067-5362) or a High Sensitivity D1K (cat# 5067-5363 and 5067-5364) assay to define the size distribution of the sequencing library.  Libraries are adjusted to a concentration of approximately 5 nM and quantitative PCR is performed using the KapaBiosystems Kapa Library Quant Kit (cat# KK4824) to calculate the molarity of adapter ligated library molecules.  The concentration is further adjusted following qPCR to prepare the library for Illumina sequence analysis.	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/7c9ab8f8-c78e-11ee-a217-37e25e04e1e1_G9611A_5190-6213_HCI001_pdx_P3_XXX_WXS_10960X1	dg.4DFC/7c9ab8f8-c78e-11ee-a217-37e25e04e1e1
G9611A_5190-6213_HCI001_pdx_P7_XXX_WXS_10960X2	2526549500	20212396	125	GRCh37	Agilent SureSelect Human All Exon + UTR (v5); Library construction is performed using the Agilent Technologies SureSelect XT Reagent Kit, HSQ (cat # G9611A) as described below.  Briefly, genomic DNA (approximately 200 ng to 3 ug) is sheared in a 130 ul volume using a Covaris S2 Focused-ultrasonicator with the following settings: Intensity 5.0; Duty Cycle 10%25; Cycles per Burst 200; Treatment Time 6:00 minutes.  Sheared DNA is converted to blunt-ended fragments with 5'-phosphates and 3'-hydroxyl groups using a combination of enzymes that perform fill-in reactions and exhibit exonuclease activity.  An A-base is added to the blunt-ended DNA as a means to prepare the fragments for adapter ligation and to block concatamer formation during the ligation step.  Adapters containing a T-base overhang are ligated to the A-tailed DNA fragments.  Ligated fragments are PCR-amplified (6 cycles) and the amplified library is purified using Agencourt AMPure XP beads.  The concentration of the amplified library is measured on a NanoDrop spectrophotometer and an aliquot of the library is resolved on an Agilent 2200 Tape Station using a D1K (cat# 5067-5361 and 5067-5362)assay to define the size range. Amplified libraries (750 ng) are hybridized with biotinilyated RNA baits from the Agilent Technologies SureSelect(XT) Human All Exon v5 plus UTRs kit  (5190-6213).  Library molecules hybridized to the SureSelect baits are purified using Dynabeads MyOne Streptavidin T1 (Life Technologies cat# 65601).  Index tags are added to the adapters of the captured library by pcr (10 cycles) using Agilent Herculase II Fusion DNA polymerase (600677) and primers from the Agilent Technologies SureSelect XT Reagent Kit and the amplified library is purified using Agencourt AMPure XP beads.  The concentration of the amplified, exome-enriched library is  measured using the Invitrogen Qubit dsDNA HS Assay (Q32851) and an aliquot of the library is resolved on an Agilent 2200 Tape Station using a D1K (cat# 5067-5361 and 5067-5362) or a High Sensitivity D1K (cat# 5067-5363 and 5067-5364) assay to define the size distribution of the sequencing library.  Libraries are adjusted to a concentration of approximately 5 nM and quantitative PCR is performed using the KapaBiosystems Kapa Library Quant Kit (cat# KK4824) to calculate the molarity of adapter ligated library molecules.  The concentration is further adjusted following qPCR to prepare the library for Illumina sequence analysis.	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/7c9adca2-c78e-11ee-b894-3b91a1d0d7d9_G9611A_5190-6213_HCI001_pdx_P7_XXX_WXS_10960X2	dg.4DFC/7c9adca2-c78e-11ee-b894-3b91a1d0d7d9
G9611A_5190-6213_HCI001_pdx_P7_XXX_WXS_10960X2	2526549500	20212396	125	GRCh37	Agilent SureSelect Human All Exon + UTR (v5); Library construction is performed using the Agilent Technologies SureSelect XT Reagent Kit, HSQ (cat # G9611A) as described below.  Briefly, genomic DNA (approximately 200 ng to 3 ug) is sheared in a 130 ul volume using a Covaris S2 Focused-ultrasonicator with the following settings: Intensity 5.0; Duty Cycle 10%25; Cycles per Burst 200; Treatment Time 6:00 minutes.  Sheared DNA is converted to blunt-ended fragments with 5'-phosphates and 3'-hydroxyl groups using a combination of enzymes that perform fill-in reactions and exhibit exonuclease activity.  An A-base is added to the blunt-ended DNA as a means to prepare the fragments for adapter ligation and to block concatamer formation during the ligation step.  Adapters containing a T-base overhang are ligated to the A-tailed DNA fragments.  Ligated fragments are PCR-amplified (6 cycles) and the amplified library is purified using Agencourt AMPure XP beads.  The concentration of the amplified library is measured on a NanoDrop spectrophotometer and an aliquot of the library is resolved on an Agilent 2200 Tape Station using a D1K (cat# 5067-5361 and 5067-5362)assay to define the size range. Amplified libraries (750 ng) are hybridized with biotinilyated RNA baits from the Agilent Technologies SureSelect(XT) Human All Exon v5 plus UTRs kit  (5190-6213).  Library molecules hybridized to the SureSelect baits are purified using Dynabeads MyOne Streptavidin T1 (Life Technologies cat# 65601).  Index tags are added to the adapters of the captured library by pcr (10 cycles) using Agilent Herculase II Fusion DNA polymerase (600677) and primers from the Agilent Technologies SureSelect XT Reagent Kit and the amplified library is purified using Agencourt AMPure XP beads.  The concentration of the amplified, exome-enriched library is  measured using the Invitrogen Qubit dsDNA HS Assay (Q32851) and an aliquot of the library is resolved on an Agilent 2200 Tape Station using a D1K (cat# 5067-5361 and 5067-5362) or a High Sensitivity D1K (cat# 5067-5363 and 5067-5364) assay to define the size distribution of the sequencing library.  Libraries are adjusted to a concentration of approximately 5 nM and quantitative PCR is performed using the KapaBiosystems Kapa Library Quant Kit (cat# KK4824) to calculate the molarity of adapter ligated library molecules.  The concentration is further adjusted following qPCR to prepare the library for Illumina sequence analysis.	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/7c9b0470-c78e-11ee-88e7-e3bd39244420_G9611A_5190-6213_HCI001_pdx_P7_XXX_WXS_10960X2	dg.4DFC/7c9b0470-c78e-11ee-88e7-e3bd39244420
G9611A_5190-6213_HCI002_pdx_P3_XXX_WXS_10960X3	2472354125	19778833	125	GRCh37	Agilent SureSelect Human All Exon + UTR (v5); Library construction is performed using the Agilent Technologies SureSelect XT Reagent Kit, HSQ (cat # G9611A) as described below.  Briefly, genomic DNA (approximately 200 ng to 3 ug) is sheared in a 130 ul volume using a Covaris S2 Focused-ultrasonicator with the following settings: Intensity 5.0; Duty Cycle 10%25; Cycles per Burst 200; Treatment Time 6:00 minutes.  Sheared DNA is converted to blunt-ended fragments with 5'-phosphates and 3'-hydroxyl groups using a combination of enzymes that perform fill-in reactions and exhibit exonuclease activity.  An A-base is added to the blunt-ended DNA as a means to prepare the fragments for adapter ligation and to block concatamer formation during the ligation step.  Adapters containing a T-base overhang are ligated to the A-tailed DNA fragments.  Ligated fragments are PCR-amplified (6 cycles) and the amplified library is purified using Agencourt AMPure XP beads.  The concentration of the amplified library is measured on a NanoDrop spectrophotometer and an aliquot of the library is resolved on an Agilent 2200 Tape Station using a D1K (cat# 5067-5361 and 5067-5362)assay to define the size range. Amplified libraries (750 ng) are hybridized with biotinilyated RNA baits from the Agilent Technologies SureSelect(XT) Human All Exon v5 plus UTRs kit  (5190-6213).  Library molecules hybridized to the SureSelect baits are purified using Dynabeads MyOne Streptavidin T1 (Life Technologies cat# 65601).  Index tags are added to the adapters of the captured library by pcr (10 cycles) using Agilent Herculase II Fusion DNA polymerase (600677) and primers from the Agilent Technologies SureSelect XT Reagent Kit and the amplified library is purified using Agencourt AMPure XP beads.  The concentration of the amplified, exome-enriched library is  measured using the Invitrogen Qubit dsDNA HS Assay (Q32851) and an aliquot of the library is resolved on an Agilent 2200 Tape Station using a D1K (cat# 5067-5361 and 5067-5362) or a High Sensitivity D1K (cat# 5067-5363 and 5067-5364) assay to define the size distribution of the sequencing library.  Libraries are adjusted to a concentration of approximately 5 nM and quantitative PCR is performed using the KapaBiosystems Kapa Library Quant Kit (cat# KK4824) to calculate the molarity of adapter ligated library molecules.  The concentration is further adjusted following qPCR to prepare the library for Illumina sequence analysis.	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/7c9c14aa-c78e-11ee-965b-ab5d63a9bc4f_G9611A_5190-6213_HCI002_pdx_P3_XXX_WXS_10960X3	dg.4DFC/7c9c14aa-c78e-11ee-965b-ab5d63a9bc4f
G9611A_5190-6213_HCI002_pdx_P3_XXX_WXS_10960X3	2472354125	19778833	125	GRCh37	Agilent SureSelect Human All Exon + UTR (v5); Library construction is performed using the Agilent Technologies SureSelect XT Reagent Kit, HSQ (cat # G9611A) as described below.  Briefly, genomic DNA (approximately 200 ng to 3 ug) is sheared in a 130 ul volume using a Covaris S2 Focused-ultrasonicator with the following settings: Intensity 5.0; Duty Cycle 10%25; Cycles per Burst 200; Treatment Time 6:00 minutes.  Sheared DNA is converted to blunt-ended fragments with 5'-phosphates and 3'-hydroxyl groups using a combination of enzymes that perform fill-in reactions and exhibit exonuclease activity.  An A-base is added to the blunt-ended DNA as a means to prepare the fragments for adapter ligation and to block concatamer formation during the ligation step.  Adapters containing a T-base overhang are ligated to the A-tailed DNA fragments.  Ligated fragments are PCR-amplified (6 cycles) and the amplified library is purified using Agencourt AMPure XP beads.  The concentration of the amplified library is measured on a NanoDrop spectrophotometer and an aliquot of the library is resolved on an Agilent 2200 Tape Station using a D1K (cat# 5067-5361 and 5067-5362)assay to define the size range. Amplified libraries (750 ng) are hybridized with biotinilyated RNA baits from the Agilent Technologies SureSelect(XT) Human All Exon v5 plus UTRs kit  (5190-6213).  Library molecules hybridized to the SureSelect baits are purified using Dynabeads MyOne Streptavidin T1 (Life Technologies cat# 65601).  Index tags are added to the adapters of the captured library by pcr (10 cycles) using Agilent Herculase II Fusion DNA polymerase (600677) and primers from the Agilent Technologies SureSelect XT Reagent Kit and the amplified library is purified using Agencourt AMPure XP beads.  The concentration of the amplified, exome-enriched library is  measured using the Invitrogen Qubit dsDNA HS Assay (Q32851) and an aliquot of the library is resolved on an Agilent 2200 Tape Station using a D1K (cat# 5067-5361 and 5067-5362) or a High Sensitivity D1K (cat# 5067-5363 and 5067-5364) assay to define the size distribution of the sequencing library.  Libraries are adjusted to a concentration of approximately 5 nM and quantitative PCR is performed using the KapaBiosystems Kapa Library Quant Kit (cat# KK4824) to calculate the molarity of adapter ligated library molecules.  The concentration is further adjusted following qPCR to prepare the library for Illumina sequence analysis.	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/7c9c3cdc-c78e-11ee-a85d-632514681b2c_G9611A_5190-6213_HCI002_pdx_P3_XXX_WXS_10960X3	dg.4DFC/7c9c3cdc-c78e-11ee-a85d-632514681b2c
G9611A_5190-6213_HCI003_pdx_P3_XXX_WXS_10960X5	2484944125	19879553	125	GRCh37	Agilent SureSelect Human All Exon + UTR (v5); Library construction is performed using the Agilent Technologies SureSelect XT Reagent Kit, HSQ (cat # G9611A) as described below.  Briefly, genomic DNA (approximately 200 ng to 3 ug) is sheared in a 130 ul volume using a Covaris S2 Focused-ultrasonicator with the following settings: Intensity 5.0; Duty Cycle 10%25; Cycles per Burst 200; Treatment Time 6:00 minutes.  Sheared DNA is converted to blunt-ended fragments with 5'-phosphates and 3'-hydroxyl groups using a combination of enzymes that perform fill-in reactions and exhibit exonuclease activity.  An A-base is added to the blunt-ended DNA as a means to prepare the fragments for adapter ligation and to block concatamer formation during the ligation step.  Adapters containing a T-base overhang are ligated to the A-tailed DNA fragments.  Ligated fragments are PCR-amplified (6 cycles) and the amplified library is purified using Agencourt AMPure XP beads.  The concentration of the amplified library is measured on a NanoDrop spectrophotometer and an aliquot of the library is resolved on an Agilent 2200 Tape Station using a D1K (cat# 5067-5361 and 5067-5362)assay to define the size range. Amplified libraries (750 ng) are hybridized with biotinilyated RNA baits from the Agilent Technologies SureSelect(XT) Human All Exon v5 plus UTRs kit  (5190-6213).  Library molecules hybridized to the SureSelect baits are purified using Dynabeads MyOne Streptavidin T1 (Life Technologies cat# 65601).  Index tags are added to the adapters of the captured library by pcr (10 cycles) using Agilent Herculase II Fusion DNA polymerase (600677) and primers from the Agilent Technologies SureSelect XT Reagent Kit and the amplified library is purified using Agencourt AMPure XP beads.  The concentration of the amplified, exome-enriched library is  measured using the Invitrogen Qubit dsDNA HS Assay (Q32851) and an aliquot of the library is resolved on an Agilent 2200 Tape Station using a D1K (cat# 5067-5361 and 5067-5362) or a High Sensitivity D1K (cat# 5067-5363 and 5067-5364) assay to define the size distribution of the sequencing library.  Libraries are adjusted to a concentration of approximately 5 nM and quantitative PCR is performed using the KapaBiosystems Kapa Library Quant Kit (cat# KK4824) to calculate the molarity of adapter ligated library molecules.  The concentration is further adjusted following qPCR to prepare the library for Illumina sequence analysis.	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/7c9d9b90-c78e-11ee-bb37-174ca43d15fb_G9611A_5190-6213_HCI003_pdx_P3_XXX_WXS_10960X5	dg.4DFC/7c9d9b90-c78e-11ee-bb37-174ca43d15fb
G9611A_5190-6213_HCI003_pdx_P3_XXX_WXS_10960X5	2484944125	19879553	125	GRCh37	Agilent SureSelect Human All Exon + UTR (v5); Library construction is performed using the Agilent Technologies SureSelect XT Reagent Kit, HSQ (cat # G9611A) as described below.  Briefly, genomic DNA (approximately 200 ng to 3 ug) is sheared in a 130 ul volume using a Covaris S2 Focused-ultrasonicator with the following settings: Intensity 5.0; Duty Cycle 10%25; Cycles per Burst 200; Treatment Time 6:00 minutes.  Sheared DNA is converted to blunt-ended fragments with 5'-phosphates and 3'-hydroxyl groups using a combination of enzymes that perform fill-in reactions and exhibit exonuclease activity.  An A-base is added to the blunt-ended DNA as a means to prepare the fragments for adapter ligation and to block concatamer formation during the ligation step.  Adapters containing a T-base overhang are ligated to the A-tailed DNA fragments.  Ligated fragments are PCR-amplified (6 cycles) and the amplified library is purified using Agencourt AMPure XP beads.  The concentration of the amplified library is measured on a NanoDrop spectrophotometer and an aliquot of the library is resolved on an Agilent 2200 Tape Station using a D1K (cat# 5067-5361 and 5067-5362)assay to define the size range. Amplified libraries (750 ng) are hybridized with biotinilyated RNA baits from the Agilent Technologies SureSelect(XT) Human All Exon v5 plus UTRs kit  (5190-6213).  Library molecules hybridized to the SureSelect baits are purified using Dynabeads MyOne Streptavidin T1 (Life Technologies cat# 65601).  Index tags are added to the adapters of the captured library by pcr (10 cycles) using Agilent Herculase II Fusion DNA polymerase (600677) and primers from the Agilent Technologies SureSelect XT Reagent Kit and the amplified library is purified using Agencourt AMPure XP beads.  The concentration of the amplified, exome-enriched library is  measured using the Invitrogen Qubit dsDNA HS Assay (Q32851) and an aliquot of the library is resolved on an Agilent 2200 Tape Station using a D1K (cat# 5067-5361 and 5067-5362) or a High Sensitivity D1K (cat# 5067-5363 and 5067-5364) assay to define the size distribution of the sequencing library.  Libraries are adjusted to a concentration of approximately 5 nM and quantitative PCR is performed using the KapaBiosystems Kapa Library Quant Kit (cat# KK4824) to calculate the molarity of adapter ligated library molecules.  The concentration is further adjusted following qPCR to prepare the library for Illumina sequence analysis.	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/7c9dc016-c78e-11ee-aa23-1bd6e61fe032_G9611A_5190-6213_HCI003_pdx_P3_XXX_WXS_10960X5	dg.4DFC/7c9dc016-c78e-11ee-aa23-1bd6e61fe032
G9611A_5190-6213_HCI004_pdx_P3_XXX_WXS_10960X7	2240230000	17921840	125	GRCh37	Agilent SureSelect Human All Exon + UTR (v5); Library construction is performed using the Agilent Technologies SureSelect XT Reagent Kit, HSQ (cat # G9611A) as described below.  Briefly, genomic DNA (approximately 200 ng to 3 ug) is sheared in a 130 ul volume using a Covaris S2 Focused-ultrasonicator with the following settings: Intensity 5.0; Duty Cycle 10%25; Cycles per Burst 200; Treatment Time 6:00 minutes.  Sheared DNA is converted to blunt-ended fragments with 5'-phosphates and 3'-hydroxyl groups using a combination of enzymes that perform fill-in reactions and exhibit exonuclease activity.  An A-base is added to the blunt-ended DNA as a means to prepare the fragments for adapter ligation and to block concatamer formation during the ligation step.  Adapters containing a T-base overhang are ligated to the A-tailed DNA fragments.  Ligated fragments are PCR-amplified (6 cycles) and the amplified library is purified using Agencourt AMPure XP beads.  The concentration of the amplified library is measured on a NanoDrop spectrophotometer and an aliquot of the library is resolved on an Agilent 2200 Tape Station using a D1K (cat# 5067-5361 and 5067-5362)assay to define the size range. Amplified libraries (750 ng) are hybridized with biotinilyated RNA baits from the Agilent Technologies SureSelect(XT) Human All Exon v5 plus UTRs kit  (5190-6213).  Library molecules hybridized to the SureSelect baits are purified using Dynabeads MyOne Streptavidin T1 (Life Technologies cat# 65601).  Index tags are added to the adapters of the captured library by pcr (10 cycles) using Agilent Herculase II Fusion DNA polymerase (600677) and primers from the Agilent Technologies SureSelect XT Reagent Kit and the amplified library is purified using Agencourt AMPure XP beads.  The concentration of the amplified, exome-enriched library is  measured using the Invitrogen Qubit dsDNA HS Assay (Q32851) and an aliquot of the library is resolved on an Agilent 2200 Tape Station using a D1K (cat# 5067-5361 and 5067-5362) or a High Sensitivity D1K (cat# 5067-5363 and 5067-5364) assay to define the size distribution of the sequencing library.  Libraries are adjusted to a concentration of approximately 5 nM and quantitative PCR is performed using the KapaBiosystems Kapa Library Quant Kit (cat# KK4824) to calculate the molarity of adapter ligated library molecules.  The concentration is further adjusted following qPCR to prepare the library for Illumina sequence analysis.	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/7c9ed654-c78e-11ee-9133-b34e492873a7_G9611A_5190-6213_HCI004_pdx_P3_XXX_WXS_10960X7	dg.4DFC/7c9ed654-c78e-11ee-9133-b34e492873a7
G9611A_5190-6213_HCI004_pdx_P3_XXX_WXS_10960X7	2240230000	17921840	125	GRCh37	Agilent SureSelect Human All Exon + UTR (v5); Library construction is performed using the Agilent Technologies SureSelect XT Reagent Kit, HSQ (cat # G9611A) as described below.  Briefly, genomic DNA (approximately 200 ng to 3 ug) is sheared in a 130 ul volume using a Covaris S2 Focused-ultrasonicator with the following settings: Intensity 5.0; Duty Cycle 10%25; Cycles per Burst 200; Treatment Time 6:00 minutes.  Sheared DNA is converted to blunt-ended fragments with 5'-phosphates and 3'-hydroxyl groups using a combination of enzymes that perform fill-in reactions and exhibit exonuclease activity.  An A-base is added to the blunt-ended DNA as a means to prepare the fragments for adapter ligation and to block concatamer formation during the ligation step.  Adapters containing a T-base overhang are ligated to the A-tailed DNA fragments.  Ligated fragments are PCR-amplified (6 cycles) and the amplified library is purified using Agencourt AMPure XP beads.  The concentration of the amplified library is measured on a NanoDrop spectrophotometer and an aliquot of the library is resolved on an Agilent 2200 Tape Station using a D1K (cat# 5067-5361 and 5067-5362)assay to define the size range. Amplified libraries (750 ng) are hybridized with biotinilyated RNA baits from the Agilent Technologies SureSelect(XT) Human All Exon v5 plus UTRs kit  (5190-6213).  Library molecules hybridized to the SureSelect baits are purified using Dynabeads MyOne Streptavidin T1 (Life Technologies cat# 65601).  Index tags are added to the adapters of the captured library by pcr (10 cycles) using Agilent Herculase II Fusion DNA polymerase (600677) and primers from the Agilent Technologies SureSelect XT Reagent Kit and the amplified library is purified using Agencourt AMPure XP beads.  The concentration of the amplified, exome-enriched library is  measured using the Invitrogen Qubit dsDNA HS Assay (Q32851) and an aliquot of the library is resolved on an Agilent 2200 Tape Station using a D1K (cat# 5067-5361 and 5067-5362) or a High Sensitivity D1K (cat# 5067-5363 and 5067-5364) assay to define the size distribution of the sequencing library.  Libraries are adjusted to a concentration of approximately 5 nM and quantitative PCR is performed using the KapaBiosystems Kapa Library Quant Kit (cat# KK4824) to calculate the molarity of adapter ligated library molecules.  The concentration is further adjusted following qPCR to prepare the library for Illumina sequence analysis.	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/7c9efe2c-c78e-11ee-925d-37f6477caa8c_G9611A_5190-6213_HCI004_pdx_P3_XXX_WXS_10960X7	dg.4DFC/7c9efe2c-c78e-11ee-925d-37f6477caa8c
