type	cell_line_id	source	id	study.id	sample.id
cell_line	COG-N-415x	COG-N-415x	018d30fb-5b47-58bb-8c38-a37fcef179f4		df11c469-23c2-5ba3-af9e-8dd77d022ff8
cell_line	CHLA-15	CHLA-15	057fe40e-25db-5d3e-96fd-344870a8fc0c		d474d46c-e835-52ff-9f7e-ae7f0179bae2
cell_line	COG-N-421x	COG-N-421x	13449b4c-95f8-5a9c-b4ed-422eb35d1ccd		cfb584a4-0666-5d2d-abda-ecec8b346233
cell_line	COG-N-421h	COG-N-421h	1535df72-dbac-5da2-85aa-ec1e2088a000		79c0b349-c3b4-5cae-9c84-0c3fedb7fb62
cell_line	COG-V-450	COG-V-450	28ec8724-439d-5aa4-a0a3-afa14be30428		fa6146e8-21f9-5734-83ab-2467df217054
cell_line	COG-V-427	COG-V-427	29342474-2209-56aa-b3c0-72a8862075fb		5a7cf141-17b8-5193-a1c3-c80c1f169ea7
cell_line	COG-FB-451	COG-FB-451	3651369e-d12f-5d53-ad1c-1fd59a87250a		d6e9a5e6-f244-5733-b1ca-6d6087337171
cell_line	CHLA-122_cell	CHLA-122	372b9b80-0e3f-5abd-825f-558dac9d3389		540a6256-27c9-579d-a1d4-4a2866d4f62d
cell_line	CHLA-16	CHLA-16	3cf26c80-cd13-5bb4-86a6-c6c51b03a737		a3c9428f-7847-5bbe-8718-ec3ec719536e
cell_line	COG-V-429	COG-V-429	52d6276a-abdb-53df-945f-418fd33efac9		d0c97f34-47b0-56cf-97a0-c3562c75d4ea
cell_line	SMS-KCN	SMS-KCN	62e2aee7-c83a-52be-82fe-5feeaeaf0dd0		73cca42c-0817-559f-81b4-20593c189755
cell_line	CHLA-144	CHLA-144	6ed4fa02-2b27-5924-b904-e2566c36e950		4412dba5-4c92-55e8-9ca3-93c43cdbb35c
cell_line	SMS-KCL	SMS-KCL	786e8e69-adda-5798-96c4-328ee921625e		244f215e-0d07-558b-856c-3eea4818bd52
cell_line	COG-N-426	COG-N-426	7c587c64-7422-5e55-be93-a38748da1acb		0f7de20f-58e0-5268-8f03-c791c4da075b
cell_line	COG-N-426h	COG-N-426h	8ebc3810-8691-5662-9f60-e422a3a53b67		9f2850dd-f8b1-5f7c-ad32-103c88bf20d9
cell_line	COG-N-415h	COG-N-415h	a500bb24-f8c9-512a-bbf8-9394a7f14c34		eb7d8bf4-63df-5bf7-a511-8f6558d6eb29
cell_line	CHLA-145	CHLA-145	ad6e016e-a799-55a1-a0f9-ee9d995bc5a9		c74c57ad-172e-58bc-9c56-cedd9b5fa02e
cell_line	COG-N-421	COG-N-421	ad8aef10-0a78-5eb5-b84d-2f84e329c15f		c58d5b7b-a87a-5426-a16a-79b9aadeaa36
cell_line	COG-V-423	COG-V-423	b53e3de2-d9c8-5d62-a026-a3ea56fa17e9		0bbea0e1-4dbe-556b-9535-bb9332a37c76
cell_line	CHLA-20	CHLA-20	bf399b7d-13c4-5511-be60-70d05b1373e9		4202e89f-f652-5033-b589-c745c6d72983
cell_line	SMS-KCNR	SMS-KCNR	c9e7609d-11f3-5d90-8444-2efb26f0a47a		17281579-3526-5525-8855-944f9cfe2a75
cell_line	CHLA-136_cell	CHLA-136	d26490a6-33ed-534a-af8e-0b4f3539419e		be1f0560-e5b6-5c58-a0ad-8918718dfc38
cell_line	COG-V-448	COG-V-448	db19fe53-b56c-52ae-ab2f-f479cc4d2284		93ce934c-4fa6-52d6-9cfe-8643ac44c334
cell_line	CK	CK	e2335e52-a24a-5e6a-ad4f-315b833e643b		bb600eb0-8fea-54aa-9940-f8f469ad1d55
cell_line	COG-N-415	COG-N-415	e2b6c381-7051-5192-bf3e-8b65b8d32cae		0dcf4db6-6920-515c-a5fb-ae0907eb230d
cell_line	COG-N-426x	COG-N-426x	f17b9e2c-3a95-5d85-bc92-95cece64922c		f9f17d07-30fd-5321-b2a5-cfea5d63bfbe
cell_line	COG-V-435	COG-V-435	fd963891-59f4-5f35-9d54-58c88122b650		62db5efe-43db-50fa-ab8b-a73a7b5f6b0e
