id	sample.id	avg_read_length	checksum_algorithm	checksum_value	coverage	custom_assembly_fasta_file_for_alignment	dcf_indexd_guid	design_description	file_description	file_mapping_level	file_name	file_size	file_type	file_url_in_cds	instrument_model	library_id	library_layout	library_selection	library_source	library_strategy	md5sum	number_of_bp	number_of_reads	platform	reference_genome_assembly	sequence_alignment_software	sequencing_file_id	study	updated	type
phs002371::HD_2111_CD34_scATAC_S5_L001_R1_001.fastq.gz	phs002371::HTA4_29_1000						dg.4DFC/f9e039ef-d803-4dc9-a9ac-d26f4f419015	Not Available			HD_2111_CD34_scATAC_S5_L001_R1_001.fastq.gz	1168341323	fastq	s3://cds-243-phs002371/v23.7.1.seq/htan-dcc-chop/single_cell_ATACseq_level_1_CLEAN/HD_2111_CD34_scATAC/HD_2111_CD34_scATAC_S5_L001_R1_001.fastq.gz	Illumina NovaSeq 6000	Not Available	Not Applicable	Unspecified	Genomic Single Cell	ATAC-seq	3ef7e58b186221745c03356e6f53389f			Illumina			HD_2111_CD34_scATAC_S5_L001_R1_001.fastq.gz	phs002371		sequencing_file
phs002371::HD_2111_CD34_scATAC_S5_L001_R2_001.fastq.gz	phs002371::HTA4_29_1000						dg.4DFC/1c91a044-7e60-4f98-a0d9-12e69de88a48	Not Available			HD_2111_CD34_scATAC_S5_L001_R2_001.fastq.gz	629632221	fastq	s3://cds-243-phs002371/v23.7.1.seq/htan-dcc-chop/single_cell_ATACseq_level_1_CLEAN/HD_2111_CD34_scATAC/HD_2111_CD34_scATAC_S5_L001_R2_001.fastq.gz	Illumina NovaSeq 6000	Not Available	Not Applicable	Unspecified	Genomic Single Cell	ATAC-seq	3a048c825fbf45581fcfb948bc90d5a5			Illumina			HD_2111_CD34_scATAC_S5_L001_R2_001.fastq.gz	phs002371		sequencing_file
phs002371::HD_2111_CD34_scATAC_S5_L001_R3_001.fastq.gz	phs002371::HTA4_29_1000						dg.4DFC/ce91f825-bd43-4873-b7d8-bb140f345337	Not Available			HD_2111_CD34_scATAC_S5_L001_R3_001.fastq.gz	1187373920	fastq	s3://cds-243-phs002371/v23.7.1.seq/htan-dcc-chop/single_cell_ATACseq_level_1_CLEAN/HD_2111_CD34_scATAC/HD_2111_CD34_scATAC_S5_L001_R3_001.fastq.gz	Illumina NovaSeq 6000	Not Available	Not Applicable	Unspecified	Genomic Single Cell	ATAC-seq	6e633d9ec45c6586ce750847aab23d74			Illumina			HD_2111_CD34_scATAC_S5_L001_R3_001.fastq.gz	phs002371		sequencing_file
phs002371::HD_2111_CD34_scATAC_S5_L002_R1_001.fastq.gz	phs002371::HTA4_29_1000						dg.4DFC/1cef25ee-b095-4647-8bb8-5cf5905b76dc	Not Available			HD_2111_CD34_scATAC_S5_L002_R1_001.fastq.gz	1163925478	fastq	s3://cds-243-phs002371/v23.7.1.seq/htan-dcc-chop/single_cell_ATACseq_level_1_CLEAN/HD_2111_CD34_scATAC/HD_2111_CD34_scATAC_S5_L002_R1_001.fastq.gz	Illumina NovaSeq 6000	Not Available	Not Applicable	Unspecified	Genomic Single Cell	ATAC-seq	f28a14ff1d4cbc6ca7000ee0fdfdf1e7			Illumina			HD_2111_CD34_scATAC_S5_L002_R1_001.fastq.gz	phs002371		sequencing_file
phs002371::HD_2111_CD34_scATAC_S5_L002_R2_001.fastq.gz	phs002371::HTA4_29_1000						dg.4DFC/00d7eb2f-de2e-471d-a6fc-996a9e68fd8f	Not Available			HD_2111_CD34_scATAC_S5_L002_R2_001.fastq.gz	626298887	fastq	s3://cds-243-phs002371/v23.7.1.seq/htan-dcc-chop/single_cell_ATACseq_level_1_CLEAN/HD_2111_CD34_scATAC/HD_2111_CD34_scATAC_S5_L002_R2_001.fastq.gz	Illumina NovaSeq 6000	Not Available	Not Applicable	Unspecified	Genomic Single Cell	ATAC-seq	33485719a1dc3f84d953cd17bde1fea7			Illumina			HD_2111_CD34_scATAC_S5_L002_R2_001.fastq.gz	phs002371		sequencing_file
phs002371::HD_2111_CD34_scATAC_S5_L002_R3_001.fastq.gz	phs002371::HTA4_29_1000						dg.4DFC/8a19d915-7280-4570-ab56-b3eadcca6c21	Not Available			HD_2111_CD34_scATAC_S5_L002_R3_001.fastq.gz	1182864034	fastq	s3://cds-243-phs002371/v23.7.1.seq/htan-dcc-chop/single_cell_ATACseq_level_1_CLEAN/HD_2111_CD34_scATAC/HD_2111_CD34_scATAC_S5_L002_R3_001.fastq.gz	Illumina NovaSeq 6000	Not Available	Not Applicable	Unspecified	Genomic Single Cell	ATAC-seq	c7275eb79df7aa33fa05fdf46ee936f8			Illumina			HD_2111_CD34_scATAC_S5_L002_R3_001.fastq.gz	phs002371		sequencing_file
phs002371::HD_2111_CD34_scRNA.bam	phs002371::HTA4_29_1000						dg.4DFC/61a6c03f-f19a-4494-9f47-4f8da0318804	Not Available			HD_2111_CD34_scRNA.bam	10625705621	bam	s3://cds-243-phs002371/v23.7.1.seq/htan-dcc-chop/single_cell_RNAseq_level_2/HD_2111_CD34_scRNA.bam	Not Reported	Not Available	Not Applicable	Unspecified	Transcriptomic Single Cell	RNA-Seq	a0ea52292c599c4cca043eaf605c20b8			Other			HD_2111_CD34_scRNA.bam	phs002371		sequencing_file
phs002371::HD_2111_LinCD38CD34_scATAC_S6_L001_R1_001.fastq.gz	phs002371::HTA4_29_1000						dg.4DFC/233982f6-22c0-45ca-97ab-4756a2543ea9	Not Available			HD_2111_LinCD38CD34_scATAC_S6_L001_R1_001.fastq.gz	925381956	fastq	s3://cds-243-phs002371/v23.7.1.seq/htan-dcc-chop/single_cell_ATACseq_level_1_CLEAN/HD_2111_LinCD38CD34_scATAC/HD_2111_LinCD38CD34_scATAC_S6_L001_R1_001.fastq.gz	Illumina NovaSeq 6000	Not Available	Not Applicable	Unspecified	Genomic Single Cell	ATAC-seq	7b86ae54d9322363f2bc6ab59bc24533			Illumina			HD_2111_LinCD38CD34_scATAC_S6_L001_R1_001.fastq.gz	phs002371		sequencing_file
phs002371::HD_2111_LinCD38CD34_scATAC_S6_L001_R2_001.fastq.gz	phs002371::HTA4_29_1000						dg.4DFC/d27b6b4c-4038-4beb-8a93-020bb6b16563	Not Available			HD_2111_LinCD38CD34_scATAC_S6_L001_R2_001.fastq.gz	484628084	fastq	s3://cds-243-phs002371/v23.7.1.seq/htan-dcc-chop/single_cell_ATACseq_level_1_CLEAN/HD_2111_LinCD38CD34_scATAC/HD_2111_LinCD38CD34_scATAC_S6_L001_R2_001.fastq.gz	Illumina NovaSeq 6000	Not Available	Not Applicable	Unspecified	Genomic Single Cell	ATAC-seq	235156d104e0cf49f2cb873cabd65978			Illumina			HD_2111_LinCD38CD34_scATAC_S6_L001_R2_001.fastq.gz	phs002371		sequencing_file
phs002371::HD_2111_LinCD38CD34_scATAC_S6_L001_R3_001.fastq.gz	phs002371::HTA4_29_1000						dg.4DFC/f8b04e9d-f234-4651-b706-2a6f29ecbd3d	Not Available			HD_2111_LinCD38CD34_scATAC_S6_L001_R3_001.fastq.gz	937872775	fastq	s3://cds-243-phs002371/v23.7.1.seq/htan-dcc-chop/single_cell_ATACseq_level_1_CLEAN/HD_2111_LinCD38CD34_scATAC/HD_2111_LinCD38CD34_scATAC_S6_L001_R3_001.fastq.gz	Illumina NovaSeq 6000	Not Available	Not Applicable	Unspecified	Genomic Single Cell	ATAC-seq	31cd9e9e9a2ea207d6b432ce3acdb2f9			Illumina			HD_2111_LinCD38CD34_scATAC_S6_L001_R3_001.fastq.gz	phs002371		sequencing_file
phs002371::HD_2111_LinCD38CD34_scATAC_S6_L002_R1_001.fastq.gz	phs002371::HTA4_29_1000						dg.4DFC/8d43d2b5-339d-4fb6-9389-c92ef23eb423	Not Available			HD_2111_LinCD38CD34_scATAC_S6_L002_R1_001.fastq.gz	938276523	fastq	s3://cds-243-phs002371/v23.7.1.seq/htan-dcc-chop/single_cell_ATACseq_level_1_CLEAN/HD_2111_LinCD38CD34_scATAC/HD_2111_LinCD38CD34_scATAC_S6_L002_R1_001.fastq.gz	Illumina NovaSeq 6000	Not Available	Not Applicable	Unspecified	Genomic Single Cell	ATAC-seq	25db93a64aa4b342b22ac469ac1d0aea			Illumina			HD_2111_LinCD38CD34_scATAC_S6_L002_R1_001.fastq.gz	phs002371		sequencing_file
phs002371::HD_2111_LinCD38CD34_scATAC_S6_L002_R2_001.fastq.gz	phs002371::HTA4_29_1000						dg.4DFC/eb7edd0e-35fe-4df8-81a3-9b35ff529adc	Not Available			HD_2111_LinCD38CD34_scATAC_S6_L002_R2_001.fastq.gz	491041112	fastq	s3://cds-243-phs002371/v23.7.1.seq/htan-dcc-chop/single_cell_ATACseq_level_1_CLEAN/HD_2111_LinCD38CD34_scATAC/HD_2111_LinCD38CD34_scATAC_S6_L002_R2_001.fastq.gz	Illumina NovaSeq 6000	Not Available	Not Applicable	Unspecified	Genomic Single Cell	ATAC-seq	873b7ec6910af12945c61aba7c616a6a			Illumina			HD_2111_LinCD38CD34_scATAC_S6_L002_R2_001.fastq.gz	phs002371		sequencing_file
phs002371::HD_2111_LinCD38CD34_scATAC_S6_L002_R3_001.fastq.gz	phs002371::HTA4_29_1000						dg.4DFC/53eb49b1-f226-491c-a3f1-11dfcded7ad7	Not Available			HD_2111_LinCD38CD34_scATAC_S6_L002_R3_001.fastq.gz	950586273	fastq	s3://cds-243-phs002371/v23.7.1.seq/htan-dcc-chop/single_cell_ATACseq_level_1_CLEAN/HD_2111_LinCD38CD34_scATAC/HD_2111_LinCD38CD34_scATAC_S6_L002_R3_001.fastq.gz	Illumina NovaSeq 6000	Not Available	Not Applicable	Unspecified	Genomic Single Cell	ATAC-seq	67ce5c48c08964b8a7f6ab3ab4c861d8			Illumina			HD_2111_LinCD38CD34_scATAC_S6_L002_R3_001.fastq.gz	phs002371		sequencing_file
phs002371::HD_2111_LinCD38CD34_scRNA.bam	phs002371::HTA4_29_1000						dg.4DFC/1ff42959-5e93-450e-8286-e23081695577	Not Available			HD_2111_LinCD38CD34_scRNA.bam	3091213434	bam	s3://cds-243-phs002371/v23.7.1.seq/htan-dcc-chop/single_cell_RNAseq_level_2/HD_2111_LinCD38CD34_scRNA.bam	Not Reported	Not Available	Not Applicable	Unspecified	Transcriptomic Single Cell	RNA-Seq	19855f14c783b2f590f1cc1665fb9728			Other			HD_2111_LinCD38CD34_scRNA.bam	phs002371		sequencing_file
phs002371::HD_2111_Live_scATAC_S4_L001_R1_001.fastq.gz	phs002371::HTA4_29_1000						dg.4DFC/07cb3706-c230-41fe-82d6-9011b4c3855d	Not Available			HD_2111_Live_scATAC_S4_L001_R1_001.fastq.gz	5436993064	fastq	s3://cds-243-phs002371/v23.7.1.seq/htan-dcc-chop/single_cell_ATACseq_level_1_CLEAN/HD_2111_Live_scATAC/HD_2111_Live_scATAC_S4_L001_R1_001.fastq.gz	Illumina NovaSeq 6000	Not Available	Not Applicable	Unspecified	Genomic Single Cell	ATAC-seq	05cc428d59f51857d5207f8179761de5			Illumina			HD_2111_Live_scATAC_S4_L001_R1_001.fastq.gz	phs002371		sequencing_file
phs002371::HD_2111_Live_scATAC_S4_L001_R2_001.fastq.gz	phs002371::HTA4_29_1000						dg.4DFC/d402a370-8dc5-4027-b9ba-0b40bdf8fc66	Not Available			HD_2111_Live_scATAC_S4_L001_R2_001.fastq.gz	2904394593	fastq	s3://cds-243-phs002371/v23.7.1.seq/htan-dcc-chop/single_cell_ATACseq_level_1_CLEAN/HD_2111_Live_scATAC/HD_2111_Live_scATAC_S4_L001_R2_001.fastq.gz	Illumina NovaSeq 6000	Not Available	Not Applicable	Unspecified	Genomic Single Cell	ATAC-seq	24f70fc007dbfe52f0b64ef40e20e05f			Illumina			HD_2111_Live_scATAC_S4_L001_R2_001.fastq.gz	phs002371		sequencing_file
