id	study.id	publication_id	pubmed_id	study	updated	type
phs002504::10.1158_2159-8290.CD-23-1376	phs002504::phs002504	10.1158_2159-8290.CD-23-1376	38867349	phs002504		publication
phs002504::10.3324_haematol.2023.283776	phs002504::phs002504	10.3324_haematol.2023.283776	38152053	phs002504		publication
phs002504::phs002504_pub_1	phs002504::phs002504	phs002504_pub_1	25704135	phs002504		publication
phs002504::phs002504_pub_2	phs002504::phs002504	phs002504_pub_2	26457647	phs002504		publication
phs002504::phs002504_pub_3	phs002504::phs002504	phs002504_pub_3	29259179	phs002504		publication
phs002504::phs002504_pub_4	phs002504::phs002504	phs002504_pub_4	29528181	phs002504		publication
phs002504::phs002504_pub_5	phs002504::phs002504	phs002504_pub_5	31347788	phs002504		publication
phs002504::phs002504_pub_6	phs002504::phs002504	phs002504_pub_6	31511612	phs002504		publication
phs002504::phs002504_pub_7	phs002504::phs002504	phs002504_pub_7	32815876	phs002504		publication
phs002504::phs002504_pub_8	phs002504::phs002504	phs002504_pub_8	33139265	phs002504		publication
phs002504::phs002504_pub_9	phs002504::phs002504	phs002504_pub_9	33375775	phs002504		publication
