library_id	bases	number_of_reads	avg_read_length	coverage	design_description	library_strategy	library_layout	library_source	library_selection	platform	type	genomic_info_id	file.file_id	reference_genome_assembly	instrument_model
10281X1	4077589372	40372172	101	162.80484206984	Illumina HiSeq 2500	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	genomic_info	dg.4DFC/9a5f9301-4173-4b3f-9aba-071fee49af3a_10281X1	dg.4DFC/9a5f9301-4173-4b3f-9aba-071fee49af3a	Not specified in data	Not specified in data
10281X1	4077589372	40372172	101	162.80484206984	Illumina HiSeq 2500	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	genomic_info	dg.4DFC/917f1271-fbbe-4492-af9e-69dce3fd1182_10281X1	dg.4DFC/917f1271-fbbe-4492-af9e-69dce3fd1182	Not specified in data	Not specified in data
10281X1_435_4	3878499990	38400990	101	0.0	Illumina HiSeq 2000	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	genomic_info	dg.4DFC/e56e191a-96ac-4671-8e3d-1fbbc40b935b_10281X1_435_4	dg.4DFC/e56e191a-96ac-4671-8e3d-1fbbc40b935b	Not specified in data	Not specified in data
10281X1_435_4	3878499990	38400990	101	0.0	Illumina HiSeq 2000	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	genomic_info	dg.4DFC/de86d240-0f9c-490d-a84f-1f74a7cdb3a4_10281X1_435_4	dg.4DFC/de86d240-0f9c-490d-a84f-1f74a7cdb3a4	Not specified in data	Not specified in data
10281X1_443_3	4610763827	45651127	101	0.0	Illumina HiSeq 2000	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	genomic_info	dg.4DFC/6e0850a8-3554-45b9-a223-20ffe6f51ff7_10281X1_443_3	dg.4DFC/6e0850a8-3554-45b9-a223-20ffe6f51ff7	Not specified in data	Not specified in data
10281X1_443_3	4610763827	45651127	101	0.0	Illumina HiSeq 2000	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	genomic_info	dg.4DFC/8b5e563c-5502-4c74-aef9-000fb605bf72_10281X1_443_3	dg.4DFC/8b5e563c-5502-4c74-aef9-000fb605bf72	Not specified in data	Not specified in data
10281X1_746_1	4077589372	40372172	101	0.0	Illumina HiSeq 2000	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	genomic_info	dg.4DFC/093c0446-050d-462e-a45a-e2776a10060b_10281X1_746_1	dg.4DFC/093c0446-050d-462e-a45a-e2776a10060b	Not specified in data	Not specified in data
10281X1_746_1	4077589372	40372172	101	0.0	Illumina HiSeq 2000	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	genomic_info	dg.4DFC/c286a3c8-eb04-44f7-954c-fc8141a313e2_10281X1_746_1	dg.4DFC/c286a3c8-eb04-44f7-954c-fc8141a313e2	Not specified in data	Not specified in data
10281X3	2620536102	25945902	101	257.062265667888	Illumina HiSeq 2500	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	genomic_info	dg.4DFC/e7cc5e2f-def8-4aac-86e0-a73dacbf6c91_10281X3	dg.4DFC/e7cc5e2f-def8-4aac-86e0-a73dacbf6c91	Not specified in data	Not specified in data
10281X3	2620536102	25945902	101	257.062265667888	Illumina HiSeq 2500	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	genomic_info	dg.4DFC/69bb3968-bd0b-4281-88aa-9266130a3cf4_10281X3	dg.4DFC/69bb3968-bd0b-4281-88aa-9266130a3cf4	Not specified in data	Not specified in data
10281X3_435_4	3198866445	31671945	101	0.0	Illumina HiSeq 2000	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	genomic_info	dg.4DFC/f27de033-d69d-4849-b976-0be9e19f50c8_10281X3_435_4	dg.4DFC/f27de033-d69d-4849-b976-0be9e19f50c8	Not specified in data	Not specified in data
10281X3_435_4	3198866445	31671945	101	0.0	Illumina HiSeq 2000	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	genomic_info	dg.4DFC/8139d8ea-b469-4df2-a6a8-b497ab31a345_10281X3_435_4	dg.4DFC/8139d8ea-b469-4df2-a6a8-b497ab31a345	Not specified in data	Not specified in data
10281X3_443_3	3362222229	33289329	101	0.0	Illumina HiSeq 2000	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	genomic_info	dg.4DFC/30444a67-e571-4012-bc6b-ae7105038cd0_10281X3_443_3	dg.4DFC/30444a67-e571-4012-bc6b-ae7105038cd0	Not specified in data	Not specified in data
10281X3_443_3	3362222229	33289329	101	0.0	Illumina HiSeq 2000	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	genomic_info	dg.4DFC/6d25c17d-d2f1-4b13-9d95-a7037753b212_10281X3_443_3	dg.4DFC/6d25c17d-d2f1-4b13-9d95-a7037753b212	Not specified in data	Not specified in data
10281X3_746_1	2620536102	25945902	101	0.0	Illumina HiSeq 2000	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	genomic_info	dg.4DFC/be3744af-3a90-4d4f-b6ac-b022d61045c9_10281X3_746_1	dg.4DFC/be3744af-3a90-4d4f-b6ac-b022d61045c9	Not specified in data	Not specified in data
10281X3_746_1	2620536102	25945902	101	0.0	Illumina HiSeq 2000	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	genomic_info	dg.4DFC/714838dd-1869-4361-84c2-87de3593b701_10281X3_746_1	dg.4DFC/714838dd-1869-4361-84c2-87de3593b701	Not specified in data	Not specified in data
11009X1_118_1	7372814375	58982515	125	0.0	Illumina HiSeq 2500	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	genomic_info	dg.4DFC/1d02a115-1c09-4b45-8575-c7dc5fb5ce94_11009X1_118_1	dg.4DFC/1d02a115-1c09-4b45-8575-c7dc5fb5ce94	Not specified in data	Not specified in data
11009X1_118_1	7372814375	58982515	125	0.0	Illumina HiSeq 2500	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	genomic_info	dg.4DFC/a8cedfa2-fc11-4b4a-ac62-c49addb03784_11009X1_118_1	dg.4DFC/a8cedfa2-fc11-4b4a-ac62-c49addb03784	Not specified in data	Not specified in data
11356X1_159_1	3822600625	30580805	125	0.0	Illumina HiSeq 2500	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	genomic_info	dg.4DFC/37cff462-503b-4f46-ae1a-e9c9d42927c6_11356X1_159_1	dg.4DFC/37cff462-503b-4f46-ae1a-e9c9d42927c6	Not specified in data	Not specified in data
11356X1_159_1	3822600625	30580805	125	0.0	Illumina HiSeq 2500	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	genomic_info	dg.4DFC/d2b35a81-81fa-43cc-8695-0a9faf9452f1_11356X1_159_1	dg.4DFC/d2b35a81-81fa-43cc-8695-0a9faf9452f1	Not specified in data	Not specified in data
11356X1_159_2	3815832375	30526659	125	0.0	Illumina HiSeq 2500	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	genomic_info	dg.4DFC/10c6c75a-0873-478c-bf32-cf7e7c2c978f_11356X1_159_2	dg.4DFC/10c6c75a-0873-478c-bf32-cf7e7c2c978f	Not specified in data	Not specified in data
11356X1_159_2	3815832375	30526659	125	0.0	Illumina HiSeq 2500	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	genomic_info	dg.4DFC/711d0c47-0124-42b9-ab69-890177e0cd46_11356X1_159_2	dg.4DFC/711d0c47-0124-42b9-ab69-890177e0cd46	Not specified in data	Not specified in data
11356X1_171_2	8135206500	65081652	125	0.0	Illumina HiSeq 2500	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	genomic_info	dg.4DFC/d7839cc7-66c6-41da-adb4-ba09f47c01a9_11356X1_171_2	dg.4DFC/d7839cc7-66c6-41da-adb4-ba09f47c01a9	Not specified in data	Not specified in data
11356X1_171_2	8135206500	65081652	125	0.0	Illumina HiSeq 2500	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	genomic_info	dg.4DFC/86e89457-74b7-4815-93cf-553659a913bf_11356X1_171_2	dg.4DFC/86e89457-74b7-4815-93cf-553659a913bf	Not specified in data	Not specified in data
10281X13	2764758446	27373846	101	71.102579054358	Illumina HiSeq 2500	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	genomic_info	dg.4DFC/bf26c066-c59c-4c33-9379-8a6c7c0ab0e3_10281X13	dg.4DFC/bf26c066-c59c-4c33-9379-8a6c7c0ab0e3	Not specified in data	Not specified in data
10281X13	2764758446	27373846	101	71.102579054358	Illumina HiSeq 2500	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	genomic_info	dg.4DFC/e592b319-1dc9-4f5b-9122-cb7c195f3fcb_10281X13	dg.4DFC/e592b319-1dc9-4f5b-9122-cb7c195f3fcb	Not specified in data	Not specified in data
10281X13_435_6	3010153803	29803503	101	0.0	Illumina HiSeq 2000	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	genomic_info	dg.4DFC/fe5288ec-e4f2-4545-a212-5e6276111ab0_10281X13_435_6	dg.4DFC/fe5288ec-e4f2-4545-a212-5e6276111ab0	Not specified in data	Not specified in data
