library_id	reference_genome_assembly	design_description	library_strategy	library_layout	library_source	library_selection	platform	instrument_model	type	genomic_info_id	file.file_id
TWGD-CPT0405830002-Y1N1_1Bma1	GRCh38	Accessible DNA is cut by adapter-loaded Tn5	snATAC-seq	Paired-end	GENOMIC	other	ILLUMINA	Illumina NovaSeq 6000	genomic_info	dg.4DFC/e58afc2a-f811-11ee-942a-f7b590a9b7d7_TWGD-CPT0405830002-Y1N1_1Bma1	dg.4DFC/e58afc2a-f811-11ee-942a-f7b590a9b7d7
TWGD-CPT0405830002-Y1N1_1Bma1	GRCh38	Accessible DNA is cut by adapter-loaded Tn5	snATAC-seq	Paired-end	GENOMIC	other	ILLUMINA	Illumina NovaSeq 6000	genomic_info	dg.4DFC/e58beb76-f811-11ee-a5ef-e320a57b4f4a_TWGD-CPT0405830002-Y1N1_1Bma1	dg.4DFC/e58beb76-f811-11ee-a5ef-e320a57b4f4a
TWGD-CPT0405830002-Y1N1_1Bma1	GRCh38	Accessible DNA is cut by adapter-loaded Tn5	snATAC-seq	Paired-end	GENOMIC	other	ILLUMINA	Illumina NovaSeq 6000	genomic_info	dg.4DFC/e58c142a-f811-11ee-ac94-936d4fc5ea3b_TWGD-CPT0405830002-Y1N1_1Bma1	dg.4DFC/e58c142a-f811-11ee-ac94-936d4fc5ea3b
TWGD-CPT0417940000-CPT0417940000Y1N1_1Bma1	GRCh38	Accessible DNA is cut by adapter-loaded Tn5	snATAC-seq	Paired-end	GENOMIC	other	ILLUMINA	Illumina NovaSeq 6000	genomic_info	dg.4DFC/e58c3d4c-f811-11ee-8f77-cff6f1425d79_TWGD-CPT0417940000-CPT0417940000Y1N1_1Bma1	dg.4DFC/e58c3d4c-f811-11ee-8f77-cff6f1425d79
TWGD-CPT0417940000-CPT0417940000Y1N1_1Bma1	GRCh38	Accessible DNA is cut by adapter-loaded Tn5	snATAC-seq	Paired-end	GENOMIC	other	ILLUMINA	Illumina NovaSeq 6000	genomic_info	dg.4DFC/e58c656a-f811-11ee-b1d7-2bee8a5cf039_TWGD-CPT0417940000-CPT0417940000Y1N1_1Bma1	dg.4DFC/e58c656a-f811-11ee-b1d7-2bee8a5cf039
TWGD-CPT0417940000-CPT0417940000Y1N1_1Bma1	GRCh38	Accessible DNA is cut by adapter-loaded Tn5	snATAC-seq	Paired-end	GENOMIC	other	ILLUMINA	Illumina NovaSeq 6000	genomic_info	dg.4DFC/e58c8dc4-f811-11ee-bc62-83b9f3513d3c_TWGD-CPT0417940000-CPT0417940000Y1N1_1Bma1	dg.4DFC/e58c8dc4-f811-11ee-bc62-83b9f3513d3c
TWGD-CPT0405890001-Y1N1_1Bma1	GRCh38	Accessible DNA is cut by adapter-loaded Tn5	snATAC-seq	Paired-end	GENOMIC	other	ILLUMINA	Illumina NovaSeq 6000	genomic_info	dg.4DFC/e58cb5b0-f811-11ee-bcb2-abffe2093587_TWGD-CPT0405890001-Y1N1_1Bma1	dg.4DFC/e58cb5b0-f811-11ee-bcb2-abffe2093587
TWGD-CPT0405890001-Y1N1_1Bma1	GRCh38	Accessible DNA is cut by adapter-loaded Tn5	snATAC-seq	Paired-end	GENOMIC	other	ILLUMINA	Illumina NovaSeq 6000	genomic_info	dg.4DFC/e58cddec-f811-11ee-8dfc-9b897a102727_TWGD-CPT0405890001-Y1N1_1Bma1	dg.4DFC/e58cddec-f811-11ee-8dfc-9b897a102727
TWGD-CPT0405890001-Y1N1_1Bma1	GRCh38	Accessible DNA is cut by adapter-loaded Tn5	snATAC-seq	Paired-end	GENOMIC	other	ILLUMINA	Illumina NovaSeq 6000	genomic_info	dg.4DFC/e58d0574-f811-11ee-827e-5be483c9f5b4_TWGD-CPT0405890001-Y1N1_1Bma1	dg.4DFC/e58d0574-f811-11ee-827e-5be483c9f5b4
TWGD-CPT0418000002-XBma1	GRCh38	Accessible DNA is cut by adapter-loaded Tn5	snATAC-seq	Paired-end	GENOMIC	other	ILLUMINA	Illumina NovaSeq 6000	genomic_info	dg.4DFC/e58d2d60-f811-11ee-835f-e773c5b64dd2_TWGD-CPT0418000002-XBma1	dg.4DFC/e58d2d60-f811-11ee-835f-e773c5b64dd2
